id,SLN202306240
version,2
info,visteam,CHN
info,hometeam,SLN
info,site,LON01
info,date,2023/06/24
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,carav901
info,ump2b,mahrn901
info,ump3b,laynj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/01 09:06:38
info,howscored,unknown
info,pitches,pitches
info,oscorer,webbj701
info,temp,81
info,winddir,unknown
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,54662
info,wp,steej002
info,lp,waina001
info,save,
start,taucm001,"Mike Tauchman",0,1,8
start,hoern001,"Nico Hoerner",0,2,4
start,suzus001,"Seiya Suzuki",0,3,9
start,happi001,"Ian Happ",0,4,7
start,swand001,"Dansby Swanson",0,5,6
start,bellc002,"Cody Bellinger",0,6,3
start,morec001,"Christopher Morel",0,7,10
start,gomey001,"Yan Gomes",0,8,2
play,1,0,taucm001,22,CS.BBFC,K
play,1,0,hoern001,11,CBX,8/F8XD
play,1,0,happi001,21,BBS,NP
sub,kniza001,"Andrew Knizner",1,4,2
play,1,0,happi001,31,BBS.BH,HP
com,"ej,mikom001,P,addir901,Intentionally hitting batter"
com,"$Cardinals pitcher Miles Mikolas ejected by HP umpire Ryan Additon"
com,"for intentionally hitting batter (in retaliation for Happ backswing injuring Contreras)"
play,1,0,bellc002,00,.,NP
sub,hudsd002,"Dakota Hudson",1,0,1
com,"ej,marmo801,M,littw901,Intentionally hitting batter"
com,"$Cardinals manager Oliver Marmol ejected by 1B umpire Will Little"
com,"for intentionally hitting batter"
play,1,0,bellc002,22,...BBFFFX,S8/G6M+.1-2
play,1,0,suzus001,31,BSB*BB,W.2-3;1-2
play,1,0,swand001,30,BBBB,W.3-H;2-3;1-2
play,1,0,morec001,00,X,DGR/L7LD+.3-H;2-H;1-3
play,1,0,gomey001,32,SBSBFFBX,53/G56S
play,1,1,donob001,01,CX,63/G6
play,1,1,goldp001,32,CSBBBS,K
play,1,1,arenn001,10,BX,53/G56S
play,2,0,mastm001,12,BCCFS,K
play,2,0,taucm001,11,CBX,S8/G6
play,2,0,hoern001,21,B*BCX,8/L8+
play,2,0,happi001,10,*BX,46(1)/FO/G4.B-1
play,2,1,kniza001,11,CBX,63/G56
play,2,1,oneit001,10,BX,S7/L7+
play,2,1,walkj003,22,BBCSFS,K
play,2,1,gormn001,02,FS*S,K
play,3,0,bellc002,01,CX,9/F9D
play,3,0,suzus001,32,CBBBFF.X,3/G3
play,3,0,swand001,01,CX,S5/G25-
play,3,0,morec001,02,SFX,S7/L78+.1-2
play,3,0,gomey001,32,BBCBF>F>X,S7/L7LD+.2-H;1-3
