id,PHI202308130
version,2
info,visteam,MIN
info,hometeam,PHI
info,site,PHI13
info,date,2023/08/13
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,macka901
info,ump1b,drecb901
info,ump2b,sches901
info,ump3b,moorm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/16 09:03:34
info,howscored,unknown
info,pitches,pitches
info,oscorer,matsk701
info,temp,86
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,160
info,attendance,40111
info,wp,grays001
info,lp,suarr001
info,save,duraj002
start,solad001,"Donovan Solano",0,1,10
start,polaj001,"Jorge Polanco",0,2,5
start,luplj001,"Jordan Luplow",0,3,7
start,jeffr002,"Ryan Jeffers",0,4,2
start,vazqc001,"Christian Vazquez",0,5,3
start,wallm001,"Matt Wallner",0,6,9
start,farmk001,"Kyle Farmer",0,7,6
start,taylm002,"Michael A. Taylor",0,8,8
play,8,0,keplm001,02,.CFX,9/L9S
play,8,0,wallm001,01,CX,36(1)/FO/G3.B-1
play,8,0,farmk001,10,BX,63/G6
play,8,1,harpb003,00,,NP
sub,keplm001,"Max Kepler",0,5,9
play,8,1,harpb003,00,.,NP
sub,gallj002,"Joey Gallo",0,6,3
play,8,1,harpb003,22,..SFBBC,K
com,"ej,thomr801,M,macka901,Called third strike"
com,"$Phillies manager Rob Thomson ejected by HP umpire Alex MacKay"
com,"for arguing called third strike"
play,8,1,castn001,00,.,NP
sub,pagae001,"Emilio Pagan",0,0,1
play,8,1,castn001,12,..CBT.S,K
play,8,1,stotb001,22,BBSCT,K
play,9,0,taylm002,00,,NP
sub,coved001,"Dylan Covey",1,0,1
play,9,0,taylm002,32,.FCBBBX,43/G34D
play,9,0,julie001,31,CBBBB,W
play,9,0,solad001,12,C*SBX,S8/G4M.1-2
play,9,0,polaj001,10,VX,S9/G3.2-H;1-2
play,9,0,luplj001,00,X,2/BP2F/FL
play,9,0,jeffr002,02,CSX,53/G6S
play,9,1,turnt001,00,,NP
sub,duraj002,"Jhoan Duran",0,0,1
play,9,1,turnt001,11,.CBX,S8/G6M
play,9,1,cavej001,21,BBCX,8/F89XD
play,9,1,stubg001,32,BCFBBX,3/L3/DP.1X1(3)
data,er,pagae001,0
data,er,duraj002,0
data,er,thiec001,0
data,er,grays001,0
data,er,jax-g001,0
data,er,coved001,1
data,er,domis001,0
data,er,suarr001,2
data,er,kimbc001,0
