pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
5,7.0,0,1,0,1,0,0,0,0,3,14,2,0,0,0.013689253935660506
1,11.0,0,0,0,2,0,0,0,0,3,14,3,0,0,0.013689253935660506
3,13.0,0,1,1,2,0,0,0,0,3,14,4,0,0,0.013689253935660506
4,11.0,0,0,0,0,0,0,0,1,3,15,1,0,0,0.013689253935660506
3,14.0,0,0,1,0,0,0,0,1,3,15,2,0,0,0.013689253935660506
4,11.0,0,0,2,0,0,0,0,1,3,15,3,0,0,0.013689253935660506
4,1.0,0,1,3,0,0,0,0,1,3,15,4,0,0,0.013689253935660506
4,13.0,0,1,3,1,0,0,0,1,3,15,5,0,0,0.013689253935660506
4,11.0,0,2,3,2,0,0,0,1,3,15,6,0,0,0.013689253935660506
1,9.0,1,1,0,0,0,0,1,1,3,16,1,0,0,0.013689253935660506
1,8.0,1,2,0,1,0,0,1,1,3,16,2,0,0,0.013689253935660506
5,7.0,0,0,0,0,0,1,0,2,3,17,1,0,0,0.013689253935660506
5,4.0,0,1,1,0,0,1,0,2,3,17,2,0,0,0.013689253935660506
3,11.0,0,0,1,1,0,1,0,2,3,17,3,0,0,0.013689253935660506
3,13.0,0,1,2,1,0,1,0,2,3,17,4,0,0,0.013689253935660506
1,12.0,0,0,2,2,0,1,0,2,3,17,5,0,0,0.013689253935660506
5,8.0,0,2,3,2,0,1,0,2,3,17,6,0,0,0.013689253935660506
5,8.0,0,1,0,0,0,0,0,0,4,23,1,0,0,0.013689253935660506
1,12.0,0,1,0,1,0,0,0,0,4,23,2,0,0,0.013689253935660506
2,14.0,0,0,0,2,0,0,0,0,4,23,3,0,0,0.013689253935660506
2,14.0,0,1,1,2,0,0,0,0,4,23,4,0,0,0.013689253935660506
5,8.0,0,2,1,2,0,0,0,0,4,23,5,0,0,0.013689253935660506
4,13.0,0,1,0,0,0,0,1,0,4,24,1,0,0,0.013689253935660506
4,13.0,0,0,0,1,0,0,1,0,4,24,2,0,0,0.013689253935660506
1,1.0,0,2,1,1,0,0,1,0,4,24,3,0,0,0.013689253935660506
1,4.0,0,1,0,0,0,0,0,2,4,25,1,0,0,0.013689253935660506
1,4.0,0,1,0,1,0,0,0,2,4,25,2,0,0,0.013689253935660506
1,11.0,0,0,0,2,0,0,0,2,4,25,3,0,0,0.013689253935660506
