pitch_type,zone,stand,type,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,years_since_2015
1,13.0,0,1,0,1,0,0,0,1,3,24,2,5,0,0.04380561259411362
5,4.0,0,2,0,2,0,0,0,1,3,24,3,5,0,0.04380561259411362
4,13.0,0,0,0,0,0,0,1,1,3,25,1,5,0,0.04380561259411362
4,13.0,0,0,1,0,0,0,1,1,3,25,2,5,0,0.04380561259411362
4,13.0,0,0,2,0,0,0,1,1,3,25,3,5,0,0.04380561259411362
1,8.0,0,1,3,0,0,0,1,1,3,25,4,5,0,0.04380561259411362
4,13.0,0,0,3,1,0,0,1,1,3,25,5,5,0,0.04380561259411362
3,7.0,0,1,0,0,0,1,1,1,3,26,1,5,0,0.04380561259411362
3,4.0,0,2,0,1,0,1,1,1,3,26,2,5,0,0.04380561259411362
3,14.0,0,0,0,0,1,1,1,1,3,27,1,5,0,0.04380561259411362
4,9.0,0,2,1,0,1,1,1,1,3,27,2,5,0,0.04380561259411362
5,7.0,0,1,0,0,0,1,1,2,3,28,1,6,0,0.04380561259411362
5,8.0,0,1,0,1,0,1,1,2,3,28,2,6,0,0.04380561259411362
4,1.0,0,1,0,2,0,1,1,2,3,28,3,6,0,0.04380561259411362
5,13.0,0,0,0,2,0,1,1,2,3,28,4,6,0,0.04380561259411362
1,5.0,0,2,1,2,0,1,1,2,3,28,5,6,0,0.04380561259411362
4,2.0,0,2,0,0,0,0,0,0,4,32,1,6,0,0.04380561259411362
4,1.0,0,1,0,0,0,0,0,1,4,33,1,6,0,0.04380561259411362
4,4.0,0,2,0,1,0,0,0,1,4,33,2,6,0,0.04380561259411362
1,12.0,1,0,0,0,0,0,0,2,4,34,1,6,0,0.04380561259411362
1,3.0,1,0,1,0,0,0,0,2,4,34,2,6,0,0.04380561259411362
1,6.0,1,2,2,0,0,0,0,2,4,34,3,6,0,0.04380561259411362
2,14.0,0,0,0,0,0,0,0,0,5,40,1,6,0,0.04380561259411362
2,9.0,0,1,1,0,0,0,0,0,5,40,2,6,0,0.04380561259411362
4,11.0,0,0,1,1,0,0,0,0,5,40,3,6,0,0.04380561259411362
3,14.0,0,0,2,1,0,0,0,0,5,40,4,6,0,0.04380561259411362
2,5.0,0,2,3,1,0,0,0,0,5,40,5,6,0,0.04380561259411362
4,4.0,0,1,0,0,0,0,0,1,5,41,1,6,0,0.04380561259411362
2,8.0,0,1,0,1,0,0,0,1,5,41,2,6,0,0.04380561259411362
2,14.0,0,1,0,2,0,0,0,1,5,41,3,6,0,0.04380561259411362
4,8.0,0,1,0,0,0,0,0,2,5,42,1,6,0,0.04380561259411362
4,7.0,0,1,0,1,0,0,0,2,5,42,2,6,0,0.04380561259411362
2,5.0,0,2,0,2,0,0,0,2,5,42,3,6,0,0.04380561259411362
1,5.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0.06023271731690623
1,4.0,0,1,0,1,0,0,0,0,1,1,2,0,0,0.06023271731690623
1,11.0,0,0,0,2,0,0,0,0,1,1,3,0,0,0.06023271731690623
2,9.0,0,1,1,2,0,0,0,0,1,1,4,0,0,0.06023271731690623
1,8.0,0,1,1,2,0,0,0,0,1,1,5,0,0,0.06023271731690623
1,5.0,0,1,1,2,0,0,0,0,1,1,6,0,0,0.06023271731690623
2,7.0,0,1,1,2,0,0,0,0,1,1,7,0,0,0.06023271731690623
5,14.0,0,2,1,2,0,0,0,0,1,1,8,0,0,0.06023271731690623
1,14.0,1,0,0,0,0,0,0,1,1,2,1,0,0,0.06023271731690623
2,14.0,1,0,1,0,0,0,0,1,1,2,2,0,0,0.06023271731690623
1,14.0,1,0,2,0,0,0,0,1,1,2,3,0,0,0.06023271731690623
1,9.0,1,1,3,0,0,0,0,1,1,2,4,0,0,0.06023271731690623
1,7.0,1,2,3,1,0,0,0,1,1,2,5,0,0,0.06023271731690623
1,8.0,1,1,0,0,0,0,0,2,1,3,1,0,0,0.06023271731690623
1,14.0,1,0,0,1,0,0,0,2,1,3,2,0,0,0.06023271731690623
2,14.0,1,0,1,1,0,0,0,2,1,3,3,0,0,0.06023271731690623
2,14.0,1,1,2,1,0,0,0,2,1,3,4,0,0,0.06023271731690623
4,14.0,1,0,2,2,0,0,0,2,1,3,5,0,0,0.06023271731690623
1,6.0,1,2,3,2,0,0,0,2,1,3,6,0,0,0.06023271731690623
1,11.0,0,0,0,0,0,0,0,0,2,9,1,0,0,0.06023271731690623
1,4.0,0,1,1,0,0,0,0,0,2,9,2,0,0,0.06023271731690623
1,13.0,0,1,1,1,0,0,0,0,2,9,3,0,0,0.06023271731690623
1,11.0,0,1,1,2,0,0,0,0,2,9,4,0,0,0.06023271731690623
2,13.0,0,0,1,2,0,0,0,0,2,9,5,0,0,0.06023271731690623
1,11.0,0,1,2,2,0,0,0,0,2,9,6,0,0,0.06023271731690623
1,12.0,1,0,0,0,0,0,0,1,2,10,1,0,0,0.06023271731690623
1,5.0,1,1,1,0,0,0,0,1,2,10,2,0,0,0.06023271731690623
1,9.0,1,1,1,1,0,0,0,1,2,10,3,0,0,0.06023271731690623
2,14.0,1,1,1,2,0,0,0,1,2,10,4,0,0,0.06023271731690623
2,14.0,1,0,0,0,0,0,0,2,2,11,1,0,0,0.06023271731690623
2,9.0,1,1,1,0,0,0,0,2,2,11,2,0,0,0.06023271731690623
1,5.0,1,1,1,1,0,0,0,2,2,11,3,0,0,0.06023271731690623
