id,BOS202305140
version,2
info,visteam,SLN
info,hometeam,BOS
info,site,BOS07
info,date,2023/05/14
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,hamaa901
info,ump2b,mahrn901
info,ump3b,thomd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,foxxl701
info,temp,66
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,181
info,attendance,27732
info,wp,mikom001
info,lp,klubc001
info,save,
start,nootl001,"Lars Nootbaar",0,1,9
start,goldp001,"Paul Goldschmidt",0,2,3
start,gormn001,"Nolan Gorman",0,3,4
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,10
start,donob001,"Brendan Donovan",0,6,7
start,dejop001,"Paul DeJong",0,7,6
start,carld002,"Dylan Carlson",0,8,8
com,"$Cardinals center fielder Dylan Carlson left the game due to an injured ankle."
play,4,0,burla001,01,.FX,S1/BG25-
play,4,0,kniza001,01,FX,HR/F8XD.1-H
play,4,0,nootl001,01,CX,3/G23
play,4,0,goldp001,02,CCX,D9/L9L
play,4,0,gormn001,01,FX,8/F8
play,4,0,arenn001,02,FCS,K
play,4,1,dever001,22,CBFBX,S8/L8D+.BX2(84)
play,4,1,duraj001,00,X,8/L8
play,4,1,casat001,02,CS.X,S7/L7LS
play,4,1,valde002,22,BBFC.X,46(1)/FO/G4.B-1
play,5,0,contw001,21,BBCX,63/G6
play,5,0,donob001,32,CCBFBBFF.X,8/F89
play,5,0,dejop001,11,CBX,7/F7D
play,5,1,mcgur002,01,FX,53/G6S
play,5,1,reyep001,32,SBFBBB,W
play,5,1,verda001,32,*BCBC.B>F>X,43/G34.1-2
play,5,1,yoshm002,11,C*BX,43/G4
play,6,0,burla001,00,,NP
sub,bernb001,"Brennan Bernardino",1,0,1
play,6,0,burla001,02,.CFX,8/F89
play,6,0,kniza001,10,BX,S8/G4M
play,6,0,nootl001,10,BX,S7/G6.1-2
play,6,0,goldp001,22,BFBSS,K
play,6,0,gormn001,32,BBFBF>F>B,W.2-3;1-2
play,6,0,arenn001,00,,NP
sub,brasr001,"Ryan Brasier",1,0,1
play,6,0,arenn001,12,.*BFSFX,S8/L8D.3-H;2-H;1-2
play,6,0,contw001,11,BFX,341/L34
play,6,1,turnj001,12,CBS.X,9/F89
play,6,1,dever001,10,BX,8/F89XD
play,6,1,duraj001,22,BFBS.X,63/G6M
play,7,0,donob001,00,X,E3/TH/G34.B-2
play,7,0,dejop001,00,X,6/L6
play,7,0,burla001,01,CX,7/F78S
play,7,0,kniza001,12,CBFFS,K
play,7,1,casat001,00,,NP
sub,cabrg001,"Genesis Cabrera",0,0,1
play,7,1,casat001,32,.BBBCC.B,W
play,7,1,valde002,12,BFSS,K
play,7,1,mcgur002,02,CFS,K
play,7,1,reyep001,31,BBBCX,S9/F9S.1-3
play,7,1,verda001,32,VBCBF>B,W.1-2
play,7,1,yoshm002,01,FX,7/F7LS
play,8,0,nootl001,21,BBFX,D7/L7LD
play,8,0,goldp001,12,FFBB,WP.2-3
play,8,0,goldp001,22,FFBB.S,K
play,8,0,gormn001,11,BFX,DGR/F7LS.3-H
play,8,0,arenn001,22,BCF.BFFX,HR/F78XD.2-H
play,8,0,contw001,00,X,63/G6
play,8,0,donob001,22,CBCB.X,43/G34D
play,8,1,turnj001,00,,NP
sub,hickj002,"Jordan Hicks",0,0,1
play,8,1,turnj001,32,.CBSBBFC,K
play,8,1,dever001,02,CSS,K
play,8,1,duraj001,30,BBB*B,W
play,8,1,casat001,32,BSC.B*B>F>C,K
play,9,0,dejop001,00,,NP
sub,bleir001,"Richard Bleier",1,0,1
play,9,0,dejop001,22,.BCFBX,13/G13
play,9,0,burla001,00,X,S39/L34D
play,9,0,kniza001,02,FFX,64(1)/FO/G4M+.B-1
play,9,0,nootl001,01,FX,13/G13
play,9,1,valde002,00,,NP
sub,edmat001,"Tommy Edman",0,2,4
play,9,1,valde002,00,.,NP
sub,gormn001,"Nolan Gorman",0,3,5
play,9,1,valde002,00,..,NP
sub,yepej001,"Juan Yepez",0,4,9
play,9,1,valde002,00,...,NP
sub,donob001,"Brendan Donovan",0,6,3
play,9,1,valde002,00,....,NP
sub,strac001,"Chris Stratton",0,0,1
play,9,1,valde002,12,.....CSF.BC,K
play,9,1,mcgur002,11,SBX,31/G3
play,9,1,reyep001,22,BBCC.C,K
data,er,mikom001,1
data,er,hickj002,0
data,er,cabrg001,0
data,er,strac001,0
data,er,bleir001,0
data,er,bernb001,2
data,er,brasr001,3
data,er,klubc001,4
