id,PHI202308250
version,2
info,visteam,SLN
info,hometeam,PHI
info,site,PHI13
info,date,2023/08/25
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,wegnm901
info,ump2b,moorm901
info,ump3b,drecb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/22 09:02:13
info,howscored,unknown
info,pitches,pitches
info,oscorer,macom701
info,temp,85
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,138
info,attendance,34118
info,wp,sancc002
info,lp,mikom001
info,save,
start,edmat001,"Tommy Edman",0,1,8
start,oneit001,"Tyler O'Neill",0,2,7
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,10
start,kniza001,"Andrew Knizner",0,6,2
start,walkj003,"Jordan Walker",0,7,9
start,mottt001,"Taylor Motter",0,8,4
play,5,1,stotb001,32,B>C.CFB.BFX,8/F8
play,6,0,goldp001,12,CFBT,K
play,6,0,arenn001,22,CFBBX,53/G56
play,6,0,contw001,12,CBFC,K
play,6,1,bohma001,21,BBSX,HR/F78XD
play,6,1,marsb002,01,TX,43/G34D
play,6,1,cavej001,10,BX,7/F7LD
play,6,1,stubg001,12,CC.FBX,8/L8D
play,7,0,kniza001,00,,NP
sub,alvaj004,"Jose Alvarado",1,0,1
play,7,0,kniza001,12,.BFF.FFS,K
play,7,0,walkj003,32,FFBBBFF.X,8/F89XD
play,7,0,mottt001,22,BFBF.*S,K
play,7,1,schwk001,00,,NP
sub,gormn001,"Nolan Gorman",0,4,4
play,7,1,schwk001,00,.,NP
sub,mottt001,"Taylor Motter",0,8,5
play,7,1,schwk001,00,..,NP
sub,suara002,"Andrew Suarez",0,0,1
play,7,1,schwk001,31,...BBBCX,HR/F89XD
play,7,1,turnt001,00,X,8/F89D
play,7,1,harpb003,02,SCX,T9/G3
play,7,1,castn001,10,*BX,D7/L7LS+.3-H
com,"$Cardinals third baseman Nolan Arenado left the game due to an injured back."
play,7,1,stotb001,00,.X,43/G4.2-3
play,7,1,bohma001,00,X,63/G6M
play,8,0,winnm001,00,,NP
sub,rojaj003,"Johan Rojas",1,1,8
play,8,0,winnm001,00,.,NP
sub,marsb002,"Brandon Marsh",1,7,7
play,8,0,winnm001,00,..,NP
sub,bella001,"Andrew Bellatti",1,0,1
play,8,0,winnm001,00,...X,8/F89D
play,8,0,edmat001,22,BCC.BX,43/G34
play,8,0,oneit001,22,CF.BBS,K
play,8,1,marsb002,12,BCS.X,43/G4D
play,8,1,cavej001,12,SCFBFFFC,K
play,8,1,stubg001,32,BBCC.FBFX,43/G4
play,9,0,goldp001,00,,NP
sub,hoffj003,"Jeff Hoffman",1,0,1
play,9,0,goldp001,12,.CCFBS,K
play,9,0,gormn001,22,CBSFBF*S,K.BX1(23)
play,9,0,contw001,01,FX,63/G6
data,er,mikom001,5
data,er,suara002,2
data,er,alvaj004,0
data,er,sancc002,2
data,er,hoffj003,0
data,er,bella001,0
