,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
10,19709,Fernando Tatis Jr.,22,546,0.282,0.114,0.28,0.41,0.364,0.611,5.3,39.9,2.43,1.51,3.59,0.41,1.5,1.19,,0.33299999999999996,0.8059999999999999,0.513,0.478,0.802,0.672,0.381,0.597,0.168
3,20123,Juan Soto,22,654,0.313,0.222,0.142,1.56,0.465,0.534,3.5,57.3,3.3,0.74,2.2,0.53,0.55,2.71,,0.151,0.628,0.35,0.626,0.887,0.821,0.41600000000000004,0.537,0.063
19,16252,Trea Turner,28,646,0.328,0.063,0.17,0.37,0.375,0.536,6.4,38.4,1.81,0.91,1.32,0.93,0.97,-2.4,,0.307,0.736,0.49200000000000005,0.631,0.8809999999999999,0.792,0.431,0.6659999999999999,0.102
1,11579,Bryce Harper,28,599,0.309,0.16699999999999998,0.22399999999999998,0.75,0.429,0.615,4.3,57.7,2.41,1.68,5.96,-1.09,4.04,2.73,,0.294,0.745,0.47200000000000003,0.542,0.789,0.695,0.39399999999999996,0.5529999999999999,0.14400000000000002
36,13510,Jose Ramirez,28,636,0.266,0.113,0.13699999999999998,0.83,0.355,0.538,7.0,30.2,1.2,0.44,0.02,1.76,1.18,2.95,,0.275,0.657,0.429,0.765,0.932,0.868,0.40399999999999997,0.511,0.055999999999999994
4,19611,Vladimir Guerrero Jr.,22,698,0.311,0.12300000000000001,0.158,0.78,0.401,0.601,3.1,60.4,3.29,0.57,3.69,3.19,0.03,1.15,,0.28300000000000003,0.7609999999999999,0.473,0.5579999999999999,0.84,0.7390000000000001,0.397,0.628,0.124
20,19326,Bryan Reynolds,26,646,0.302,0.11599999999999999,0.184,0.63,0.39,0.522,5.1,37.7,2.37,2.18,1.78,-0.74,0.47,1.1,,0.284,0.782,0.488,0.5870000000000001,0.878,0.778,0.409,0.568,0.10800000000000001
32,5343,Brandon Crawford,34,549,0.298,0.102,0.191,0.53,0.373,0.522,5.1,28.5,2.29,0.72,1.83,1.53,0.03,-1.31,,0.321,0.795,0.516,0.5579999999999999,0.821,0.725,0.41200000000000003,0.608,0.142
44,12533,Marcus Semien,30,724,0.265,0.091,0.20199999999999999,0.45,0.334,0.538,5.3,31.9,1.91,0.3,-0.99,0.67,0.42,-2.02,,0.258,0.716,0.451,0.635,0.8909999999999999,0.8059999999999999,0.42100000000000004,0.595,0.087
52,14162,Carlos Correa,26,640,0.279,0.11699999999999999,0.18100000000000002,0.65,0.366,0.485,2.4,26.0,0.49,0.5,5.56,0.58,2.6,-0.32,12.75,0.27,0.628,0.42100000000000004,0.654,0.894,0.805,0.42100000000000004,0.5770000000000001,0.08199999999999999
