,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
2,15640,Aaron Judge,25,678,0.284,0.187,0.307,0.61,0.422,0.627,4.8,62.5,2.47,-0.58,1.07,3.46,4.51,-1.58,,0.247,0.662,0.41100000000000003,0.44799999999999995,0.8059999999999999,0.6759999999999999,0.395,0.568,0.133
11,5417,Jose Altuve,27,662,0.346,0.08800000000000001,0.127,0.69,0.41,0.547,6.4,47.0,2.52,2.07,-3.42,1.58,1.84,1.78,,0.331,0.6779999999999999,0.47600000000000003,0.7490000000000001,0.917,0.8490000000000001,0.41700000000000004,0.669,0.07200000000000001
14,15429,Kris Bryant,25,665,0.295,0.14300000000000002,0.192,0.74,0.409,0.537,4.4,43.9,1.78,1.71,0.2,0.27,1.79,10.59,19.49,0.28300000000000003,0.6829999999999999,0.45399999999999996,0.647,0.85,0.777,0.42700000000000005,0.5760000000000001,0.10099999999999999
9,4949,Giancarlo Stanton,27,692,0.281,0.12300000000000001,0.23600000000000002,0.52,0.376,0.631,2.3,52.3,2.14,0.25,6.04,1.88,0.57,3.2,10.11,0.27399999999999997,0.6579999999999999,0.429,0.524,0.815,0.7040000000000001,0.405,0.532,0.127
16,13510,Jose Ramirez,24,645,0.318,0.081,0.107,0.75,0.374,0.583,6.0,41.2,2.06,-1.07,-1.22,1.05,3.07,3.96,,0.254,0.6659999999999999,0.434,0.7659999999999999,0.927,0.8740000000000001,0.43700000000000006,0.5579999999999999,0.055
15,2967,Tommy Pham,29,530,0.306,0.134,0.221,0.61,0.411,0.52,6.0,34.5,1.69,1.4,1.51,-0.29,2.44,2.22,15.54,0.18899999999999997,0.599,0.37799999999999995,0.62,0.865,0.799,0.462,0.583,0.076
0,10155,Mike Trout,25,507,0.306,0.185,0.17800000000000002,1.04,0.442,0.629,6.2,49.6,1.88,2.77,6.41,0.51,3.96,7.07,,0.19699999999999998,0.615,0.377,0.6809999999999999,0.9009999999999999,0.835,0.431,0.6,0.062
65,9810,Brian Dozier,30,705,0.271,0.111,0.2,0.55,0.359,0.498,5.2,24.4,1.52,-0.13,0.43,0.05,0.73,-6.89,,0.23399999999999999,0.625,0.415,0.637,0.838,0.777,0.46399999999999997,0.57,0.09300000000000001
3,4314,Joey Votto,33,707,0.32,0.19,0.11699999999999999,1.61,0.454,0.578,2.8,64.0,2.35,2.15,0.33,3.83,1.39,7.54,3.11,0.158,0.7140000000000001,0.419,0.7829999999999999,0.88,0.86,0.46799999999999997,0.5589999999999999,0.059000000000000004
18,9777,Nolan Arenado,26,680,0.309,0.091,0.156,0.58,0.373,0.586,4.1,42.6,2.18,0.99,-2.1,-0.48,2.93,-1.76,,0.306,0.7090000000000001,0.48200000000000004,0.631,0.873,0.787,0.436,0.5720000000000001,0.10300000000000001
89,12916,Francisco Lindor,23,723,0.273,0.083,0.129,0.65,0.337,0.505,5.1,19.4,0.64,1.69,1.63,-0.14,1.04,-1.52,,0.307,0.68,0.47200000000000003,0.753,0.9259999999999999,0.863,0.44299999999999995,0.585,0.065
13,5235,Justin Turner,32,543,0.322,0.109,0.10300000000000001,1.05,0.415,0.53,3.3,36.1,1.66,2.09,-0.49,2.38,1.61,-0.86,,0.25,0.674,0.43799999999999994,0.774,0.8909999999999999,0.8540000000000001,0.44299999999999995,0.56,0.064
