,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
265,19470,Tommy Edman,27,1321,0.264,0.064,0.156,0.41,0.316,0.393,6.8,-3.8,0.02,1.32,-0.65,-0.47,0.0,-1.5,,0.326,0.6579999999999999,0.47,0.7170000000000001,0.9179999999999999,0.8390000000000001,0.434,0.59,0.076
0,10155,Mike Trout,30,645,0.294,0.126,0.27899999999999997,0.45,0.391,0.629,4.0,59.3,2.15,1.62,4.32,0.79,4.5,-4.57,,0.254,0.669,0.425,0.609,0.795,0.73,0.414,0.5579999999999999,0.115
113,5343,Brandon Crawford,35,1007,0.267,0.094,0.20199999999999999,0.47,0.344,0.44,4.3,20.9,1.12,0.36,0.2,1.23,-0.81,-1.33,,0.313,0.7879999999999999,0.511,0.5479999999999999,0.807,0.7140000000000001,0.418,0.608,0.146
147,18036,Jake Cronenworth,28,1327,0.252,0.094,0.16699999999999998,0.57,0.336,0.425,4.6,18.6,0.28,0.89,0.75,1.51,1.45,-0.6,,0.262,0.62,0.42200000000000004,0.722,0.9259999999999999,0.856,0.447,0.612,0.061
195,16505,Matt Chapman,29,1243,0.219,0.11900000000000001,0.299,0.4,0.319,0.418,3.4,8.8,0.04,0.86,-0.83,-1.64,1.76,2.27,,0.248,0.6859999999999999,0.43200000000000005,0.618,0.773,0.722,0.42100000000000004,0.584,0.12
13,14161,Byron Buxton,28,636,0.257,0.07400000000000001,0.28,0.26,0.327,0.576,6.6,35.9,1.89,2.18,1.19,3.39,-1.67,4.92,,0.324,0.723,0.491,0.539,0.802,0.701,0.419,0.597,0.147
38,14344,Matt Olson,28,1372,0.255,0.11900000000000001,0.20600000000000002,0.58,0.348,0.507,2.2,54.6,0.97,0.39,1.13,1.01,1.26,1.81,4.45,0.306,0.746,0.48200000000000004,0.6759999999999999,0.816,0.763,0.401,0.5820000000000001,0.114
56,13624,Corey Seager,28,1072,0.267,0.099,0.158,0.63,0.346,0.48,3.2,36.7,2.04,0.84,-0.55,0.46,-0.11,-0.1,-22.02,0.33899999999999997,0.8290000000000001,0.541,0.523,0.8740000000000001,0.7440000000000001,0.41100000000000003,0.643,0.138
116,15986,Willy Adames,25,1172,0.249,0.09,0.275,0.33,0.317,0.469,3.5,23.4,0.97,-0.32,1.13,0.68,-0.1,-2.03,,0.327,0.73,0.49200000000000005,0.5710000000000001,0.8140000000000001,0.7190000000000001,0.41,0.602,0.138
65,17678,Alex Bregman,28,1056,0.263,0.124,0.12300000000000001,1.01,0.362,0.442,2.1,32.0,0.35,1.11,-1.35,1.55,0.96,5.81,,0.215,0.6829999999999999,0.40700000000000003,0.7390000000000001,0.9259999999999999,0.868,0.41100000000000003,0.563,0.054000000000000006
