,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
8,19709,Fernando Tatis Jr.,22,803,0.281,0.111,0.267,0.42,0.365,0.598,6.2,55.6,1.78,1.48,3.9,2.17,1.18,0.26,,0.321,0.7759999999999999,0.498,0.521,0.799,0.69,0.389,0.605,0.155
14,13510,Jose Ramirez,28,890,0.274,0.11599999999999999,0.146,0.79,0.364,0.558,6.5,50.6,1.56,0.68,0.29,1.97,1.2,2.78,,0.27,0.6559999999999999,0.425,0.777,0.919,0.865,0.401,0.515,0.057
0,20123,Juan Soto,22,850,0.322,0.21899999999999997,0.142,1.54,0.471,0.572,3.8,83.4,2.91,1.58,3.35,1.81,1.55,2.0,,0.166,0.625,0.35200000000000004,0.649,0.887,0.82,0.405,0.527,0.063
10,16252,Trea Turner,28,905,0.33,0.07,0.161,0.43,0.38,0.551,6.8,58.6,1.78,1.42,2.08,0.62,1.26,-0.85,,0.302,0.731,0.485,0.647,0.882,0.7979999999999999,0.42700000000000005,0.66,0.098
2,11579,Bryce Harper,28,843,0.298,0.177,0.21,0.84,0.426,0.594,5.0,74.2,2.67,1.17,3.53,-0.7,2.69,2.9,,0.3,0.746,0.46799999999999997,0.5539999999999999,0.804,0.7040000000000001,0.377,0.562,0.138
7,5361,Freddie Freeman,31,957,0.311,0.136,0.15,0.9,0.412,0.539,4.3,67.3,2.18,1.85,-0.26,2.11,1.98,-0.85,,0.293,0.807,0.503,0.743,0.848,0.812,0.409,0.565,0.095
42,5343,Brandon Crawford,34,742,0.287,0.096,0.205,0.47,0.361,0.507,4.5,30.9,1.72,1.35,1.45,0.99,-0.12,-0.71,,0.32899999999999996,0.794,0.523,0.545,0.8240000000000001,0.722,0.418,0.619,0.145
22,9218,Paul Goldschmidt,33,910,0.296,0.114,0.19699999999999998,0.58,0.378,0.503,4.4,46.2,1.96,-0.03,2.07,0.45,0.83,2.06,,0.27399999999999997,0.652,0.43200000000000005,0.7090000000000001,0.823,0.7809999999999999,0.418,0.568,0.095
37,18882,Brandon Lowe,26,839,0.253,0.111,0.268,0.41,0.346,0.532,4.6,37.2,1.51,-0.43,2.33,3.32,0.23,2.17,,0.319,0.78,0.509,0.53,0.779,0.687,0.41200000000000003,0.61,0.159
82,14162,Carlos Correa,26,861,0.275,0.106,0.192,0.55,0.355,0.458,2.0,23.8,0.29,0.72,3.81,0.16,1.67,-0.53,12.75,0.28800000000000003,0.6409999999999999,0.433,0.66,0.893,0.8009999999999999,0.41,0.581,0.086
66,15172,Tim Anderson,28,772,0.313,0.040999999999999995,0.21899999999999997,0.19,0.343,0.486,5.8,24.3,1.4,0.21,-0.99,1.31,2.96,-0.09,,0.414,0.795,0.5710000000000001,0.629,0.8340000000000001,0.747,0.41200000000000003,0.642,0.14400000000000002
