,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
31,19709,Fernando Tatis Jr.,21,257,0.277,0.105,0.237,0.44,0.366,0.571,7.3,15.7,0.5,1.4,4.78,5.48,0.58,-1.92,,0.29600000000000004,0.715,0.467,0.63,0.792,0.731,0.408,0.623,0.126
2,5361,Freddie Freeman,30,262,0.341,0.172,0.141,1.22,0.462,0.64,4.5,30.1,4.78,1.3,0.25,2.54,1.3,0.08,,0.282,0.807,0.48200000000000004,0.747,0.86,0.8190000000000001,0.381,0.546,0.087
7,13510,Jose Ramirez,27,254,0.292,0.122,0.16899999999999998,0.72,0.386,0.607,5.8,20.3,2.38,1.17,1.02,2.34,1.26,2.15,,0.259,0.6559999999999999,0.414,0.8059999999999999,0.888,0.857,0.39299999999999996,0.524,0.059000000000000004
12,15676,Jose Abreu,33,262,0.317,0.069,0.225,0.31,0.37,0.617,1.5,20.2,1.92,-0.36,3.99,3.14,1.85,13.38,,0.364,0.6809999999999999,0.485,0.589,0.8240000000000001,0.715,0.382,0.5920000000000001,0.138
34,13611,Mookie Betts,27,246,0.292,0.098,0.154,0.63,0.366,0.562,6.4,14.5,1.79,2.55,6.12,-2.29,3.45,-6.48,,0.249,0.593,0.405,0.722,0.956,0.878,0.455,0.6829999999999999,0.049
9,16252,Trea Turner,27,259,0.335,0.085,0.139,0.61,0.394,0.588,7.3,20.3,1.71,2.96,3.12,-0.46,1.86,3.42,,0.29,0.7190000000000001,0.469,0.6859999999999999,0.883,0.812,0.41600000000000004,0.645,0.08800000000000001
0,20123,Juan Soto,21,196,0.351,0.209,0.14300000000000002,1.46,0.49,0.695,4.0,26.1,1.66,4.26,6.38,8.05,4.18,0.2,,0.21,0.614,0.36,0.6970000000000001,0.889,0.8190000000000001,0.37200000000000005,0.495,0.065
33,11493,Manny Machado,27,254,0.304,0.102,0.146,0.7,0.37,0.58,5.0,15.4,2.06,1.53,1.43,-0.72,0.46,-8.6,,0.278,0.733,0.467,0.632,0.884,0.7959999999999999,0.41600000000000004,0.638,0.095
3,10324,Marcell Ozuna,29,267,0.338,0.142,0.225,0.63,0.431,0.636,0.8,27.9,3.93,-1.83,5.01,3.1,2.5,7.34,,0.325,0.69,0.46299999999999997,0.539,0.836,0.706,0.37799999999999995,0.5539999999999999,0.136
16,10155,Mike Trout,28,241,0.281,0.145,0.23199999999999998,0.63,0.39,0.603,4.3,17.7,1.6,1.91,-0.48,3.72,5.49,3.21,,0.174,0.599,0.36700000000000005,0.68,0.8740000000000001,0.8240000000000001,0.45399999999999996,0.614,0.065
23,12861,Anthony Rendon,30,232,0.286,0.16399999999999998,0.134,1.23,0.418,0.497,2.0,14.8,-0.31,0.58,7.91,0.06,7.12,7.31,,0.20800000000000002,0.6829999999999999,0.405,0.7040000000000001,0.937,0.867,0.415,0.608,0.054000000000000006
4,9874,DJ LeMahieu,31,216,0.364,0.083,0.09699999999999999,0.86,0.421,0.59,5.8,19.8,2.76,0.64,1.08,4.33,6.43,2.16,,0.289,0.634,0.441,0.821,0.9440000000000001,0.899,0.441,0.653,0.045
8,18401,Ronald Acuna Jr.,22,202,0.25,0.188,0.297,0.63,0.406,0.581,5.9,15.9,1.29,1.2,3.17,3.0,1.36,5.95,,0.235,0.657,0.405,0.65,0.746,0.713,0.40299999999999997,0.564,0.11599999999999999
51,15172,Tim Anderson,27,221,0.322,0.045,0.226,0.2,0.357,0.529,6.0,10.5,2.07,1.29,-6.19,0.71,2.95,0.08,,0.436,0.73,0.552,0.628,0.789,0.7120000000000001,0.396,0.629,0.159
38,18882,Brandon Lowe,25,224,0.269,0.11199999999999999,0.259,0.43,0.362,0.554,6.1,12.3,1.67,-0.5,5.8,2.43,-1.18,2.02,,0.268,0.7440000000000001,0.46799999999999997,0.474,0.768,0.6709999999999999,0.42100000000000004,0.58,0.154
36,9218,Paul Goldschmidt,32,231,0.304,0.16,0.18600000000000003,0.86,0.417,0.466,2.5,13.1,2.05,-0.07,4.64,-0.44,-1.1,2.2,,0.253,0.626,0.405,0.687,0.8590000000000001,0.795,0.40700000000000003,0.5579999999999999,0.083
106,18314,Dansby Swanson,26,264,0.274,0.083,0.26899999999999996,0.31,0.345,0.464,5.4,6.4,2.19,-0.17,1.15,-1.0,-0.08,-0.78,,0.285,0.723,0.47200000000000003,0.59,0.768,0.706,0.426,0.58,0.139
102,18564,Trent Grisham,23,252,0.251,0.12300000000000001,0.254,0.48,0.352,0.456,7.8,6.3,1.17,-0.99,3.6,4.04,-1.59,0.38,,0.204,0.605,0.379,0.675,0.838,0.7879999999999999,0.43700000000000006,0.563,0.08
26,13624,Corey Seager,26,232,0.307,0.073,0.159,0.46,0.358,0.585,3.9,14.5,2.83,-1.04,-2.82,6.72,-1.15,5.48,,0.33799999999999997,0.848,0.5579999999999999,0.535,0.878,0.76,0.431,0.634,0.134
18,16376,Michael Conforto,27,233,0.322,0.10300000000000001,0.245,0.42,0.412,0.515,3.2,15.9,2.35,1.32,0.39,0.44,1.18,6.51,,0.27699999999999997,0.6859999999999999,0.442,0.578,0.868,0.76,0.40299999999999997,0.605,0.106
64,12564,Trevor Story,27,259,0.289,0.09300000000000001,0.243,0.38,0.355,0.519,8.0,11.0,0.99,1.32,-0.05,-0.19,3.38,-12.93,,0.306,0.677,0.45799999999999996,0.674,0.8290000000000001,0.768,0.409,0.541,0.106
143,10556,Cesar Hernandez,30,261,0.283,0.092,0.218,0.42,0.355,0.408,1.8,3.5,-0.12,1.38,-1.46,1.65,0.61,0.47,,0.257,0.645,0.424,0.624,0.92,0.818,0.43200000000000005,0.617,0.077
5,10264,Brandon Belt,32,179,0.309,0.168,0.201,0.83,0.425,0.591,2.3,16.2,2.52,3.98,3.73,-3.35,1.68,7.36,,0.22,0.746,0.426,0.609,0.86,0.7809999999999999,0.391,0.5920000000000001,0.09300000000000001
11,2434,Nelson Cruz,39,214,0.303,0.11699999999999999,0.271,0.43,0.397,0.595,1.2,16.6,3.06,0.3,-4.21,-0.66,2.01,5.52,,0.33799999999999997,0.696,0.47600000000000003,0.523,0.802,0.68,0.385,0.556,0.152
17,14854,Mike Yastrzemski,29,225,0.297,0.133,0.244,0.55,0.4,0.568,5.8,16.5,1.1,1.28,1.32,1.62,6.18,13.59,,0.23399999999999999,0.597,0.389,0.643,0.8290000000000001,0.765,0.428,0.604,0.091
21,10047,Wil Myers,29,218,0.288,0.083,0.257,0.32,0.353,0.606,4.8,14.7,0.72,5.09,3.02,-0.96,4.66,-1.85,,0.258,0.65,0.418,0.55,0.852,0.741,0.40700000000000003,0.606,0.10800000000000001
66,17919,Ian Happ,25,231,0.258,0.13,0.273,0.48,0.361,0.505,2.9,9.6,1.22,1.79,5.06,0.51,0.0,-6.98,,0.27,0.664,0.435,0.41200000000000003,0.8079999999999999,0.665,0.418,0.5760000000000001,0.146
103,19508,Kyle Lewis,24,242,0.262,0.14,0.293,0.48,0.364,0.437,4.0,6.0,-0.21,-0.71,0.73,3.53,0.82,15.25,,0.265,0.659,0.43200000000000005,0.45299999999999996,0.7659999999999999,0.6559999999999999,0.424,0.607,0.149
1,18577,Ke'Bryan Hayes,23,95,0.376,0.095,0.21100000000000002,0.45,0.442,0.682,6.1,11.6,1.86,5.52,11.42,-3.31,2.07,,,0.289,0.685,0.441,0.652,0.961,0.836,0.384,0.5579999999999999,0.07200000000000001
14,7304,Salvador Perez,30,156,0.333,0.019,0.231,0.08,0.353,0.633,2.8,11.9,4.95,0.81,-1.64,-0.76,2.83,0.81,,0.47200000000000003,0.785,0.588,0.629,0.89,0.758,0.371,0.654,0.142
20,11579,Bryce Harper,27,244,0.268,0.201,0.17600000000000002,1.14,0.42,0.542,6.0,16.5,3.32,-0.31,0.59,0.55,-0.17,3.41,,0.311,0.75,0.457,0.579,0.848,0.726,0.33299999999999996,0.586,0.125
45,12856,George Springer,30,222,0.265,0.10800000000000001,0.171,0.63,0.359,0.54,4.4,11.1,1.42,1.82,2.22,2.34,2.15,-2.55,,0.275,0.773,0.475,0.607,0.851,0.767,0.402,0.59,0.111
57,13621,Jeimer Candelario,26,206,0.297,0.09699999999999999,0.23800000000000002,0.41,0.369,0.503,5.0,9.3,3.13,0.17,-4.08,-2.51,0.75,-1.14,,0.299,0.693,0.44799999999999995,0.573,0.8690000000000001,0.746,0.37799999999999995,0.612,0.114
79,17027,Alex Verdugo,24,221,0.308,0.077,0.204,0.38,0.367,0.478,4.8,7.9,1.24,-0.04,-3.23,5.32,0.82,-0.6,,0.29,0.61,0.42700000000000005,0.7120000000000001,0.9129999999999999,0.835,0.428,0.529,0.07
175,12916,Francisco Lindor,26,266,0.258,0.09,0.154,0.59,0.335,0.415,3.7,0.9,-0.2,-0.69,1.77,-0.77,0.66,-1.36,,0.34299999999999997,0.716,0.486,0.703,0.889,0.8079999999999999,0.384,0.568,0.09300000000000001
105,18345,Kyle Tucker,23,228,0.268,0.079,0.20199999999999999,0.39,0.325,0.512,7.7,5.6,2.5,-1.15,-5.0,2.01,-0.67,5.37,,0.313,0.782,0.505,0.698,0.851,0.795,0.41,0.57,0.10300000000000001
94,15941,Austin Nola,30,184,0.273,0.098,0.185,0.53,0.353,0.472,2.7,5.1,0.39,1.0,0.55,5.04,-0.29,-6.04,,0.228,0.622,0.40399999999999997,0.7390000000000001,0.866,0.8270000000000001,0.446,0.603,0.07
135,9785,Kyle Seager,32,248,0.241,0.129,0.133,0.97,0.355,0.433,4.6,3.8,1.07,0.1,-2.59,-1.47,1.62,6.59,,0.239,0.638,0.40299999999999997,0.647,0.8809999999999999,0.799,0.41,0.536,0.081
15,10231,Jose Iglesias,30,150,0.373,0.02,0.113,0.18,0.4,0.556,1.1,11.1,1.57,0.59,4.56,5.77,-0.51,6.35,,0.377,0.616,0.486,0.759,0.9309999999999999,0.858,0.456,0.593,0.069
37,12927,Brandon Nimmo,27,225,0.28,0.147,0.191,0.77,0.404,0.484,4.4,12.7,0.75,-0.16,7.43,2.63,1.65,1.06,,0.213,0.682,0.41200000000000003,0.65,0.848,0.789,0.424,0.613,0.087
108,18289,Brian Anderson,27,229,0.255,0.096,0.28800000000000003,0.33,0.345,0.465,2.4,5.4,1.79,-2.02,1.56,-0.01,2.73,-7.23,,0.325,0.746,0.491,0.5429999999999999,0.778,0.6829999999999999,0.39399999999999996,0.638,0.155
32,7739,Travis d'Arnaud,31,184,0.321,0.087,0.272,0.32,0.386,0.533,2.0,11.2,1.53,2.31,-6.38,-1.45,3.84,-8.81,,0.354,0.691,0.503,0.545,0.825,0.715,0.441,0.679,0.14300000000000002
40,13066,Teoscar Hernandez,27,207,0.289,0.068,0.304,0.22,0.34,0.579,4.5,11.2,3.52,-1.45,-0.95,-1.72,1.86,1.4,,0.34299999999999997,0.637,0.46399999999999997,0.521,0.769,0.662,0.413,0.638,0.157
58,17484,Eloy Jimenez,23,226,0.296,0.053,0.248,0.21,0.332,0.559,0.7,10.2,2.91,-0.46,0.26,1.03,-0.64,14.59,,0.41100000000000003,0.764,0.5429999999999999,0.628,0.8170000000000001,0.728,0.374,0.637,0.14800000000000002
69,12161,Xander Bogaerts,27,225,0.3,0.09300000000000001,0.182,0.51,0.364,0.502,5.1,9.1,1.39,-0.2,6.1,-0.86,0.41,-5.15,,0.278,0.657,0.436,0.66,0.865,0.789,0.419,0.5870000000000001,0.092
