,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
1,15640,Aaron Judge,30,696,0.311,0.159,0.251,0.63,0.425,0.686,4.0,82.1,3.38,3.24,0.63,2.31,1.54,-1.2,,0.268,0.6759999999999999,0.425,0.517,0.852,0.722,0.385,0.579,0.11800000000000001
10,11493,Manny Machado,29,644,0.298,0.098,0.207,0.47,0.366,0.531,4.3,36.8,0.39,1.86,1.39,3.69,4.11,13.12,,0.342,0.77,0.508,0.643,0.856,0.768,0.38799999999999996,0.629,0.11800000000000001
12,9777,Nolan Arenado,31,620,0.293,0.084,0.11599999999999999,0.72,0.358,0.533,2.6,35.1,1.4,-0.28,6.5,2.87,0.21,2.72,,0.361,0.68,0.484,0.721,0.9079999999999999,0.823,0.386,0.613,0.086
4,9218,Paul Goldschmidt,34,651,0.317,0.121,0.217,0.56,0.404,0.578,3.6,56.7,1.96,1.07,5.15,2.31,4.8,8.29,,0.276,0.617,0.41700000000000004,0.677,0.818,0.763,0.41200000000000003,0.599,0.099
9,5361,Freddie Freeman,32,708,0.325,0.11900000000000001,0.14400000000000002,0.82,0.407,0.511,4.8,46.6,1.67,1.59,4.53,0.97,2.22,4.08,,0.313,0.7609999999999999,0.493,0.75,0.88,0.831,0.401,0.595,0.083
2,19556,Yordan Alvarez,25,561,0.306,0.139,0.18899999999999997,0.74,0.406,0.613,3.0,52.1,2.67,2.07,-1.75,-0.08,5.53,2.02,,0.275,0.6679999999999999,0.426,0.625,0.8959999999999999,0.7879999999999999,0.385,0.5379999999999999,0.09
96,12916,Francisco Lindor,28,706,0.27,0.084,0.188,0.44,0.339,0.449,5.6,18.0,1.0,-0.17,-0.08,0.66,2.41,-2.76,,0.33799999999999997,0.69,0.47700000000000004,0.667,0.8809999999999999,0.79,0.396,0.5820000000000001,0.1
7,5417,Jose Altuve,32,604,0.3,0.109,0.14400000000000002,0.76,0.387,0.533,5.0,41.8,2.81,0.09,-0.35,2.86,2.59,-0.37,,0.314,0.65,0.43799999999999994,0.768,0.91,0.846,0.369,0.619,0.068
16,13611,Mookie Betts,29,639,0.269,0.086,0.163,0.53,0.34,0.533,6.0,32.3,1.38,0.95,1.86,2.69,2.6,1.86,-77.64,0.26,0.696,0.442,0.6759999999999999,0.9390000000000001,0.8490000000000001,0.41700000000000004,0.617,0.067
53,11739,J.T. Realmuto,31,562,0.276,0.073,0.212,0.34,0.342,0.478,6.9,19.8,1.58,0.61,0.29,1.33,0.54,-4.39,,0.35,0.6920000000000001,0.49,0.6659999999999999,0.8390000000000001,0.767,0.41,0.5770000000000001,0.114
62,16252,Trea Turner,29,708,0.298,0.064,0.185,0.34,0.343,0.466,6.4,22.4,1.49,-0.45,-1.18,1.51,2.38,3.24,,0.364,0.745,0.511,0.607,0.8590000000000001,0.7490000000000001,0.38799999999999996,0.634,0.128
103,18314,Dansby Swanson,28,696,0.277,0.07,0.261,0.27,0.329,0.447,4.8,15.3,1.22,0.46,-1.78,-0.28,-0.41,-6.14,45.44,0.314,0.746,0.495,0.5710000000000001,0.804,0.718,0.419,0.675,0.139
41,13510,Jose Ramirez,29,685,0.28,0.10099999999999999,0.12,0.84,0.355,0.514,5.3,28.8,0.9,0.5,2.24,2.62,0.86,1.31,,0.32299999999999995,0.679,0.461,0.78,0.9229999999999999,0.862,0.38799999999999996,0.517,0.064
5,10155,Mike Trout,30,499,0.283,0.10800000000000001,0.27899999999999997,0.39,0.369,0.63,3.3,42.8,1.89,1.44,4.74,0.95,4.38,-2.66,,0.263,0.679,0.434,0.607,0.7959999999999999,0.7290000000000001,0.41100000000000003,0.557,0.11800000000000001
37,19950,Andres Gimenez,23,557,0.297,0.061,0.201,0.3,0.371,0.466,5.8,24.0,-0.05,2.05,0.91,0.37,4.95,5.29,,0.408,0.703,0.525,0.655,0.8390000000000001,0.753,0.39899999999999997,0.632,0.13
40,12161,Xander Bogaerts,29,631,0.307,0.09,0.187,0.48,0.377,0.456,3.5,26.7,1.05,1.14,1.68,1.18,0.69,-3.97,,0.319,0.66,0.457,0.6609999999999999,0.846,0.769,0.405,0.609,0.106
33,15362,Jeff McNeil,30,589,0.326,0.068,0.10400000000000001,0.66,0.382,0.454,3.3,25.9,1.41,1.59,-1.75,2.86,1.75,4.87,,0.33799999999999997,0.789,0.5329999999999999,0.795,0.8959999999999999,0.86,0.433,0.594,0.075
175,19470,Tommy Edman,27,630,0.265,0.073,0.17600000000000002,0.41,0.324,0.4,7.2,3.9,1.05,0.54,-2.9,-0.72,-0.48,-1.88,,0.342,0.638,0.467,0.675,0.909,0.8109999999999999,0.424,0.614,0.08800000000000001
14,18360,Austin Riley,25,693,0.273,0.08199999999999999,0.242,0.34,0.349,0.528,3.0,36.8,-0.01,2.01,1.56,6.51,1.93,2.78,6.24,0.345,0.773,0.516,0.575,0.8590000000000001,0.7440000000000001,0.39899999999999997,0.631,0.132
46,17678,Alex Bregman,28,656,0.259,0.133,0.11699999999999999,1.13,0.366,0.454,2.0,25.0,0.83,1.78,-2.21,1.32,0.23,4.03,,0.218,0.695,0.40299999999999997,0.745,0.92,0.862,0.387,0.556,0.055999999999999994
30,23697,Julio Rodriguez,21,560,0.284,0.071,0.259,0.28,0.345,0.509,6.2,25.1,1.82,0.34,1.69,2.9,1.04,-2.42,,0.371,0.7140000000000001,0.502,0.586,0.8190000000000001,0.7120000000000001,0.382,0.645,0.14400000000000002
54,26288,Adley Rutschman,24,470,0.254,0.138,0.183,0.76,0.362,0.445,4.2,16.5,1.88,1.27,2.63,-0.47,-0.61,0.31,,0.254,0.6409999999999999,0.405,0.73,0.915,0.8440000000000001,0.391,0.534,0.063
56,12927,Brandon Nimmo,29,673,0.274,0.105,0.172,0.61,0.367,0.433,4.7,23.0,0.55,0.95,2.56,1.95,1.4,2.06,,0.261,0.66,0.43700000000000006,0.6970000000000001,0.8909999999999999,0.826,0.44,0.611,0.076
118,19352,Sean Murphy,27,612,0.25,0.092,0.203,0.45,0.332,0.426,2.7,10.5,0.63,-0.34,-1.82,0.65,1.53,1.96,,0.34,0.721,0.493,0.6709999999999999,0.853,0.778,0.402,0.621,0.11
18,17350,Rafael Devers,25,614,0.295,0.081,0.18600000000000003,0.44,0.358,0.521,3.1,30.8,0.8,1.48,2.8,0.76,3.24,-0.4,,0.40299999999999997,0.773,0.545,0.662,0.804,0.74,0.384,0.614,0.142
29,25931,Michael Harris II,21,441,0.297,0.048,0.243,0.2,0.339,0.514,7.2,20.2,1.97,0.62,0.07,0.5,-0.99,10.67,,0.41700000000000004,0.679,0.522,0.597,0.861,0.735,0.40299999999999997,0.5529999999999999,0.138
71,18345,Kyle Tucker,25,609,0.257,0.09699999999999999,0.156,0.62,0.33,0.478,4.9,18.3,0.85,1.36,-0.66,0.37,-0.08,6.17,,0.302,0.84,0.525,0.664,0.888,0.813,0.415,0.608,0.098
153,19918,Daulton Varsho,25,592,0.235,0.078,0.245,0.32,0.302,0.443,5.7,6.1,-0.14,-0.21,3.69,0.02,1.14,1.39,,0.348,0.687,0.499,0.6759999999999999,0.823,0.7659999999999999,0.446,0.628,0.11699999999999999
142,15986,Willy Adames,26,617,0.238,0.079,0.26899999999999996,0.3,0.298,0.458,3.6,7.3,0.25,0.44,1.47,0.2,-0.35,-0.39,,0.337,0.7240000000000001,0.496,0.595,0.836,0.7390000000000001,0.409,0.595,0.129
72,19612,Bo Bichette,24,697,0.29,0.059000000000000004,0.222,0.26,0.333,0.469,3.8,20.9,-0.26,1.03,2.37,2.69,2.89,-7.58,,0.386,0.805,0.56,0.6609999999999999,0.888,0.797,0.415,0.6609999999999999,0.114
119,13624,Corey Seager,28,663,0.245,0.087,0.155,0.56,0.317,0.455,3.2,11.3,1.09,0.48,-1.39,0.72,-0.97,1.16,,0.35100000000000003,0.8190000000000001,0.545,0.53,0.882,0.7490000000000001,0.415,0.644,0.13699999999999998
42,14162,Carlos Correa,27,590,0.291,0.10300000000000001,0.205,0.5,0.366,0.467,1.7,24.7,1.3,-0.45,1.3,1.2,1.53,-1.75,,0.308,0.643,0.444,0.679,0.8809999999999999,0.797,0.40299999999999997,0.581,0.09
97,24610,Steven Kwan,24,638,0.298,0.09699999999999999,0.094,1.03,0.373,0.4,6.2,16.0,0.51,0.8,0.64,0.64,1.79,-2.59,,0.233,0.5529999999999999,0.377,0.85,0.9540000000000001,0.919,0.45,0.589,0.031
58,12856,George Springer,32,583,0.267,0.09300000000000001,0.172,0.54,0.342,0.472,6.0,19.6,1.59,0.96,-0.1,2.34,-1.02,1.74,,0.301,0.789,0.508,0.584,0.818,0.738,0.424,0.617,0.133
123,21534,Cal Raleigh,25,415,0.211,0.092,0.294,0.31,0.284,0.489,2.5,6.6,-0.06,0.83,-0.56,0.32,1.95,1.5,,0.36,0.784,0.524,0.59,0.792,0.7070000000000001,0.389,0.631,0.153
177,12533,Marcus Semien,31,724,0.248,0.073,0.166,0.44,0.304,0.429,6.2,4.3,-0.28,0.6,0.23,4.24,0.06,7.93,,0.29,0.747,0.47200000000000003,0.647,0.903,0.8079999999999999,0.39799999999999996,0.608,0.09
76,13419,Christian Walker,31,667,0.242,0.10300000000000001,0.196,0.53,0.327,0.477,2.7,19.3,0.74,0.6,1.36,1.08,0.52,-2.73,,0.272,0.701,0.447,0.5770000000000001,0.882,0.772,0.409,0.613,0.102
80,12552,Eugenio Suarez,30,629,0.236,0.11599999999999999,0.312,0.37,0.332,0.459,2.2,17.2,1.0,-0.01,0.6,-0.82,1.44,-2.81,,0.247,0.6579999999999999,0.418,0.49700000000000005,0.7979999999999999,0.6940000000000001,0.41600000000000004,0.609,0.128
120,16505,Matt Chapman,29,621,0.229,0.11,0.27399999999999997,0.4,0.324,0.433,2.9,10.4,0.03,0.94,0.42,-0.1,2.02,1.03,,0.22899999999999998,0.679,0.418,0.619,0.797,0.74,0.418,0.57,0.10800000000000001
