,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
1,10155,Mike Trout,27,600,0.291,0.183,0.2,0.92,0.438,0.645,4.9,60.4,2.33,2.09,1.7,1.46,5.62,-0.75,,0.205,0.612,0.368,0.6920000000000001,0.888,0.823,0.401,0.525,0.065
3,17678,Alex Bregman,25,690,0.296,0.172,0.12,1.43,0.423,0.592,3.8,58.7,1.82,1.71,0.37,3.49,1.88,6.74,,0.188,0.588,0.35100000000000003,0.77,0.917,0.87,0.406,0.552,0.046
6,15998,Cody Bellinger,23,660,0.305,0.14400000000000002,0.16399999999999998,0.88,0.406,0.629,5.0,54.2,2.12,0.71,4.05,1.23,2.42,-0.04,69.12,0.268,0.7040000000000001,0.444,0.695,0.83,0.7809999999999999,0.40399999999999997,0.539,0.09699999999999999
0,11477,Christian Yelich,27,580,0.329,0.138,0.203,0.68,0.429,0.671,6.2,61.0,2.8,0.67,3.63,1.75,4.71,-2.69,,0.306,0.7120000000000001,0.452,0.568,0.87,0.738,0.359,0.5479999999999999,0.11800000000000001
8,12861,Anthony Rendon,29,646,0.319,0.124,0.133,0.93,0.412,0.598,4.4,51.8,2.6,0.41,1.41,2.98,0.3,2.47,,0.23800000000000002,0.701,0.431,0.778,0.932,0.883,0.418,0.5760000000000001,0.051
45,17350,Rafael Devers,22,702,0.311,0.068,0.17,0.4,0.361,0.555,4.9,34.6,1.12,1.64,0.49,0.62,4.38,-0.69,15.44,0.405,0.762,0.5489999999999999,0.7190000000000001,0.826,0.779,0.40399999999999997,0.611,0.121
51,12533,Marcus Semien,28,747,0.285,0.11599999999999999,0.13699999999999998,0.85,0.369,0.522,5.1,34.0,1.92,-0.75,1.01,2.06,1.96,-3.1,,0.23,0.687,0.42100000000000004,0.6829999999999999,0.8959999999999999,0.8290000000000001,0.418,0.632,0.07200000000000001
18,9777,Nolan Arenado,28,662,0.315,0.094,0.14,0.67,0.379,0.583,3.1,41.0,1.81,0.77,2.33,3.65,1.15,2.63,,0.379,0.733,0.514,0.695,0.893,0.8029999999999999,0.38299999999999995,0.619,0.10099999999999999
33,13611,Mookie Betts,26,706,0.295,0.13699999999999998,0.14300000000000002,0.96,0.391,0.524,6.3,36.9,1.02,1.75,1.13,2.78,1.11,-2.86,-10.91,0.214,0.615,0.38299999999999995,0.7190000000000001,0.937,0.866,0.423,0.551,0.051
13,12856,George Springer,29,556,0.292,0.121,0.203,0.59,0.383,0.591,4.6,38.7,2.51,3.29,-3.4,1.19,-1.34,-1.89,,0.228,0.721,0.44,0.565,0.8270000000000001,0.75,0.43,0.613,0.11
34,12564,Trevor Story,26,656,0.294,0.08800000000000001,0.265,0.33,0.363,0.554,6.6,34.2,1.29,0.97,2.88,0.38,2.92,0.04,,0.315,0.72,0.48,0.601,0.848,0.752,0.408,0.579,0.11900000000000001
10,13613,Ketel Marte,25,628,0.329,0.084,0.13699999999999998,0.62,0.389,0.592,5.9,46.0,2.2,1.78,3.41,2.47,-0.22,5.57,,0.318,0.716,0.47600000000000003,0.733,0.9059999999999999,0.836,0.397,0.581,0.078
20,12161,Xander Bogaerts,26,698,0.309,0.109,0.175,0.62,0.384,0.555,2.7,42.0,2.32,1.86,-2.74,-0.72,2.85,3.73,6.58,0.294,0.5770000000000001,0.41100000000000003,0.6859999999999999,0.894,0.807,0.413,0.5720000000000001,0.079
46,9874,DJ LeMahieu,30,655,0.327,0.07,0.13699999999999998,0.51,0.375,0.518,4.0,31.0,0.19,1.62,3.45,3.27,5.23,2.76,46.31,0.302,0.6579999999999999,0.456,0.75,0.9179999999999999,0.855,0.43,0.583,0.066
