,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
4,18401,Ronald Acuna Jr.,25,291,0.333,0.10300000000000001,0.134,0.77,0.405,0.57,7.0,23.3,2.85,1.73,0.65,5.96,-1.14,-0.38,,0.284,0.708,0.456,0.721,0.866,0.813,0.405,0.588,0.085
5,5361,Freddie Freeman,33,299,0.336,0.107,0.154,0.7,0.411,0.575,5.7,23.6,3.07,2.08,1.35,0.46,3.65,-3.82,,0.273,0.7829999999999999,0.493,0.684,0.8759999999999999,0.816,0.431,0.605,0.091
60,23667,Wander Franco,22,274,0.296,0.084,0.12,0.7,0.358,0.474,7.0,9.2,3.17,2.03,-1.92,-1.42,-0.54,-7.26,,0.27699999999999997,0.627,0.428,0.807,0.937,0.889,0.43200000000000005,0.628,0.047
11,25878,Corbin Carroll,22,248,0.301,0.105,0.198,0.53,0.385,0.565,7.2,17.5,4.19,0.92,-3.17,0.62,-2.77,8.06,,0.281,0.6609999999999999,0.434,0.711,0.878,0.8140000000000001,0.40299999999999997,0.512,0.081
10,19352,Sean Murphy,28,215,0.288,0.11199999999999999,0.223,0.5,0.391,0.549,1.3,15.2,1.94,0.61,1.49,2.27,0.57,-5.96,,0.28300000000000003,0.7070000000000001,0.461,0.633,0.8140000000000001,0.75,0.42100000000000004,0.586,0.115
20,13611,Mookie Betts,30,285,0.262,0.133,0.165,0.81,0.365,0.537,4.6,15.9,1.71,2.77,-2.16,1.48,1.73,-3.42,,0.187,0.622,0.373,0.605,0.925,0.833,0.42700000000000005,0.565,0.062
44,12533,Marcus Semien,32,296,0.297,0.095,0.152,0.62,0.363,0.487,6.5,11.5,0.55,2.22,2.53,3.23,3.16,4.9,,0.263,0.792,0.484,0.639,0.914,0.8270000000000001,0.418,0.615,0.084
0,15640,Aaron Judge,31,213,0.291,0.16399999999999998,0.29600000000000004,0.56,0.404,0.674,3.6,21.5,4.36,2.5,1.29,-1.96,0.82,2.14,,0.233,0.7190000000000001,0.42700000000000005,0.42700000000000005,0.762,0.653,0.4,0.615,0.14800000000000002
26,19612,Bo Bichette,25,296,0.323,0.044000000000000004,0.172,0.25,0.355,0.518,3.1,14.1,1.6,0.03,0.15,1.41,9.58,-0.48,,0.38799999999999996,0.774,0.551,0.723,0.9009999999999999,0.828,0.42200000000000004,0.622,0.094
13,19290,Randy Arozarena,28,270,0.29,0.13699999999999998,0.222,0.62,0.407,0.493,5.0,16.6,2.39,-0.34,-0.46,-0.64,3.72,9.36,,0.255,0.62,0.40700000000000003,0.63,0.7759999999999999,0.723,0.41600000000000004,0.593,0.113
6,19556,Yordan Alvarez,26,242,0.277,0.132,0.22699999999999998,0.58,0.388,0.589,1.6,18.6,1.57,3.4,-0.58,-0.28,6.64,-0.4,,0.293,0.685,0.436,0.616,0.899,0.778,0.364,0.57,0.096
65,19287,Adolis Garcia,30,264,0.268,0.083,0.25,0.33,0.33,0.506,5.3,8.1,0.72,1.51,1.61,1.2,-1.62,-6.84,,0.314,0.728,0.479,0.6,0.794,0.7170000000000001,0.39799999999999996,0.5720000000000001,0.135
149,18314,Dansby Swanson,29,279,0.254,0.122,0.24,0.51,0.348,0.398,4.7,3.1,0.07,0.27,3.94,1.46,-1.28,-5.34,,0.26,0.7,0.449,0.614,0.78,0.725,0.429,0.609,0.12300000000000001
91,20043,Luis Robert,25,262,0.261,0.05,0.28600000000000003,0.17,0.315,0.508,4.3,6.6,1.71,-2.13,3.53,2.58,2.22,4.33,,0.40399999999999997,0.746,0.544,0.528,0.823,0.6940000000000001,0.41,0.6759999999999999,0.166
71,16505,Matt Chapman,30,271,0.268,0.10300000000000001,0.255,0.41,0.351,0.464,2.6,7.9,0.76,-0.34,-1.75,-0.4,8.87,7.22,,0.259,0.687,0.442,0.653,0.799,0.75,0.42700000000000005,0.579,0.11
81,16426,Thairo Estrada,27,230,0.293,0.048,0.239,0.2,0.339,0.47,6.5,6.2,0.39,1.45,3.45,-1.25,1.75,-1.26,,0.4,0.631,0.493,0.698,0.932,0.818,0.40299999999999997,0.674,0.08900000000000001
116,16930,Jonah Heim,28,216,0.281,0.069,0.185,0.38,0.333,0.457,4.0,4.1,0.61,-2.16,-2.48,-1.24,3.55,15.03,,0.379,0.76,0.5479999999999999,0.645,0.895,0.799,0.444,0.574,0.11
7,16578,Yandy Diaz,31,238,0.309,0.122,0.155,0.78,0.403,0.549,1.8,17.9,0.44,4.36,1.25,6.83,-0.24,-7.66,,0.24,0.6679999999999999,0.423,0.677,0.92,0.841,0.42700000000000005,0.5920000000000001,0.067
