,IDfg,Name,Age,PA,AVG,BB%,K%,BB/K,OBP,SLG,Spd,wRAA,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
0,10155,Mike Trout,27,1208,0.302,0.192,0.20199999999999999,0.95,0.449,0.637,5.5,125.8,2.25,2.1,2.62,1.74,5.53,1.72,,0.21100000000000002,0.601,0.37200000000000005,0.691,0.903,0.8320000000000001,0.413,0.5529999999999999,0.063
4,13611,Mookie Betts,26,1320,0.319,0.135,0.145,0.93,0.413,0.578,6.7,104.1,1.87,1.95,1.98,1.75,2.52,2.38,-10.91,0.20600000000000002,0.594,0.371,0.713,0.9329999999999999,0.863,0.424,0.556,0.051
5,17678,Alex Bregman,25,1395,0.291,0.154,0.12,1.28,0.409,0.561,3.7,105.3,1.69,1.55,0.19,3.38,1.46,4.5,-7.57,0.19399999999999998,0.597,0.361,0.7809999999999999,0.922,0.878,0.414,0.546,0.044000000000000004
2,11477,Christian Yelich,27,1231,0.327,0.12,0.20600000000000002,0.58,0.415,0.631,6.7,118.0,2.14,1.51,3.25,2.94,3.76,0.21,,0.292,0.674,0.446,0.593,0.8759999999999999,0.765,0.402,0.578,0.105
62,12916,Francisco Lindor,25,1399,0.28,0.083,0.147,0.57,0.344,0.519,5.7,49.2,1.47,0.67,-0.38,-0.86,2.32,-2.99,,0.33899999999999997,0.706,0.488,0.75,0.912,0.845,0.40700000000000003,0.5670000000000001,0.076
9,12861,Anthony Rendon,29,1243,0.314,0.109,0.135,0.8,0.393,0.567,4.0,85.0,1.9,0.26,2.11,3.11,1.68,0.81,,0.261,0.701,0.45299999999999996,0.782,0.927,0.88,0.436,0.598,0.054000000000000006
12,9777,Nolan Arenado,28,1335,0.306,0.10099999999999999,0.161,0.63,0.376,0.572,3.0,82.7,1.85,0.54,0.5,3.18,2.48,2.51,,0.355,0.733,0.506,0.68,0.866,0.7879999999999999,0.4,0.601,0.107
57,16505,Matt Chapman,26,1286,0.263,0.102,0.228,0.45,0.348,0.507,3.9,47.3,0.94,0.58,2.09,-0.11,1.11,0.18,9.62,0.24600000000000002,0.645,0.41700000000000004,0.657,0.848,0.784,0.428,0.5770000000000001,0.09
66,12979,Javier Baez,26,1206,0.286,0.047,0.268,0.18,0.321,0.544,6.6,40.4,0.72,0.02,0.27,4.33,1.18,-2.53,,0.44799999999999995,0.763,0.565,0.546,0.807,0.677,0.37200000000000005,0.662,0.183
51,13510,Jose Ramirez,26,1240,0.263,0.127,0.124,1.03,0.36,0.519,6.2,50.5,1.68,0.85,-0.54,0.84,0.32,1.19,,0.24,0.631,0.401,0.782,0.922,0.873,0.41100000000000003,0.546,0.051
25,15998,Cody Bellinger,23,1292,0.283,0.127,0.2,0.63,0.375,0.55,5.6,69.9,1.37,0.84,2.76,1.08,1.58,-0.83,69.12,0.275,0.6859999999999999,0.447,0.659,0.805,0.753,0.419,0.56,0.111
21,12564,Trevor Story,26,1312,0.293,0.08,0.261,0.31,0.355,0.561,6.5,71.2,1.04,0.74,3.75,1.02,3.37,3.58,,0.318,0.733,0.491,0.602,0.86,0.763,0.41700000000000004,0.591,0.11699999999999999
22,12161,Xander Bogaerts,26,1278,0.3,0.10300000000000001,0.175,0.58,0.373,0.54,3.6,69.5,1.96,1.83,-1.76,0.3,1.11,2.43,6.58,0.297,0.593,0.42,0.6729999999999999,0.894,0.8029999999999999,0.41700000000000004,0.57,0.083
100,11739,J.T. Realmuto,28,1124,0.276,0.07,0.20199999999999999,0.35,0.334,0.489,5.0,26.8,0.68,-0.18,0.85,1.51,0.68,-0.78,,0.326,0.705,0.49,0.653,0.865,0.785,0.43200000000000005,0.594,0.105
47,5417,Jose Altuve,29,1147,0.308,0.084,0.14,0.6,0.37,0.499,4.9,49.4,0.74,0.75,3.25,1.44,-0.01,0.05,22.74,0.33,0.684,0.47,0.73,0.89,0.8220000000000001,0.397,0.6659999999999999,0.084
68,11368,Yasmani Grandal,30,1150,0.243,0.157,0.22899999999999998,0.69,0.366,0.467,3.4,38.0,1.36,-0.83,-1.64,0.63,0.88,-4.25,10.04,0.23600000000000002,0.5870000000000001,0.384,0.615,0.83,0.754,0.42100000000000004,0.557,0.095
16,15640,Aaron Judge,27,945,0.276,0.14800000000000002,0.31,0.48,0.387,0.534,3.2,55.1,2.17,1.24,-0.47,1.1,-0.69,-1.86,3.32,0.249,0.659,0.41100000000000003,0.423,0.789,0.655,0.395,0.583,0.142
31,18401,Ronald Acuna Jr.,21,1202,0.285,0.10099999999999999,0.259,0.39,0.365,0.532,6.4,59.2,1.15,0.45,0.93,3.07,1.91,4.54,22.74,0.27,0.72,0.456,0.618,0.8109999999999999,0.7440000000000001,0.413,0.616,0.11699999999999999
130,12533,Marcus Semien,28,1450,0.27,0.102,0.161,0.64,0.345,0.456,4.9,29.9,0.88,-0.39,0.5,1.47,0.73,-0.25,-5.41,0.24600000000000002,0.679,0.429,0.6779999999999999,0.89,0.82,0.424,0.622,0.077
10,20123,Juan Soto,20,1153,0.287,0.162,0.2,0.81,0.403,0.535,4.9,73.3,2.47,-0.53,0.85,1.39,0.92,1.52,,0.228,0.65,0.4,0.644,0.862,0.7879999999999999,0.40700000000000003,0.564,0.085
13,13301,Max Muncy,28,1070,0.256,0.158,0.262,0.6,0.381,0.545,3.8,63.0,2.33,0.08,1.17,0.08,0.23,6.97,8.82,0.22399999999999998,0.612,0.386,0.586,0.8079999999999999,0.733,0.418,0.5539999999999999,0.10300000000000001
46,12856,George Springer,29,1176,0.278,0.111,0.2,0.56,0.363,0.507,4.2,51.4,1.17,1.87,-0.7,1.68,0.17,-4.06,9.4,0.242,0.7020000000000001,0.441,0.605,0.84,0.767,0.43200000000000005,0.591,0.10300000000000001
7,6184,J.D. Martinez,31,1306,0.317,0.10800000000000001,0.217,0.5,0.392,0.593,3.6,97.3,2.19,0.07,1.85,1.28,3.84,4.45,,0.325,0.7609999999999999,0.499,0.5760000000000001,0.851,0.743,0.39899999999999997,0.606,0.128
73,11493,Manny Machado,25,1370,0.277,0.099,0.16899999999999998,0.58,0.351,0.501,3.8,44.4,1.05,-0.33,2.03,1.27,-1.73,-3.12,-7.73,0.318,0.7170000000000001,0.47700000000000004,0.642,0.883,0.7859999999999999,0.39899999999999997,0.588,0.102
20,5361,Freddie Freeman,29,1399,0.302,0.11699999999999999,0.185,0.63,0.388,0.527,4.2,76.6,1.74,0.76,0.23,3.07,0.29,1.71,-6.58,0.337,0.8390000000000001,0.537,0.679,0.8340000000000001,0.7759999999999999,0.39899999999999997,0.5770000000000001,0.12
43,13613,Ketel Marte,25,1208,0.296,0.08900000000000001,0.13699999999999998,0.65,0.361,0.518,6.0,53.3,1.31,0.79,1.79,2.12,0.38,4.86,,0.301,0.7,0.466,0.7509999999999999,0.905,0.847,0.414,0.583,0.071
124,16252,Trea Turner,26,1309,0.283,0.086,0.187,0.46,0.348,0.451,7.2,27.6,0.88,0.0,-0.77,0.9,1.03,1.45,,0.29,0.665,0.449,0.643,0.89,0.799,0.425,0.624,0.091
27,12552,Eugenio Suarez,27,1268,0.277,0.106,0.261,0.4,0.362,0.55,2.7,65.3,1.39,-0.03,2.75,0.67,1.27,-3.98,-15.76,0.263,0.693,0.445,0.5379999999999999,0.8590000000000001,0.75,0.424,0.607,0.111
49,9218,Paul Goldschmidt,31,1372,0.275,0.122,0.247,0.5,0.367,0.504,3.6,57.6,1.05,1.13,0.75,1.26,1.68,1.18,,0.301,0.6509999999999999,0.444,0.6829999999999999,0.8109999999999999,0.76,0.409,0.618,0.107
23,5235,Justin Turner,34,975,0.3,0.10099999999999999,0.146,0.69,0.387,0.513,2.9,51.9,1.17,1.45,1.28,1.81,2.02,-0.02,,0.271,0.6679999999999999,0.445,0.785,0.903,0.863,0.43799999999999994,0.5820000000000001,0.061
87,16376,Michael Conforto,26,1286,0.25,0.131,0.24,0.55,0.356,0.471,3.1,35.9,0.88,0.72,1.09,0.19,0.22,0.14,,0.275,0.6859999999999999,0.444,0.61,0.828,0.7490000000000001,0.41200000000000003,0.593,0.111
89,9874,DJ LeMahieu,30,1236,0.303,0.067,0.139,0.48,0.35,0.476,4.2,34.7,0.22,0.74,2.93,2.14,3.06,1.69,46.31,0.28300000000000003,0.63,0.43700000000000006,0.74,0.9329999999999999,0.8640000000000001,0.444,0.593,0.06
106,11281,Whit Merrifield,30,1442,0.303,0.07400000000000001,0.166,0.44,0.358,0.451,6.3,32.8,1.2,-1.14,0.58,1.43,0.6,8.29,,0.335,0.684,0.484,0.732,0.878,0.82,0.42700000000000005,0.597,0.087
