id,NYA202206280
version,2
info,visteam,OAK
info,hometeam,NYA
info,site,NYC21
info,date,2022/06/28
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,sches901
info,ump1b,vondc901
info,ump2b,buckc901
info,ump3b,gonzm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,altmb701
info,temp,77
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,183
info,attendance,38051
info,wp,searj001
info,lp,montf001
info,save,holmc001
start,allen002,"Nick Allen",0,1,4
start,laurr001,"Ramon Laureano",0,2,9
start,bethc001,"Christian Bethancourt",0,3,3
start,murps001,"Sean Murphy",0,4,2
start,piscs001,"Stephen Piscotty",0,5,10
start,andre001,"Elvis Andrus",0,6,6
start,pindc001,"Chad Pinder",0,7,7
start,neuss001,"Sheldon Neuse",0,8,5
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,welkb901
info,ump1b,valej901
info,ump2b,morag901
info,ump3b,fleta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:35
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,81
info,winddir,torf
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,189
info,attendance,41419
info,wp,berrj001
info,lp,montf001
info,save,
start,sprig001,"George Springer",0,1,10
start,guerv002,"Vladimir Guerrero",0,2,3
start,gurrl001,"Lourdes Gurriel Jr.",0,3,7
start,kirka001,"Alejandro Kirk",0,4,2
start,hernt002,"Teoscar Hernandez",0,5,9
start,bichb001,"Bo Bichette",0,6,6
start,chapm001,"Matt Chapman",0,7,5
start,espis001,"Santiago Espinal",0,8,4
start,merrw001,"Whit Merrifield",0,9,8
start,berrj001,"Jose Berrios",0,0,1
start,lemad001,"DJ LeMahieu",1,1,4
start,judga001,"Aaron Judge",1,2,9
start,rizza001,"Anthony Rizzo",1,3,3
start,donaj001,"Josh Donaldson",1,4,5
start,benia002,"Andrew Benintendi",1,5,7
start,torrg001,"Gleyber Torres",1,6,10
start,cabro002,"Oswaldo Cabrera",1,7,6
start,trevj001,"Jose Trevino",1,8,2
start,flore001,"Estevan Florial",1,9,8
start,montf001,"Frankie Montas",1,0,1
play,1,0,sprig001,01,FX,D7/L7LD+
play,1,0,guerv002,21,B*BCX,13/G1
play,1,0,gurrl001,00,X,63/G6-.2-3
play,1,0,kirka001,22,BCBFC,K
play,1,1,lemad001,12,CCBX,3/G3+
play,1,1,judga001,32,CSFBBBFX,9/F89D
play,1,1,rizza001,01,SX,S8/L8XD+
play,1,1,donaj001,12,CSBS,K
play,2,0,hernt002,11,CBX,S7/L7LS
play,2,0,bichb001,12,CFB*S,K
play,2,0,chapm001,01,1C>X,D7/L7+.1-3
play,2,0,espis001,11,BSX,FC6/G56S.3-H;2X3(64);B-1
play,2,0,merrw001,30,BBBB,W.1-2
play,2,0,sprig001,12,BCFX,S8/L8S.2-H;1-3
play,2,0,guerv002,10,BX,HR/F9D.3-H;1-H
play,2,0,gurrl001,22,BSBFFX,7/F78S
play,2,1,benia002,12,BCFS,K
play,2,1,torrg001,01,CX,53/G6-
play,2,1,cabro002,12,BFFC,K
play,3,0,kirka001,01,CX,3/P3F/FL
play,3,0,hernt002,10,BX,53/G5
play,3,0,bichb001,10,BX,8/F8XD+
play,3,1,trevj001,32,BCCBFBB,W
play,3,1,flore001,00,H,HP.1-2
play,3,1,lemad001,00,X,S1/G34S-.2-H(E1/TH)(NR);1-3
play,3,1,judga001,32,BBCBCX,54(1)/FO/G5.3-H(UR);B-1
play,3,1,rizza001,02,CFS,K
play,3,1,donaj001,00,X,9/F9S
play,4,0,chapm001,10,BX,63/G6S
play,4,0,espis001,31,BBCBX,63/G6
play,4,0,merrw001,12,CBSFFX,31/G34-
play,4,1,benia002,02,CFC,K
play,4,1,torrg001,12,CFBS,K
play,4,1,cabro002,00,X,D8/L8XD+
play,4,1,trevj001,11,BCX,43/G4
play,5,0,sprig001,02,FFX,S9/F89S
play,5,0,guerv002,21,BBSX,64(1)/FO/G6.B-1
play,5,0,gurrl001,32,BCBFFFB>X,S9/L9.1-3
play,5,0,kirka001,00,X,D7/L7LD+.3-H;1-3
play,5,0,hernt002,10,BX,FC/G6S.3XH(62);B-1
play,5,0,bichb001,22,BBFFFX,7/L78
play,5,1,flore001,11,BFX,5/P5F/FL
play,5,1,lemad001,11,BCX,13/G1
play,5,1,judga001,10,BX,53/G5
play,6,0,chapm001,21,SBBX,7/F7LS
play,6,0,espis001,11,FBX,53/G56
play,6,0,merrw001,01,FX,3/P34S
play,6,1,rizza001,12,CFFBX,D7/F7LD
play,6,1,donaj001,12,SS*BC,K
play,6,1,benia002,00,X,8/F78XD+.2-3
play,6,1,torrg001,02,CSS,K
play,7,0,sprig001,00,,NP
sub,abrea001,"Albert Abreu",1,0,1
play,7,0,sprig001,32,.FCBBBX,S8/L8D+
play,7,0,guerv002,10,BX,FC5/G56S.1X3(5E4);B-2
play,7,0,gurrl001,31,BB*BCB,W
play,7,0,kirka001,22,BF*BSX,9/SF/L9D.3-H(UR);2-3
play,7,0,hernt002,11,B1FX,D8/L78XD+.3-H;1-H
play,7,0,bichb001,12,BFCS,K
play,7,0,chapm001,11,BFX,13/G25
play,7,1,cabro002,12,BFCX,S9/L9LD
play,7,1,trevj001,02,CCX,9/L89
play,7,1,flore001,32,BSSBBS,K
play,7,1,lemad001,11,*BCX,S9/G34.1-2
play,7,1,judga001,00,,NP
sub,bassa001,"Anthony Bass",0,0,1
play,7,1,judga001,22,.BSBFS,K
play,8,0,espis001,00,,NP
sub,luetl001,"Lucas Luetge",1,0,1
play,8,0,espis001,32,.CBCFBBFFB,W
play,8,0,merrw001,00,X,4/P34
play,8,0,sprig001,31,CBBBX,S9/L89.1-2
play,8,0,guerv002,00,X,54(1)3/GDP/G5
play,8,1,rizza001,00,,NP
sub,bradj001,"Jackie Bradley Jr.",0,9,8
play,8,1,rizza001,00,.,NP
sub,kikuy001,"Yusei Kikuchi",0,0,1
play,8,1,rizza001,30,..BBBB,W
play,8,1,donaj001,02,CSX,S8/G6M+.1-2
play,8,1,benia002,12,CC*BS,K
play,8,1,torrg001,00,X,9/F9L
play,8,1,cabro002,22,BF*BF*S,K
play,9,0,gurrl001,22,SBBSS,K
play,9,0,kirka001,22,CCBBX,S7/G56+
play,9,0,hernt002,32,CSB*BBS,K
play,9,0,bichb001,21,BBCX,S8/L78.1-2
play,9,0,chapm001,32,BBBCF>F>S,K
play,9,1,trevj001,00,,NP
sub,romaj004,"Jordan Romano",0,0,1
play,9,1,trevj001,12,.BSFFX,13/G1S-
play,9,1,flore001,00,X,7/F7LS
play,9,1,lemad001,02,FSFS,K
data,er,berrj001,1
data,er,bassa001,0
data,er,kikuy001,0
data,er,romaj004,0
data,er,luetl001,0
data,er,abrea001,2
data,er,montf001,6
id,NYA202208230
version,2
info,visteam,NYN
info,hometeam,NYA
info,site,NYC21
info,date,2022/08/23
info,number,0
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,marqa901
info,ump1b,dejer901
info,ump2b,merzd901
info,ump3b,barrl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:41
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,84
info,winddir,tocf
info,windspeed,10
