id,HOU202306200
version,2
info,visteam,NYN
info,hometeam,HOU
info,site,HOU03
info,date,2023/06/20
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,onorb901
info,ump2b,hobep901
info,ump3b,metzj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/26 10:07:28
info,howscored,unknown
info,pitches,pitches
info,oscorer,fanud701
info,temp,73
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,131
info,attendance,34606
info,wp,valdf001
info,lp,verlj001
info,save,presr001
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,phamt001,"Tommy Pham",0,5,7
start,alvaf001,"Francisco Alvarez",0,6,2
start,mcnej002,"Jeff McNeil",0,7,4
start,canhm001,"Mark Canha",0,8,10
start,diazy004,"Yainer Diaz",1,5,10
start,dubom001,"Mauricio Dubon",1,6,8
start,singj001,"Jon Singleton",1,7,3
start,penaj004,"Jeremy Pena",1,8,6
start,maldm001,"Martin Maldonado",1,9,2
start,verlj001,"Justin Verlander",1,0,1
play,1,0,rengl001,00,X,4/P3D
play,1,0,ohtas001,22,BBFF.X,43/G34
play,1,0,drurb001,12,SCF.FBFX,7/L7D
play,1,1,altuj001,02,.FCX,S8/G6M
play,1,1,brega001,30,BBBB,W.1-2
play,1,1,alvay001,01,SX,7/F7S
play,1,1,tuckk001,00,N,CS3(15).1-2
play,1,1,tuckk001,21,N.CBBX,3/L3
play,2,0,mousm001,22,CBFBFFX,23/G2
play,2,0,cronc002,21,BFBX,HR/F7D
play,2,0,monim001,22,BFSFFBFFS,K
play,2,0,renfh001,12,CBSFX,7/F78D
play,2,1,diazy004,10,BX,S9/L9
play,2,1,dubom001,00,X,S8/G4M.1-2
play,2,1,singj001,00,B,WP.2-3;1-2
play,2,1,singj001,20,B.BX,HR/F9LD.3-H;2-H
play,2,1,penaj004,12,BFC.FFX,S8/G6M
play,2,1,maldm001,01,SX,D6/G5.1-3
play,2,1,altuj001,31,BBCBB,W
play,2,1,brega001,02,FT.X,64(1)/FO/G6.3-H;2-3;B-1
play,2,1,alvay001,02,*SCX,54(1)/FO/G56.3-H;B-1
play,2,1,tuckk001,00,X,3/P3F/FL
play,3,0,gricr001,20,BBX,6/P56D
play,3,0,wallc001,00,X,T7/F8XD
play,3,0,rengl001,12,BFFX,S4/G34.3-H
play,3,0,ohtas001,22,BBSFS,K
