id,NYA202307250
version,2
info,visteam,NYN
info,hometeam,NYA
info,site,NYC21
info,date,2023/07/25
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,marqa901
info,ump1b,eddid901
info,ump2b,dejer901
info,ump3b,barrl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/29 12:23:06
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,70
info,winddir,tocf
info,windspeed,2
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,191
info,attendance,46540
info,wp,verlj001
info,lp,germd001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,voged001,"Daniel Vogelbach",0,5,10
start,alvaf001,"Francisco Alvarez",0,6,2
start,batyb001,"Brett Baty",0,7,5
start,canhm001,"Mark Canha",0,8,7
play,2,1,volpa001,01,CX,8/SF/F8D.3-H;2-3
play,2,1,rortb001,32,CFBBBS,K
play,2,1,bauej001,20,BBX,9/L89D+
play,3,0,kessg001,20,BBX,7/F7
play,3,0,maldm001,12,CBTS,K
play,3,0,altuj001,12,CSFBX,HR/F7D
play,3,0,penaj004,01,SX,43/G4M
play,3,1,judga001,00,X,9/F9LD+
play,3,1,torrg001,00,X,3/P3F/FL
play,3,1,stanm004,11,BFX,D7/L7LD+
play,3,1,lemad001,11,CBX,S8/L89D+.2XH(82)
play,4,0,tuckk001,22,SSBFFBS,K
play,4,0,brega001,32,CBBFFBC,K
play,4,0,alvay001,22,CBSBFFS,K
play,4,1,kinei001,10,BX,4/P34D
play,4,1,badeh001,01,CX,53/G56S
play,4,1,volpa001,12,BCFX,43/G4M
play,5,0,mccoc001,00,,NP
sub,hamii001,"Ian Hamilton",1,0,1
play,5,0,mccoc001,30,.BBBB,W
play,5,0,dubom001,12,CFBC,K
play,5,0,kessg001,20,B1B>S,CS2(24)
play,5,0,kessg001,22,B1B>S.C.S,K
play,5,1,rortb001,12,CBFX,7/L7L
play,5,1,bauej001,10,BX,HR/F9D
play,5,1,judga001,32,BBBCFX,8/F8XD+
play,5,1,torrg001,22,BCSBX,S5/G6S.B-2(E5/TH)
play,5,1,stanm004,11,FBX,53/G6S-
play,6,0,maldm001,02,MFS,K
play,6,0,altuj001,32,BCBBCFC,K
play,6,0,penaj004,30,BBBB,W
play,6,0,tuckk001,12,CT*BFFFX,163/G4M
play,6,1,lemad001,12,BCFX,53/G56
play,6,1,kinei001,21,BCBX,6/P6
play,6,1,badeh001,02,CSS,K
play,7,0,brega001,00,,NP
sub,kahnt001,"Tommy Kahnle",1,0,1
play,7,0,brega001,32,.CBBFFFBB,W
play,7,0,alvay001,01,CX,46(1)3/GDP/G34
play,7,0,mccoc001,12,FSBFS,K
play,7,1,volpa001,20,BBX,9/F9
play,7,1,rortb001,00,X,9/F9D
