id,SDN202307070
version,2
info,visteam,NYN
info,hometeam,SDN
info,site,SAN02
info,date,2023/07/07
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hoyej901
info,ump1b,reybd901
info,ump2b,vondc901
info,ump3b,libkj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/10 07:14:29
info,howscored,unknown
info,pitches,pitches
info,oscorer,maffj701
info,temp,67
info,winddir,unknown
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,207
info,attendance,42712
info,wp,smitd009
info,lp,cosgt001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,phamt001,"Tommy Pham",0,2,7
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,voged001,"Daniel Vogelbach",0,5,10
start,marts002,"Starling Marte",0,6,9
start,mcnej002,"Jeff McNeil",0,7,4
start,alvaf001,"Francisco Alvarez",0,8,2
play,5,1,bogax001,32,*BCBC.F*B>X,3/P3F/FL
play,6,0,alvaf001,00,,NP
sub,morea001,"Adrian Morejon",1,0,1
play,6,0,alvaf001,01,.CX,S7/L7D+
play,6,0,guill001,00,X,13/SH/BG13-.1-2
play,6,0,nimmb001,32,BFBBTC,K
play,6,0,phamt001,00,,NP
sub,garcl005,"Luis Garcia",1,0,1
play,6,0,phamt001,31,.BBFBB,W
play,6,0,lindf001,32,*BFBFB>F>X,3/P3F/FL
play,6,1,cronj001,22,CFBBX,7/L7
play,6,1,sancg002,10,BX,5/L5
play,6,1,carpm002,00,X,7/F7LS
play,7,0,alonp001,12,CFBF*S,K
play,7,0,voged001,32,BCBS.B*S,K
play,7,0,marts002,00,X,53/G56
play,7,1,grist001,00,,NP
sub,raleb001,"Brooks Raley",0,0,1
play,7,1,grist001,22,.BBCCX,3/G3
play,7,1,kim-h002,00,X,D7/L7L.BX3(75)
play,7,1,sotoj001,12,CBSX,D8/L78D+
play,7,1,tatif002,00,,NP
sub,ottaa001,"Adam Ottavino",0,0,1
play,7,1,tatif002,32,.BSBC.BX,8/L8D+
play,8,0,mcnej002,00,,NP
sub,hillt002,"Tim Hill",1,0,1
play,8,0,mcnej002,10,.BX,43/G34
play,8,0,alvaf001,12,CS.BX,S7/L7S+
play,8,0,guill001,00,,NP
sub,canhm001,"Mark Canha",0,9,11
play,8,0,canhm001,32,.BBBCC.S,K
play,8,0,nimmb001,32,BBCCB>X,23/G2-
play,8,1,machm001,00,,NP
sub,canhm001,"Mark Canha",0,9,5
play,8,1,machm001,10,.BX,53/G56
play,8,1,bogax001,21,CBBX,23/G2-
play,8,1,cronj001,31,BBBC*B,W
play,8,1,sancg002,10,B>C,SB2
play,8,1,sancg002,11,B>C.X,7/F7LD
play,9,0,phamt001,00,,NP
sub,odorr001,"Rougned Odor",1,1,4
play,9,0,phamt001,00,.,NP
sub,martn002,"Nick Martinez",1,0,1
play,9,0,phamt001,22,..CBBS*S,K.BX1(23)
play,9,0,lindf001,12,FFBX,S7/G56
play,9,0,alonp001,22,CBBF>B,SB2
com,"$Padres challenged (tag play), call on the field was upheld."
play,9,0,alonp001,32,CBBF>B.B,W
play,9,0,voged001,31,C*BB*BB,W.2-3;1-2
play,9,0,marts002,00,,NP
sub,stewd002,"DJ Stewart",0,5,12
play,9,0,marts002,00,.X,12(3)3/GDP/G1
play,9,1,carpm002,00,.,NP
sub,smitd009,"Drew Smith",0,0,1
play,9,1,carpm002,12,..CBFX,8/F89XD
play,9,1,grist001,02,SS.*S,K
play,9,1,odorr001,00,X,S7/L78S
