id,NYN202307290
version,2
info,visteam,WAS
info,hometeam,NYN
info,site,NYC20
info,date,2023/07/29
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,carav901
info,ump2b,jimee901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/24 10:02:37
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,79
info,winddir,torf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,184
info,attendance,30858
info,wp,corbp001
info,lp,carrc003
info,save,
start,abrac001,"CJ Abrams",0,1,6
start,thoml002,"Lane Thomas",0,2,9
start,candj002,"Jeimer Candelario",0,3,5
start,menej001,"Joey Meneses",0,4,10
start,garcl006,"Luis Garcia",0,5,4
start,smitd008,"Dominic Smith",0,6,3
start,garrs003,"Stone Garrett",0,7,7
start,adamr004,"Riley Adams",0,8,2
sub,vienm001,"Mark Vientos",1,8,3
play,8,0,adamr004,00,...,NP
sub,batyb001,"Brett Baty",1,9,5
play,8,0,adamr004,00,....,NP
sub,gottt001,"Trevor Gott",1,0,1
play,8,0,adamr004,01,.....CX,9/F9D
play,8,0,calla002,32,BSBBC.B,W
play,8,0,abrac001,10,B1,PO1(E1/TH).1-2
play,8,0,abrac001,12,B1.CFS,K
play,8,0,thoml002,10,BX,63/G6
play,8,1,lindf001,00,,NP
sub,thomm005,"Mason Thompson",0,0,1
play,8,1,lindf001,32,.CBFBBB,W
play,8,1,alonp001,22,BBC>F.FS,K
play,8,1,phamt001,00,X,S9/F89S.1-3
play,8,1,mcnej002,00,,NP
sub,finnk001,"Kyle Finnegan",0,0,1
play,8,1,mcnej002,10,.BX,8/F78S
play,8,1,canhm001,00,,NP
sub,voged001,"Daniel Vogelbach",1,6,11
play,8,1,voged001,22,.BCCB>FFT,K
play,9,0,candj002,00,,NP
sub,stewd002,"DJ Stewart",1,6,9
play,9,0,candj002,00,.,NP
sub,hartg002,"Grant Hartwig",1,0,1
play,9,0,candj002,00,...H,HP
play,9,0,menej001,32,CSBB+1FFFB1>X,S8/L8.1-H
play,9,0,garcl006,21,BFB1B,WP.1-2
play,9,0,garcl006,32,BFB1B.FFS,K
play,9,0,smitd008,32,CBFBBX,43/G4.2-3
