id,NYA202308240
version,2
info,visteam,WAS
info,hometeam,NYA
info,site,NYC21
info,date,2023/08/24
info,number,0
info,gametype,regular
info,starttime,1:05PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,littw901
info,ump1b,merzd901
sub,vargi001,"Ildemaro Vargas",0,6,5
play,9,1,perao002,00,..,NP
sub,alu-j001,"Jake Alu",0,8,4
play,9,1,perao002,10,...BX,S8/L8
play,9,1,lemad001,22,FB*BFS,K
play,9,1,judga001,02,CFX,9/F9L+
play,9,1,torrg001,01,FX,S8/G6MS.1-2
play,9,1,stanm004,00,>C,DI.2-3
play,9,1,stanm004,32,>C.SFBB*B>F>X,S7/G56.3-H;1-2
play,9,1,badeh001,00,,NP
sub,cabro002,"Oswaldo Cabrera",1,4,12
play,9,1,badeh001,02,.CFX,8/F78XD
data,er,harvh001,0
data,er,weemj001,1
data,er,finnk001,1
data,er,corbp001,3
data,er,kingm002,0
data,er,abrea001,0
data,er,britj003,1
data,er,kahnt001,3
data,er,holmc001,1
data,er,middk001,0
