id,MIL202309170
version,2
info,visteam,WAS
info,hometeam,MIL
info,site,MIL06
info,date,2023/09/17
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hobep901
info,ump1b,cejan901
info,ump2b,onorb901
info,ump3b,hanat901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:34
info,howscored,unknown
info,pitches,pitches
info,oscorer,quesd701
info,temp,67
info,winddir,fromlf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,195
info,attendance,31865
info,wp,garcr008
info,lp,vieit001
info,save,
start,abrac001,"CJ Abrams",0,1,6
start,thoml002,"Lane Thomas",0,2,9
start,menej001,"Joey Meneses",0,3,10
start,smitd008,"Dominic Smith",0,4,3
start,vargi001,"Ildemaro Vargas",0,5,5
start,garcl006,"Luis Garcia",0,6,4
start,milld003,"Drew Millas",0,7,2
start,alu-j001,"Jake Alu",0,8,7
play,5,0,milld003,32,BSF.F>B.BFC,K
play,5,0,alu-j001,12,BTCFS,K
play,5,1,taylt002,11,BCX,63/G6D
play,5,1,carav001,10,BX,S8/G6M
play,5,1,perkb002,31,BF*BBX,14(1)3/GDP/G6MS
play,6,0,younj004,32,CFFBBBX,9/L9
play,6,0,abrac001,12,SBFFX,3/G3
play,6,0,thoml002,32,BBFCBF.X,DGR/L8XD+
play,6,0,menej001,10,BX,7/F7LD
play,6,1,canhm001,32,CBFFBBX,S7/G56
play,6,1,contw002,01,S>B,SB2
play,6,1,contw002,11,S>B.X,13/SH/BG2-.2-3
play,6,1,santc002,10,BX,9/SF/F89.3-H
play,6,1,adamw002,22,BCBFX,8/F89
play,7,0,smitd008,00,,NP
sub,milnh001,"Hoby Milner",1,0,1
play,7,0,smitd008,12,.CCBX,43/G4
play,7,0,vargi001,12,CB.CX,63/G15
play,7,0,garcl006,32,CSBBBFFX,43/G4
play,7,1,donaj001,00,,NP
sub,harvh001,"Hunter Harvey",0,0,1
play,7,1,donaj001,01,.CX,9/F9LD
play,7,1,monaa001,32,BBCSFBS,K
play,7,1,taylt002,32,BBFBFX,8/F8XD
play,8,0,milld003,00,,NP
sub,wilsb003,"Bryse Wilson",1,0,1
play,8,0,milld003,01,.FX,D7/L7L
play,8,0,alu-j001,11,BFX,53/SH/BG25.2-3
play,8,0,younj004,31,*BBBCB,W
play,8,0,abrac001,00,,NP
sub,chafa001,"Andrew Chafin",1,0,1
play,8,0,abrac001,00,.1X,46(1)3/GDP/G34
play,8,1,carav001,11,CB.X,7/F7
play,8,1,perkb002,00,,NP
sub,frels001,"Sal Frelick",1,9,11
play,8,1,frels001,22,.BFFFBX,9/F9D
play,8,1,canhm001,32,FC.BBBC,K
play,9,0,thoml002,00,,NP
sub,frels001,"Sal Frelick",1,9,8
play,9,0,thoml002,00,.,NP
sub,willd004,"Devin Williams",1,0,1
play,9,0,thoml002,22,..BBCSS,K
play,9,0,menej001,32,BSBBSS,K
play,9,0,smitd008,32,BBCC.FBB,W
play,9,0,vargi001,00,,NP
sub,chavm001,"Michael Chavis",0,4,12
play,9,0,vargi001,30,.BBBB,W.1-2
play,9,0,garcl006,11,BCX,3/G3
play,9,1,contw002,00,,NP
sub,chavm001,"Michael Chavis",0,4,3
play,9,1,contw002,00,.,NP
sub,finnk001,"Kyle Finnegan",0,0,1
play,9,1,contw002,22,..CBC.BFX,8/L89D
play,9,1,santc002,12,CFBFX,S4/G34
play,9,1,adamw002,00,,NP
sub,turab002,"Brice Turang",1,3,12
play,9,1,adamw002,01,.F1>B,SB2
play,9,1,adamw002,32,.F1>B.FFBBF.*B,W
play,9,1,donaj001,11,CBX,4/P4
play,9,1,monaa001,01,C>B,SB3;SB2
play,9,1,monaa001,12,C>B.ST,K
play,10,0,milld003,00,,NP
sub,turab002,"Brice Turang",1,3,4
play,10,0,milld003,00,.,NP
sub,tellr001,"Rowdy Tellez",1,5,3
play,10,0,milld003,00,..,NP
sub,monaa001,"Andruw Monasterio",1,6,5
play,10,0,milld003,00,...,NP
sub,vieit001,"Thyago Vieira",1,0,1
radj,garcl006,2
com,"Luis Garcia starts inning at 2nd base."
play,10,0,milld003,01,......FX,6/L6
play,10,0,alu-j001,12,CFBFFFX,8/F8XD.2-3
play,10,0,younj004,30,BBBB,W
play,10,0,abrac001,00,>T,SB2
play,10,0,abrac001,01,>T.X,7/F7
play,10,1,taylt002,00,,NP
sub,garcr008,"Robert Garcia",0,0,1
radj,monaa001,2
com,"Andruw Monasterio starts inning at 2nd base."
play,10,1,taylt002,12,..FSBFS,K
play,10,1,carav001,10,BX,S9/L89S.2-3
play,10,1,frels001,31,BFB*BB,W.1-2
play,10,1,canhm001,12,CF*BFX,62(3)/FO/G6S.2-3;1-2;B-1
play,10,1,contw002,01,FX,46(1)/FO/G4.B-1
radj,abrac001,2
com,"CJ Abrams starts inning at 2nd base."
play,11,0,thoml002,11,.F*BX,9/F89D.2-3
play,11,0,menej001,02,C*SX,8/SF/F8.3-H(UR)
play,11,0,chavm001,02,FCS,K
radj,contw002,2
com,"William Contreras starts inning at 2nd base."
play,11,1,turab002,00,.X,14/SH/BG1S-.2-3
play,11,1,adamw002,30,VVVV,IW
play,11,1,tellr001,11,CBX,3/G3/DP.3XH(32);1-2
data,er,harvh001,0
data,er,garcr008,0
data,er,finnk001,0
data,er,corbp001,1
data,er,milnh001,0
data,er,chafa001,0
data,er,willd004,0
data,er,vieit001,0
data,er,woodb005,1
data,er,wilsb003,0
