id,NYA202309240
version,2
info,visteam,ARI
info,hometeam,NYA
info,site,NYC21
info,date,2023/09/24
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hamaa901
info,ump1b,carav901
info,ump2b,vondc901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/05 09:13:37
info,howscored,unknown
info,pitches,pitches
info,oscorer,kaplh701
info,temp,64
info,winddir,torf
info,windspeed,14
info,fieldcond,unknown
info,precip,rain
info,sky,overcast
info,timeofgame,182
info,attendance,39018
info,wp,gallz001
info,lp,rodoc001
info,save,
start,moreg001,"Gabriel Moreno",0,1,2
start,carrc005,"Corbin Carroll",0,2,9
start,phamt001,"Tommy Pham",0,3,10
start,walkc002,"Christian Walker",0,4,3
start,gurrl001,"Lourdes Gurriel Jr.",0,5,7
start,longe001,"Evan Longoria",0,6,5
start,lawlj001,"Jordan Lawlar",0,7,6
start,thoma004,"Alek Thomas",0,8,8
play,7,0,walkc002,32,C*BFBFF.BFX,S8/F8S.1-2
play,7,0,gurrl001,12,TBFFX,3/G3.2-3;1-2
play,7,0,longe001,00,X,S57/G56.3-H;2-H
play,7,0,lawlj001,00,,NP
sub,vasqr001,"Randy Vasquez",1,0,1
play,7,0,lawlj001,00,.,NP
sub,mccaj003,"Jake McCarthy",0,6,12
play,7,0,lawlj001,31,..BBB+1C1X,E7/F7.1-2;B-1
play,7,0,thoma004,21,.BBCB,WP.2-3;1-2
play,7,0,thoma004,31,.BBCB.B,W
play,7,0,perdg001,22,FBCBX,7/SF/F7LD.3-H(UR);2-3;1-2
play,7,0,moreg001,22,CBBCFFFFX,4/F4D
play,7,1,kinei001,00,,NP
sub,carrc005,"Corbin Carroll",0,2,7
play,7,1,kinei001,00,.,NP
sub,rivee001,"Emmanuel Rivera",0,5,5
play,7,1,kinei001,00,..,NP
sub,mccaj003,"Jake McCarthy",0,6,9
play,7,1,kinei001,00,...,NP
sub,thomr007,"Ryan Thompson",0,0,1
play,7,1,kinei001,00,....,NP
sub,bauej001,"Jake Bauers",1,6,11
play,7,1,bauej001,32,.....BCBCBS,K
play,7,1,cabro002,11,BCX,43/G4
play,7,1,perao002,10,BX,53/G56S
play,8,0,carrc005,00,,NP
sub,bauej001,"Jake Bauers",1,6,9
play,8,0,carrc005,00,.,NP
sub,cabro002,"Oswaldo Cabrera",1,7,7
play,8,0,carrc005,22,..BFBFFX,D5/F7LS
play,8,0,phamt001,01,CX,S8/L89.2-3
play,8,0,walkc002,22,BFFBX,53/G5.3-H;1-2
play,8,0,rivee001,12,FTBC,K
play,8,0,mccaj003,22,CFFBFBS,K
play,8,1,flore001,00,,NP
sub,ginkk001,"Kevin Ginkel",0,0,1
play,8,1,flore001,10,.BX,2/P5SF/FL
play,8,1,lemad001,32,BCBFBB,W
play,8,1,judga001,21,S*BBX,DGR/F9LD+.1-3
play,8,1,torrg001,12,SC*BF*S,K
play,8,1,wella002,32,BSF*BB*B,W
play,8,1,volpa001,12,CFF*BS,K
play,9,0,lawlj001,22,BFC.BX,6/F6MD
play,9,0,thoma004,10,BX,43/G4
play,9,0,perdg001,30,BBBB,W
play,9,0,moreg001,32,BBBCT>X,D9/L89D.1-H
play,9,0,carrc005,00,,NP
sub,mcalz001,"Zach McAllister",1,0,1
play,9,0,carrc005,10,.BX,2/P2F/FL/BINT
play,9,1,bauej001,00,,NP
sub,frial001,"Luis Frias",0,0,1
play,9,1,bauej001,21,.BFBX,D4/P6S
play,9,1,cabro002,12,BSFX,D7/L78S.2-3
play,9,1,perao002,21,*BBCX,7/F78
play,9,1,flore001,12,CFBFFS,K
play,9,1,lemad001,32,SBFBBB,W
play,9,1,judga001,32,BSSBB>F>B,W.3-H;2-3;1-2
play,9,1,torrg001,11,CBX,3/P3D
data,er,frial001,1
data,er,ginkk001,0
data,er,gallz001,0
data,er,thomr007,0
data,er,rodoc001,3
data,er,mcalz001,0
data,er,vasqr001,2
