id,MIL202306210
version,2
info,visteam,ARI
info,hometeam,MIL
info,site,MIL06
info,date,2023/06/21
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,thomd901
info,ump1b,moorm901
info,ump2b,drecb901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/04 09:04:43
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,78
info,winddir,ltor
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,165
info,attendance,31397
info,wp,gallz001
info,lp,pegue001
info,save,mcgos001
start,perdg001,"Geraldo Perdomo",0,1,6
start,martk001,"Ketel Marte",0,2,4
start,carrc005,"Corbin Carroll",0,3,7
start,walkc002,"Christian Walker",0,4,3
start,smitp002,"Pavin Smith",0,5,10
start,rivee001,"Emmanuel Rivera",0,6,5
start,thoma004,"Alek Thomas",0,7,8
start,moreg001,"Gabriel Moreno",0,8,2
play,5,0,perdg001,32,1BBB>C.S.FS,K
play,5,0,martk001,30,BBBB,W
play,5,0,carrc005,01,SX,5/P5
play,5,1,andeb006,21,CBBX,7/L7D+
play,5,1,tapir001,10,BX,HR/F89XD
play,5,1,urial001,11,BFX,6/L6D
play,5,1,wiemj001,22,BBSS.X,8/F8XD+
play,6,0,walkc002,00,,NP
sub,pegue001,"Elvis Peguero",1,0,1
play,6,0,walkc002,22,.CBBC.X,8/F8XD
play,6,0,smitp002,32,BBSFBB,W
play,6,0,rivee001,12,CSFFBX,S8/L78D+.1-H(E8)(NR);B-2
play,6,0,thoma004,21,*BBSX,S9/L89.2-H(UR)
play,6,0,moreg001,02,CFS,K
play,6,0,mccaj003,00,,NP
sub,milnh001,"Hoby Milner",1,0,1
play,6,0,mccaj003,20,.BBX,7/L7D
play,6,1,yelic001,10,BX,8/L78XD+
play,6,1,contw002,22,BBCC.FX,53/G5
play,6,1,adamw002,21,CBBX,8/F8XD
play,7,0,perdg001,00,,NP
sub,strzp001,"Peter Strzelecki",1,0,1
play,7,0,perdg001,32,.BCBBCX,3/G3S
play,7,0,martk001,20,BBX,3/G3
play,7,0,carrc005,30,BBBB,W
play,7,0,walkc002,00,>B,SB2
play,7,0,walkc002,32,>B.CF.BBB,W
play,7,0,smitp002,10,B>C,SB3;SB2
play,7,0,smitp002,31,B>C.BBB,W
play,7,0,rivee001,22,BFTBS,K
play,7,1,tellr001,31,SBBBB,W
play,7,1,millo002,02,FFX,64(1)3/GDP/G6M
play,7,1,andeb006,10,BX,8/F89XD
play,8,0,thoma004,00,,NP
sub,megit001,"Trevor Megill",1,0,1
play,8,0,thoma004,20,.BBX,D9/L9D+
play,8,0,moreg001,01,CX,D9/L9D.2-H
play,8,0,mccaj003,01,CX,7/F7D
play,8,0,perdg001,20,BBX,S8/G4M.2-H
play,8,0,martk001,01,F1>B,SB2
play,8,0,martk001,11,F1>B.>C,SB3
play,8,0,martk001,12,F1>B.>C..C,K
