id,OAK202204180
version,2
info,visteam,BAL
info,hometeam,OAK
info,site,OAK01
info,date,2022/04/18
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,gibsg901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,60
info,winddir,unknown
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,179
info,attendance,17503
info,wp,montf001
info,lp,krehj001
info,save,
start,mullc002,"Cedric Mullins",0,1,8
start,mounr001,"Ryan Mountcastle",0,2,3
start,santa003,"Anthony Santander",0,3,7
start,manct001,"Trey Mancini",0,4,10
start,odorr001,"Rougned Odor",0,5,4
start,uriar001,"Ramon Urias",0,6,5
start,haysa001,"Austin Hays",0,7,9
start,bemba001,"Anthony Bemboom",0,8,2
play,5,1,neuss001,12,CBSX,S8/G4M
play,5,1,smitk003,22,B*SBSX,7/L78D
play,5,1,pachc001,12,F1B>FX,9/F9
play,5,1,kempt001,22,B+1*B11CC1X,6(1)/FO/G4M.B-1
play,6,0,matej003,10,BX,D8/L8XD
play,6,0,mullc002,00,X,13/G34S.2-3
play,6,0,mounr001,32,*BFSF*BF*BX,FC/G3S.3XH(32);B-1
play,6,0,santa003,00,X,2/P5F/FL
play,6,1,andre001,00,,NP
sub,krehj001,"Joey Krehbiel",0,0,1
play,6,1,andre001,22,.CBCFFBFS,K
play,6,1,murps001,32,BCBSBS,K
play,6,1,mckib001,32,CBBCBFX,S9/L9
play,6,1,bethc001,32,BBSBC>X,E5/TH/G56.1-H(NR)(UR);B-2
play,6,1,brows003,31,BBSBB,W
play,6,1,neuss001,00,,NP
sub,diplm001,"Marcos Diplan",0,0,1
play,6,1,neuss001,22,.BFFBX,S9/L9L.2-H(UR);1-3
