id,TBA202204130
version,2
info,visteam,OAK
info,hometeam,TBA
info,site,STP01
info,date,2022/04/13
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,whitc901
info,ump1b,hamaa901
info,ump2b,laynj901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:09
info,howscored,unknown
info,pitches,pitches
info,oscorer,clodt701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,182
info,attendance,8954
info,wp,montf001
info,lp,mccls003
info,save,trivl001
start,pindc001,"Chad Pinder",0,1,7
start,lowrj001,"Jed Lowrie",0,2,3
start,piscs001,"Stephen Piscotty",0,3,9
start,murps001,"Sean Murphy",0,4,2
start,brows003,"Seth Brown",0,5,10
start,andre001,"Elvis Andrus",0,6,6
start,neuss001,"Sheldon Neuse",0,7,4
start,smitk003,"Kevin Smith",0,8,5
info,date,2022/09/04
info,number,0
info,starttime,1:40PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carav901
info,ump1b,becka901
info,ump2b,viscj901
info,ump3b,mealj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:26:55
info,howscored,unknown
info,pitches,pitches
info,oscorer,mathb701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,217
info,attendance,25025
info,wp,montf001
info,lp,armss001
info,save,holmc001
start,judga001,"Aaron Judge",0,1,8
start,lemad001,"DJ LeMahieu",0,2,3
start,cabro002,"Oswaldo Cabrera",0,3,9
start,stanm004,"Giancarlo Stanton",0,4,10
start,donaj001,"Josh Donaldson",0,5,5
start,kinei001,"Isiah Kiner-Falefa",0,6,6
start,hicka001,"Aaron Hicks",0,7,7
start,perao002,"Oswald Peraza",0,8,4
start,higak001,"Kyle Higashioka",0,9,2
start,montf001,"Frankie Montas",0,0,1
start,diazy001,"Yandy Diaz",1,1,5
start,choij001,"Ji-Man Choi",1,2,3
start,margm001,"Manuel Margot",1,3,9
start,arozr001,"Randy Arozarena",1,4,7
start,perad001,"David Peralta",1,5,10
start,parei001,"Isaac Paredes",1,6,4
start,bethc001,"Christian Bethancourt",1,7,2
start,wallt003,"Taylor Walls",1,8,6
start,sirij001,"Jose Siri",1,9,8
start,armss001,"Shawn Armstrong",1,0,1
play,1,0,judga001,10,BX,HR/F7LD
play,1,0,lemad001,10,BX,63/G6D
play,1,0,cabro002,12,SFBFS,K.BX1(23)
play,1,0,stanm004,22,BSSFBFX,43/G34-
play,1,1,diazy001,11,BFX,53/G56
play,1,1,choij001,12,CBSX,43/G4
play,1,1,margm001,22,BSCBX,E6/G56.B-1
play,1,1,arozr001,12,C1C1BB,WP.1-2
play,1,1,arozr001,22,C1C1BB.FX,53/G5
play,2,0,donaj001,30,BBBB,W
play,2,0,kinei001,10,BX,64(1)/FO/G56.B-1
play,2,0,hicka001,01,FX,46(1)/FO/G34.B-1
play,2,0,perao002,02,SCS,K
play,2,1,perad001,32,BFBSFBS,K
play,2,1,parei001,22,CCBFBS,K
play,2,1,bethc001,12,SBTS,K
play,3,0,higak001,11,BFX,63/G6
play,3,0,judga001,22,CBBFFX,43/G4
play,3,0,lemad001,02,STX,43/G34+
play,3,1,wallt003,22,BFCB*S,K.BX1(23)
play,3,1,sirij001,32,FFBFBFBX,63/G56
play,3,1,diazy001,32,BSBCFBX,S8/L8D
play,3,1,choij001,32,BSBSB>C,K
play,4,0,cabro002,00,,NP
sub,yarbr001,"Ryan Yarbrough",1,0,1
play,4,0,cabro002,32,.CTBBBFT,K
play,4,0,stanm004,12,CSBX,9/L89D
play,4,0,donaj001,12,BCFFX,S9/F9LS
play,4,0,kinei001,31,CBBBB,W.1-2
play,4,0,hicka001,01,CX,5(2)/FO/G5.B-1
play,4,1,margm001,01,SX,63/G6
play,4,1,arozr001,22,BSTBX,4/L4
play,4,1,perad001,32,SSBBFBFS,K
play,5,0,perao002,00,X,43/G4M
play,5,0,higak001,00,X,S8/L8
play,5,0,judga001,11,BSX,S7/G56+.1-2
play,5,0,lemad001,12,.BCCX,2/P2F/FL
com,"$Yankees challenged (stadium boundary call), call on the field was upheld."
play,5,0,cabro002,32,FSFBBB>B,W.2-3;1-2
play,5,0,stanm004,32,SSBBB>X,9/F89XD
play,5,1,parei001,11,BFX,2/P2
play,5,1,bethc001,12,SSB*S,K
play,5,1,wallt003,32,SSBBBFX,C/E2.B-1
com,"ej,boona001,M,carav901,Loss of replay challenge"
com,"$Yankees manager Aaron Boone ejected by HP umpire Vic Carapazza"
com,"for arguing loss of challenge. Yankees wanted to challenge the"
com,"catcher's interference call here but they do not have a challenge"
com,"since they challenged the foul popup catch call in the prior inning"
com,"(Boone now claims that he did not request that earlier challenge)"
play,5,1,sirij001,11,.1*BFX,4/P4MD
play,6,0,donaj001,02,FSX,9/F9D
play,6,0,kinei001,02,CFX,3/G3
play,6,0,hicka001,11,CBX,E6/TH/G56.B-1
play,6,0,perao002,00,.,NP
sub,charj001,"JT Chargois",1,0,1
play,6,0,perao002,10,..1BH,HP.1-2
play,6,0,higak001,11,BCX,53/G5
play,6,1,diazy001,00,,NP
sub,trivl001,"Lou Trivino",0,0,1
play,6,1,diazy001,21,.BBCX,S7/G6+
play,6,1,choij001,22,BBTSS,K
play,6,1,margm001,22,BFSBFFF1T,K
play,6,1,arozr001,11,CBX,7/F78S
play,7,0,judga001,00,X,D9/F9LS
play,7,0,lemad001,22,FBFBX,FC6/G6.2-3;B-1
play,7,0,cabro002,00,.,NP
sub,pochc001,"Colin Poche",1,0,1
play,7,0,cabro002,11,..BFX,7/SF/F7D.3-H
play,7,0,stanm004,02,TT1X,3/P3F/FL
play,7,0,donaj001,02,CFC,K
play,7,1,perad001,00,,NP
sub,marir001,"Ron Marinaccio",0,0,1
play,7,1,perad001,11,.CBX,D8/F78D
play,7,1,parei001,31,CBBBB,W
play,7,1,bethc001,00,.,NP
sub,brujv001,"Vidal Brujan",1,6,12
play,7,1,bethc001,22,..BBFFX,8/L89D
play,7,1,wallt003,00,.,NP
sub,loaij001,"Jonathan Loaisiga",0,0,1
play,7,1,wallt003,22,..FSBBS,K
play,7,1,sirij001,00,,NP
sub,aranj001,"Jonathan Aranda",1,9,11
play,7,1,aranj001,32,.BSSBB>F>B,W.2-3;1-2
play,7,1,diazy001,11,.BCX,64(1)/FO/G6.B-1
play,8,0,kinei001,00,,NP
sub,margm001,"Manuel Margot",1,3,8
play,8,0,kinei001,00,.,NP
sub,brujv001,"Vidal Brujan",1,6,9
play,8,0,kinei001,00,..,NP
sub,aranj001,"Jonathan Aranda",1,9,4
play,8,0,kinei001,00,...,NP
sub,wislm001,"Matt Wisler",1,0,1
play,8,0,kinei001,10,....BX,S8/L89
play,8,0,hicka001,10,BX,FC4/G34.1-3(E4);B-1
play,8,0,perao002,12,F11FBC,K
play,8,0,higak001,00,,NP
sub,trevj001,"Jose Trevino",0,9,11
play,8,0,trevj001,00,..X,9/F9S
play,8,0,judga001,22,B*BCSX,8/F8XD
play,8,1,choij001,00,,NP
sub,trevj001,"Jose Trevino",0,9,2
play,8,1,choij001,02,.FCX,63/G4-
play,8,1,margm001,22,BTBSC,K
play,8,1,arozr001,02,FSX,7/F78D
play,9,0,lemad001,10,BX,53/G56
play,9,0,cabro002,12,BSSX,9/F9D
play,9,0,stanm004,22,CSBBX,4/P34
play,9,1,perad001,00,,NP
sub,judga001,"Aaron Judge",0,1,9
play,9,1,perad001,00,.,NP
sub,flore001,"Estevan Florial",0,3,8
play,9,1,perad001,00,..,NP
sub,holmc001,"Clay Holmes",0,0,1
play,9,1,perad001,00,...X,D7/L7LD
play,9,1,brujv001,12,SFFBX,9/L9D.2-3
play,9,1,bethc001,00,,NP
sub,mejif001,"Francisco Mejia",1,7,11
play,9,1,mejif001,21,.FBBX,S7/L78D.3-H
play,9,1,wallt003,01,FX,8/L78D
play,9,1,aranj001,01,CX,D7/L7LD.1-3
play,9,1,diazy001,32,.BBCCBC,K
data,er,trivl001,0
data,er,loaij001,0
data,er,montf001,0
data,er,holmc001,1
data,er,marir001,0
data,er,armss001,1
data,er,yarbr001,0
data,er,wislm001,0
data,er,pochc001,0
data,er,charj001,1
