id,MIL202209160
version,2
info,visteam,NYA
info,hometeam,MIL
info,site,MIL06
info,date,2022/09/16
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mosce901
info,ump1b,segac901
info,ump2b,morag901
info,ump3b,fleta901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/27 09:03:22
info,howscored,unknown
info,pitches,pitches
info,oscorer,olsod701
info,temp,76
info,winddir,rtol
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,249
info,attendance,36011
info,wp,roget001
info,lp,holmc001
info,save,
start,judga001,"Aaron Judge",0,1,8
start,stanm004,"Giancarlo Stanton",0,2,10
start,torrg001,"Gleyber Torres",0,3,4
start,donaj001,"Josh Donaldson",0,4,5
start,cabro002,"Oswaldo Cabrera",0,5,9
start,kinei001,"Isiah Kiner-Falefa",0,6,6
start,gonzm002,"Marwin Gonzalez",0,7,3
start,trevj001,"Jose Trevino",0,8,2
com,"$Yankees catcher Jose Trevino left the game due to an injured knee."
play,7,1,wongk001,22,SBBF.S,K
play,7,1,mccua001,22,BCBCFC,K
play,8,0,judga001,00,,NP
sub,willd004,"Devin Williams",1,0,1
play,8,0,judga001,20,.BBX,63/G56
play,8,0,stanm004,22,BFBFC,K
play,8,0,torrg001,22,CFBBT,K
play,8,1,petej002,00,,NP
sub,loaij001,"Jonathan Loaisiga",0,0,1
play,8,1,petej002,32,.BCBFBFB,W
play,8,1,narvo001,01,1L11X,16(1)/FO/BG23.B-1
play,8,1,mitcg001,00,,NP
sub,hiurk001,"Keston Hiura",1,8,12
play,8,1,mitcg001,01,.CX,S46/G4.1-2
play,8,1,yelic001,10,BX,46(1)/FO/G34+.2-3;B-1
com,"$Brewers challenged (play at 1st), call on the field was overturned."
play,8,1,adamw002,02,TS>X,E6/G6.3-H(NR)(UR);1-2;B-1
play,8,1,tellr001,00,X,43/G34
play,9,0,donaj001,00,,NP
sub,carav001,"Victor Caratini",1,8,2
play,9,0,donaj001,00,.,NP
sub,roget001,"Taylor Rogers",1,0,1
play,9,0,donaj001,12,..CFBX,HR/F7LD
play,9,0,cabro002,00,X,D9/L89D
com,"$Brewers challenged (tag play), call on the field was upheld."
play,9,0,kinei001,00,.X,14/SH/BG1S.2-3
play,9,0,andum001,12,CFBC,K
play,9,0,higak001,10,BX,8/F89D
com,"ej,boona001,M,mosce901,Called third strike"
com,"$Yankees manager Aaron Boone ejected by HP umpire Edwin Moscoso"
com,"for arguing called third strike on Andujar (between innings)"
play,9,1,renfh001,00,,NP
sub,holmc001,"Clay Holmes",0,0,1
play,9,1,renfh001,00,..X,D8/L78XD+
play,9,1,wongk001,22,LBBFX,63/G6.2-3
play,9,1,mccua001,00,.,NP
sub,andum001,"Miguel Andujar",0,7,3
play,9,1,mccua001,00,..,NP
sub,cabro002,"Oswaldo Cabrera",0,5,7
play,9,1,mccua001,31,..BBBCB,W
play,9,1,petej002,12,C*SFBFS,K
play,9,1,carav001,00,,NP
sub,andum001,"Miguel Andujar",0,7,7
play,9,1,carav001,00,.,NP
sub,cabro002,"Oswaldo Cabrera",0,5,3
play,9,1,carav001,00,..>B,DI.1-2
play,9,1,carav001,31,..>B.*BCBB,W
play,9,1,mitcg001,12,BSCX,S8/G4M.3-H;2-3;1-2
data,er,luetl001,1
data,er,trivl001,0
data,er,germd001,0
data,er,peraw002,0
data,er,weisg001,0
data,er,loaij001,0
data,er,montf001,4
data,er,holmc001,1
data,er,milnh001,0
data,er,topaj001,0
data,er,willd004,0
data,er,roget001,1
data,er,boxbb001,0
data,er,housa001,4
data,er,strzp001,0
