id,LAN202204180
version,2
info,visteam,ATL
info,hometeam,LAN
info,site,LOS03
info,date,2022/04/18
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,fleta901
info,ump2b,ramoc901
info,ump3b,morag901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:16
info,howscored,unknown
info,pitches,pitches
info,oscorer,dagod701
info,temp,65
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,194
info,attendance,52052
info,wp,kersc001
info,lp,ynoah001
info,save,kimbc001
start,albio001,"Ozzie Albies",0,1,4
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,ozunm001,"Marcell Ozuna",0,4,10
start,duvaa001,"Adam Duvall",0,5,8
start,darnt001,"Travis d'Arnaud",0,6,2
start,arcio002,"Orlando Arcia",0,7,7
start,hereg002,"Guillermo Heredia",0,8,9
play,4,1,turnj001,32,BBFFBFFFFFFFFX,8/F8D
play,4,1,bellc002,01,FX,5/P5F/FL
play,4,1,taylc001,32,BBFSBX,D7/F7LD+
play,4,1,lux-g001,32,BCBCFFFBX,31/G3
play,5,0,hilld002,00,X,6/P56
play,5,0,grosr001,22,CBCBFC,K
play,5,0,baezj001,00,X,63/G6
play,5,1,barna001,11,BCX,9/L9D
play,5,1,bettm001,20,BBX,8/F8XD
play,5,1,freef001,01,CX,7/F7D
play,6,0,cabrm001,21,BBCX,53/G56
play,6,0,meada001,32,BCCBBB,W
play,6,0,torks001,21,BF*BX,43/G4.1-2
play,6,0,schoj001,21,BCBX,53/G5
play,6,1,turnt001,00,,NP
sub,barnj002,"Jacob Barnes",0,0,1
play,6,1,turnt001,02,.FFX,7/F78D
play,6,1,muncm001,00,X,8/F78D
play,6,1,turnj001,11,BFX,63/G6M
play,7,0,candj002,00,,NP
sub,phile001,"Evan Phillips",1,0,1
play,7,0,candj002,11,.BFH,HP
play,7,0,garnd001,00,,NP
sub,casth001,"Harold Castro",0,8,11
play,7,0,casth001,01,.FX,S9/G34.1-2
play,7,0,hilld002,02,LLL,K
play,7,0,grosr001,02,CSC,K
play,7,0,baezj001,10,BX,D9/G3.2-H;1-3
play,7,0,cabrm001,00,,NP
sub,gratb002,"Brusdar Graterol",1,0,1
play,7,0,cabrm001,32,.BBBCF*B,W
play,7,0,meada001,00,X,S7/G6.3-H;2-H;1-2
play,7,0,torks001,02,FSS,K
play,7,1,bellc002,00,,NP
sub,barnt001,"Tucker Barnhart",0,8,2
play,7,1,bellc002,00,.,NP
sub,jimej003,"Joe Jimenez",0,0,1
play,7,1,bellc002,32,..BBFFFFFFFBFB,W
play,7,1,taylc001,22,S1FB1BS,K
play,7,1,lux-g001,22,T*BFBX,S7/G56.1-2
play,7,1,barna001,00,,NP
sub,fulmm001,"Michael Fulmer",0,0,1
play,7,1,barna001,00,.X,64(1)3/GDP/G6
play,8,0,schoj001,00,,NP
sub,moror001,"Reyes Moronta",1,0,1
play,8,0,schoj001,22,.BCFBS,K
play,8,0,candj002,01,SX,S6/G34
com,"$Tigers challenged (play at 1st), call on the field was overturned."
play,8,0,barnt001,20,BBX,D9/L9L+.1-H
play,8,0,hilld002,32,CBCBFBS,K
play,8,0,grosr001,32,FBBFBFFS,K
play,8,1,bettm001,10,BX,9/F9
play,8,1,freef001,20,BBX,7/F7D
play,8,1,turnt001,01,CX,9/L89
play,9,0,baezj001,00,,NP
sub,kimbc001,"Craig Kimbrel",1,0,1
play,9,0,baezj001,10,.BX,8/L8XD+
play,9,0,cabrm001,22,BSBSS,K
play,9,0,meada001,31,CBBBX,S8/G6M+
play,9,0,torks001,01,FX,54(1)/FO/G56S.B-1
play,9,1,muncm001,00,,NP
sub,sotog003,"Gregory Soto",0,0,1
play,9,1,muncm001,12,.CBCC,K
play,9,1,turnj001,02,CFX,9/F9L
play,9,1,bellc002,21,BBFX,53/G6
data,er,brieb001,1
data,er,sotog003,0
data,er,fulmm001,0
data,er,jimej003,0
data,er,barnj002,0
data,er,gratb002,0
data,er,moror001,1
data,er,phile001,3
data,er,kersc001,1
data,er,kimbc001,0
id,LAN202206170
version,2
info,visteam,CLE
info,hometeam,LAN
info,site,LOS03
info,date,2022/06/17
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,herna901
info,ump1b,reybd901
info,ump2b,merzd901
info,ump3b,johna901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:24
info,howscored,unknown
info,pitches,pitches
info,oscorer,dagod701
info,temp,69
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,200
info,attendance,48361
info,wp,gosea001
info,lp,phile001
info,save,deloe001
start,stram002,"Myles Straw",0,1,8
start,rosaa003,"Amed Rosario",0,2,6
start,ramij003,"Jose Ramirez",0,3,5
start,gonzo001,"Oscar Gonzalez",0,4,9
start,naylj001,"Josh Naylor",0,5,3
start,millo002,"Owen Miller",0,6,10
start,gimea001,"Andres Gimenez",0,7,4
start,maill001,"Luke Maile",0,8,2
start,kwans001,"Steven Kwan",0,9,7
start,plesz001,"Zach Plesac",0,0,1
start,turnt001,"Trea Turner",1,1,6
start,freef001,"Freddie Freeman",1,2,3
start,smitw003,"Will Smith",1,3,2
start,muncm001,"Max Muncy",1,4,10
start,turnj001,"Justin Turner",1,5,5
start,bellc002,"Cody Bellinger",1,6,8
start,taylc001,"Chris Taylor",1,7,7
start,alvae001,"Eddy Alvarez",1,8,9
start,lux-g001,"Gavin Lux",1,9,4
start,kersc001,"Clayton Kershaw",1,0,1
play,1,0,stram002,01,CX,53/G56
play,1,0,rosaa003,10,BX,D7/L7LS
play,1,0,ramij003,32,FFBF2F*BFBS,K
play,1,0,gonzo001,31,B*BFB*B,W
play,1,0,naylj001,22,BCBSS,K
play,1,1,turnt001,11,BCX,S7/L7
play,1,1,freef001,22,T1FFB*BX,4/L34+
play,1,1,smitw003,01,1FX,8/L8D+
play,1,1,muncm001,31,BCBBX,8/F89XD
play,2,0,millo002,10,BX,9/F9D
play,2,0,gimea001,12,BFSX,6/L6D
play,2,0,maill001,12,SSBX,13/G2-
play,2,1,turnj001,11,BCX,43/G4
play,2,1,bellc002,31,CBBBX,HR/F89XD
play,2,1,taylc001,12,BCSX,7/L7D+
play,2,1,alvae001,32,BCCFBBX,4/L34D
play,3,0,kwans001,12,BCSFFX,S3/G3S-
play,3,0,stram002,32,1BBBCCX,64(1)/FO/G6.B-1
play,3,0,rosaa003,02,C1CX,6(1)3/GDP/G6
play,3,1,lux-g001,22,BBFFX,31/G34
play,3,1,turnt001,11,BFX,D9/F9D+
play,3,1,freef001,32,BCBFBFB,W
play,3,1,smitw003,01,CX,9/F9LS
play,3,1,muncm001,20,BBX,341/G9LS
play,4,0,ramij003,31,BBBCX,S5/G5
play,4,0,gonzo001,11,SBX,S9/G3+.1-3
play,4,0,naylj001,12,C1FFF*BFX,7/SF/F7.3-H
play,4,0,millo002,12,BSC1S,K
play,4,0,gimea001,02,CCFX,S4/G3+.1-2
play,4,0,maill001,02,*SSS,K
play,4,1,turnj001,10,BX,7/F7S
play,4,1,bellc002,12,CBCFX,9/F9D
play,4,1,taylc001,12,FCBFS,K
play,5,0,kwans001,20,BBX,8/F8XD
play,5,0,stram002,02,FCX,9/L89D
play,5,0,rosaa003,00,X,53/G56S
play,5,1,alvae001,10,BX,3/G3+
play,5,1,lux-g001,10,BX,DGR/L78XD+
play,5,1,turnt001,31,BBSBX,7/L7D
play,5,1,freef001,11,FBX,S64/G34.2-3
play,5,1,smitw003,01,FX,54(1)/FO/G56.B-1
play,6,0,ramij003,00,,NP
sub,vesia001,"Alex Vesia",1,0,1
play,6,0,ramij003,01,.CX,3/P3F/FL
play,6,0,gonzo001,02,CCX,8/L8D
play,6,0,naylj001,31,BFBBB,W
play,6,0,millo002,02,FSF>B,SB2
play,6,0,millo002,12,FSF>B.X,9/F9LSF/FL
play,6,1,muncm001,32,BBCBSB,W
play,6,1,turnj001,11,BCX,9/F9D
play,6,1,bellc002,01,CX,E4/G34.1X3(32);B-1
play,6,1,taylc001,00,X,3/P3F/FL
play,7,0,gimea001,02,CFS,K
play,7,0,maill001,00,,NP
sub,gratb002,"Brusdar Graterol",1,0,1
play,7,0,maill001,02,.CFC,K
play,7,0,kwans001,12,CBFS,K
play,7,1,alvae001,00,,NP
sub,hents001,"Sam Hentges",0,0,1
play,7,1,alvae001,00,.,NP
sub,albeh001,"Hanser Alberto",1,8,11
play,7,1,albeh001,10,..BX,S7/L7LD+
play,7,1,lux-g001,12,FB*SS,K
play,7,1,turnt001,01,SX,S5/G5S.1-2
play,7,1,freef001,12,CBSX,46(1)3/GDP/G34+
play,8,0,stram002,00,,NP
sub,taylc001,"Chris Taylor",1,7,9
play,8,0,stram002,00,.,NP
sub,albeh001,"Hanser Alberto",1,8,4
play,8,0,stram002,00,..,NP
sub,lux-g001,"Gavin Lux",1,9,7
play,8,0,stram002,21,...BBCX,43/G4
play,8,0,rosaa003,11,BFX,63/G6
play,8,0,ramij003,10,BX,63/G6M+
play,8,1,smitw003,00,,NP
sub,stept002,"Trevor Stephan",0,0,1
play,8,1,smitw003,12,.BCFFFX,9/F89D
play,8,1,muncm001,02,CTX,9/F9D
play,8,1,turnj001,01,CX,8/F89S
play,9,0,gonzo001,00,,NP
sub,hudsd001,"Daniel Hudson",1,0,1
play,9,0,gonzo001,01,.FX,53/G56
play,9,0,naylj001,00,X,8/F8D
play,9,0,millo002,21,BCBX,8/F89
play,9,1,bellc002,32,BBCBFX,S7/G56
play,9,1,taylc001,11,1B1F>C,SB2
play,9,1,taylc001,22,1B1F>C.FBFS,K
play,9,1,albeh001,10,BX,E9/F9L.2-3;B-1
play,9,1,lux-g001,00,,NP
sub,gosea001,"Anthony Gose",0,0,1
play,9,1,lux-g001,32,.BS*BFBS,K
play,9,1,turnt001,02,FC>X,9/F9LS
play,10,0,gimea001,00,,NP
sub,phile001,"Evan Phillips",1,0,1
radj,millo002,2
com,"Owen Miller starts inning at 2nd base."
play,10,0,gimea001,01,..LX,S5/G5S.2-3
play,10,0,maill001,00,,NP
sub,palar002,"Richie Palacios",0,8,11
play,10,0,palar002,11,.BC1X,8/SF/L8.3-H(UR)
play,10,0,kwans001,11,1C11B>X,43/G34.1-2
play,10,0,stram002,31,C*BBBB,W
play,10,0,rosaa003,02,CFS,K
play,10,1,freef001,00,,NP
sub,hedga001,"Austin Hedges",0,8,2
radj,turnt001,2
com,"Trea Turner starts inning at 2nd base."
play,10,1,freef001,32,..BBSS*BFS,K
play,10,1,smitw003,00,,NP
sub,deloe001,"Enyel De Los Santos",0,0,1
play,10,1,smitw003,22,.CFBFFBFX,53/G5
play,10,1,muncm001,32,BCFB*BB,W
play,10,1,turnj001,12,*BCCF*S,K
data,er,deloe001,0
data,er,hents001,0
data,er,stept002,0
data,er,plesz001,1
data,er,gosea001,0
data,er,hudsd001,0
data,er,vesia001,0
data,er,gratb002,0
data,er,phile001,0
data,er,kersc001,1
id,LAN202207030
version,2
info,visteam,SDN
info,hometeam,LAN
info,site,LOS03
info,date,2022/07/03
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ramoc901
info,ump1b,iassd901
info,ump2b,barrs901
info,ump3b,may-b901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:42
info,howscored,unknown
info,pitches,pitches
info,oscorer,whitj701
info,temp,77
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,192
info,attendance,42633
info,wp,martn002
info,lp,kimbc001
info,save,roget001
start,profj001,"Jurickson Profar",0,1,7
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,hosme001,"Eric Hosmer",0,5,3
start,alfaj002,"Jorge Alfaro",0,6,2
start,kim-h002,"Ha-Seong Kim",0,7,6
start,grist001,"Trent Grisham",0,8,8
start,azocj001,"Jose Azocar",0,9,9
start,gorem001,"MacKenzie Gore",0,0,1
start,bettm001,"Mookie Betts",1,1,9
start,turnt001,"Trea Turner",1,2,6
start,freef001,"Freddie Freeman",1,3,3
start,smitw003,"Will Smith",1,4,10
start,muncm001,"Max Muncy",1,5,4
start,turnj001,"Justin Turner",1,6,5
start,thomt002,"Trayce Thompson",1,7,8
start,barna001,"Austin Barnes",1,8,2
start,lux-g001,"Gavin Lux",1,9,7
start,kersc001,"Clayton Kershaw",1,0,1
play,1,0,profj001,00,X,6/P6D
play,1,0,machm001,22,CBSBS,K
play,1,0,cronj001,32,BBBCFFB,W
play,1,0,voitl001,12,CBCX,53/G56
play,1,1,bettm001,20,BBX,D7/L7LS+
play,1,1,turnt001,20,*BBX,D7/L5D+.2-H
play,1,1,freef001,21,C*B*BX,7/F7
play,1,1,smitw003,22,CBFF*BH,HP
play,1,1,muncm001,12,FCBX,46(1)/FO/G4.2-3;B-1
play,1,1,turnj001,32,CBC*BB>B,W.1-2
play,1,1,thomt002,02,C*SS,K
play,2,0,hosme001,12,BSCX,S9/G34+
