id,ATL202304100
version,2
info,visteam,CIN
info,hometeam,ATL
info,site,ATL03
info,date,2023/04/10
info,number,0
info,gametype,regular
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tumpj901
info,ump1b,blakr901
info,ump2b,hudsm901
info,ump3b,wendh902
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:56
info,howscored,unknown
info,pitches,pitches
info,oscorer,mustr701
info,temp,65
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,167
info,attendance,30237
info,wp,lee-d005
info,lp,law-d001
info,save,
start,indij001,"Jonathan India",0,1,4
start,friet001,"TJ Friedl",0,2,8
start,fralj001,"Jake Fraley",0,3,9
start,stept001,"Tyler Stephenson",0,4,2
start,myerw001,"Wil Myers",0,5,10
start,voslj001,"Jason Vosler",0,6,3
start,stees001,"Spencer Steer",0,7,5
start,bensw001,"Will Benson",0,8,7
sub,hills005,"Sam Hilliard",1,9,8
play,10,0,indij001,00,.,NP
sub,lee-d005,"Dylan Lee",1,0,1
radj,garcj007,2
com,"Jose Barrero starts inning at 2nd base."
play,10,0,indij001,12,...FSBX,S9/G4+.2-H(UR)
play,10,0,friet001,00,X,34/SH/BG1S.1-2
play,10,0,fralj001,02,CF*S,K
play,10,0,stept001,32,BC*B*BFFX,63/G6
play,10,1,murps001,00,,NP
sub,law-d001,"Derek Law",0,0,1
radj,rilea001,2
com,"Austin Riley starts inning at 2nd base."
play,10,1,murps001,00,..X,HR/F8XD.2-H(UR)
data,er,ashcg001,2
data,er,sanmr001,1
data,er,farmb001,0
data,er,law-d001,1
data,er,diaza004,0
data,er,anden001,1
data,er,lee-d005,0
data,er,chavj001,0
data,er,minta001,2
data,er,eldeb001,0
id,ATL202304210
version,2
info,visteam,HOU
info,hometeam,ATL
info,site,ATL03
info,date,2023/04/21
info,number,0
info,gametype,regular
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,nelsj901
info,ump1b,buckc901
info,ump2b,segac901
info,ump3b,may-b901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:08
info,howscored,unknown
info,pitches,pitches
info,oscorer,curtg701
info,temp,75
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,170
info,attendance,41397
info,wp,nerih001
info,lp,minta001
info,save,presr001
start,dubom001,"Mauricio Dubon",0,1,4
start,brega001,"Alex Bregman",0,2,5
start,alvay001,"Yordan Alvarez",0,3,10
start,abrej003,"Jose Abreu",0,4,3
start,tuckk001,"Kyle Tucker",0,5,9
start,penaj004,"Jeremy Pena",0,6,6
start,julkc001,"Corey Julks",0,7,7
start,diazy004,"Yainer Diaz",0,8,2
start,meyej002,"Jake Meyers",0,9,8
start,browh001,"Hunter Brown",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,olsom001,"Matt Olson",1,2,3
start,rilea001,"Austin Riley",1,3,5
start,murps001,"Sean Murphy",1,4,2
start,rosae001,"Eddie Rosario",1,5,10
start,albio001,"Ozzie Albies",1,6,4
start,grisv001,"Vaughn Grissom",1,7,6
start,hills005,"Sam Hilliard",1,8,8
start,pillk001,"Kevin Pillar",1,9,7
start,eldeb001,"Bryce Elder",1,0,1
play,1,0,dubom001,21,BFBX,E5/TH/G5.B-1
play,1,0,brega001,20,BBX,D8/L8XD+.1-H(UR)
play,1,0,alvay001,00,H,HP
play,1,0,abrej003,22,BCBSFS,K
play,1,0,tuckk001,32,FB*BFBFX,8/L8D+
play,1,0,penaj004,02,CSS,K
play,1,1,acunr001,32,ABCBFBX,D9/F9LD
play,1,1,olsom001,12,BSCS,K
play,1,1,rilea001,00,X,D8/L89XD+.2-H
play,1,1,murps001,32,FBS*BFBB,W
play,1,1,rosae001,12,BCS+2*S,K
play,1,1,albio001,00,X,D8/L78XD+.2-H;1-H
play,1,1,grisv001,12,FBFX,S7/G6.2-H
play,1,1,hills005,01,CX,6/P4MD
play,2,0,julkc001,22,CSBBX,S7/L7D
play,2,0,diazy004,00,B,WP.1-2
play,2,0,diazy004,10,B.X,63/G56
play,2,0,meyej002,31,*BBBCX,S7/G5.2-3
play,2,0,dubom001,01,FX,64(1)3/GDP/G6
play,2,1,pillk001,12,CFBFX,53/G5S
play,2,1,acunr001,00,X,53/G56
play,2,1,olsom001,21,BBSX,5/P1S
play,3,0,brega001,22,CS.BBX,S7/L78
play,3,0,alvay001,12,BF*SFC,K
play,3,0,abrej003,20,BBX,54(1)3/GDP/G5
play,3,1,rilea001,11,BCX,8/L8D
play,3,1,murps001,12,CBFFH,HP
play,3,1,rosae001,12,FFBX,S7/L7S.1-2
play,3,1,albio001,12,SBFX,6/L6MD
play,3,1,grisv001,12,CSB*S,K.BX1(23)
play,4,0,tuckk001,00,X,43/G4
play,4,0,penaj004,12,FBF.X,63/G56
play,4,0,julkc001,32,CSBFBFFBC,K
play,4,1,hills005,32,BCFBBS,K
play,4,1,pillk001,12,CS.BFFS,K
play,4,1,acunr001,31,BBCBX,D9/L89XD+
play,4,1,olsom001,02,FCX,9/F89D
play,5,0,diazy004,00,X,53/G56
play,5,0,meyej002,01,CX,63/G56
play,5,0,dubom001,21,CBBX,S9/L9D+
play,5,0,brega001,12,FBS>F>B,SB2
com,"$Astros challenged (tag play), call on the field was overturned."
play,5,0,brega001,22,FBS>F>B.FS,K
play,5,1,rilea001,00,X,S8/L89D
play,5,1,murps001,32,BBBCFS,K
play,5,1,rosae001,02,CCFS,K
play,5,1,albio001,20,VBB,WP.1-2
play,5,1,albio001,30,VBB.B,W
play,5,1,grisv001,00,,NP
sub,matop002,"Phil Maton",0,0,1
play,5,1,grisv001,00,.X,4(1)/FO/G4M.B-1
play,6,0,alvay001,21,BBCX,7/F7D+
play,6,0,abrej003,31,BBBC*B,W
play,6,0,tuckk001,32,BBCFBX,3/P34S
play,6,0,penaj004,12,BFSS,K
play,6,1,hills005,32,BBCS.BS,K
play,6,1,pillk001,00,X,7/L78XD
play,6,1,acunr001,00,X,63/G6
play,7,0,julkc001,00,,NP
sub,chavj001,"Jesse Chavez",1,0,1
play,7,0,julkc001,31,.BBSBB,W
play,7,0,diazy004,00,X,D9/F89XD+.1-H(E9)(NR);B-3
play,7,0,meyej002,01,CX,S9/L9LD.3-H
play,7,0,dubom001,02,CCX,D8/L89XD+.1-H
play,7,0,brega001,00,,NP
sub,lee-d005,"Dylan Lee",1,0,1
play,7,0,brega001,30,.*BBBB,W
play,7,0,alvay001,12,*S*BFX,6/P7S
play,7,0,abrej003,22,CCB*BX,9/F89D
play,7,0,tuckk001,12,CBF.C,K
play,7,1,olsom001,00,,NP
sub,stanr002,"Ryne Stanek",0,0,1
play,7,1,olsom001,32,.BFSBB*B,W
play,7,1,rilea001,02,FSFX,46(1)3/GDP/G4
play,7,1,murps001,12,CSBS,K
play,8,0,penaj004,00,,NP
sub,anden001,"Nick Anderson",1,0,1
play,8,0,penaj004,02,..CCS,K
play,8,0,julkc001,21,BFBX,S7/L78+
play,8,0,diazy004,12,CBC.X,9/F9D
play,8,0,meyej002,11,F1B>S,CS2(24)
play,8,1,rosae001,00,,NP
sub,nerih001,"Hector Neris",0,0,1
play,8,1,rosae001,00,.X,53/G15-
play,8,1,albio001,12,CFBS,K
play,8,1,grisv001,32,BSFBFBC,K
play,9,0,meyej002,00,,NP
sub,minta001,"A.J. Minter",1,0,1
play,9,0,meyej002,12,.BCS.X,6/P56
play,9,0,dubom001,10,BX,S7/G56
play,9,0,brega001,01,CX,7/L7
play,9,0,alvay001,32,BC1FFBBN,BK.1-2
play,9,0,alvay001,32,BC1FFBBN.X,HR/F89XD.2-H
play,9,0,abrej003,22,BFFBFF.X,7/L78XD+
play,9,1,hills005,00,,NP
sub,presr001,"Ryan Pressly",0,0,1
play,9,1,hills005,11,.BCX,13/G13
play,9,1,pillk001,32,BBFBFB,W
play,9,1,acunr001,32,SCBFBBS,K
play,9,1,olsom001,32,BFF.B*B>X,8/F89D
data,er,nerih001,0
data,er,browh001,4
data,er,stanr002,0
data,er,presr001,0
data,er,matop002,0
data,er,anden001,0
data,er,lee-d005,0
data,er,chavj001,3
data,er,minta001,2
data,er,eldeb001,0
id,ATL202304260
version,2
info,visteam,MIA
info,hometeam,ATL
info,site,ATL03
info,date,2023/04/26
info,number,0
info,gametype,regular
info,starttime,7:20PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hobep901
info,ump1b,cejan901
info,ump2b,marqa901
info,ump3b,onorb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:14
info,howscored,unknown
info,pitches,pitches
info,oscorer,stamm701
info,temp,55
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,148
info,attendance,30282
info,wp,tonkm001
info,lp,flord002
info,save,minta001
start,chisj001,"Jazz Chisholm Jr.",0,1,8
start,coopg002,"Garrett Cooper",0,2,3
start,solej001,"Jorge Soler",0,3,10
start,arral001,"Luis Arraez",0,4,4
start,garca003,"Avisail Garcia",0,5,7
start,sancj003,"Jesus Sanchez",0,6,9
start,bertj001,"Jon Berti",0,7,5
start,stalj001,"Jacob Stallings",0,8,2
start,hampg001,"Garrett Hampson",0,9,6
start,alcas001,"Sandy Alcantara",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,olsom001,"Matt Olson",1,2,3
start,rilea001,"Austin Riley",1,3,5
start,murps001,"Sean Murphy",1,4,2
start,rosae001,"Eddie Rosario",1,5,7
start,albio001,"Ozzie Albies",1,6,4
start,grisv001,"Vaughn Grissom",1,7,6
start,ozunm001,"Marcell Ozuna",1,8,10
start,hills005,"Sam Hilliard",1,9,8
start,eldeb001,"Bryce Elder",1,0,1
play,1,0,chisj001,21,BBCX,3/G3
play,1,0,coopg002,02,CFF.*S,K
play,1,0,solej001,32,BBBCCX,63/G56
play,1,1,acunr001,00,X,8/F8XD+
play,1,1,olsom001,02,CSS,K
play,1,1,rilea001,12,BSST,K
play,2,0,arral001,12,BSSX,53/G56
play,2,0,garca003,32,BFFBBFX,53/G5
play,2,0,sancj003,32,SFBFBBX,HR/F9D
play,2,0,bertj001,00,X,D7/L7L
play,2,0,stalj001,00,X,53/G56
play,2,1,murps001,00,X,43/G6MD
play,2,1,rosae001,02,CSS,K
play,2,1,albio001,21,BFBX,S9/L9D+
play,2,1,grisv001,00,X,54(1)/FO/G6.B-1
play,3,0,hampg001,01,CX,43/G4
play,3,0,chisj001,31,BBBFX,HR/F8XD
play,3,0,coopg002,12,BSFFX,43/G4
play,3,0,solej001,10,BX,53/G5
play,3,1,ozunm001,12,BSTFFFX,63/G6
play,3,1,hills005,02,SSS,K
play,3,1,acunr001,32,CBBFFB*B,W
play,3,1,olsom001,32,1BBFT.FFB>X,9/F9
play,4,0,arral001,12,CBFX,63/G6M
play,4,0,garca003,20,BBX,HR/F7LD
play,4,0,sancj003,22,BFBSFX,43/G34
play,4,0,bertj001,12,CBSFS,K
play,4,1,rilea001,01,SX,53/G56D
play,4,1,murps001,12,CBFX,63/G6
play,4,1,rosae001,01,SX,9/F89D
play,5,0,stalj001,00,X,53/G5
play,5,0,hampg001,22,BBCCFX,43/G34
play,5,0,chisj001,02,CC.*S,K
play,5,1,albio001,21,TBBX,43/G34D
play,5,1,grisv001,32,BF.BBFX,63/G6
play,5,1,ozunm001,00,X,S7/G6+
play,5,1,hills005,32,BBBCF>*S,K
play,6,0,coopg002,12,CFFBFFX,S7/L7+
play,6,0,solej001,31,*BB*S*BB,W.1-2
play,6,0,arral001,01,FX,9/F9D.2-3
play,6,0,garca003,00,B,WP.1-2
play,6,0,garca003,32,B.*B*BCSB,W
play,6,0,sancj003,00,,NP
sub,tonkm001,"Michael Tonkin",1,0,1
play,6,0,sancj003,12,.FSBFS,K
play,6,0,bertj001,31,BBBCB,W.3-H;2-3;1-2
play,6,0,stalj001,21,CBBX,8/F89D
play,6,1,acunr001,00,X,HR/F78XD
play,6,1,olsom001,12,SBT.S,K
play,6,1,rilea001,21,BCBX,D7/L5D+
play,6,1,murps001,00,X,53/G6
play,6,1,rosae001,32,B*BCFBB,W
play,6,1,albio001,31,BBCBB,W.2-3;1-2
play,6,1,grisv001,00,,NP
sub,brazh001,"Huascar Brazoban",0,0,1
play,6,1,grisv001,10,.BX,S7/G56+.3-H;2XH(72);1-2
