id,MIA202308130
version,2
info,visteam,NYA
info,hometeam,MIA
info,site,MIA02
info,date,2023/08/13
info,number,0
info,gametype,regular
info,starttime,1:40PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hoyej901
info,ump1b,libkj901
info,ump2b,reybd901
info,ump3b,herna901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/16 09:03:34
info,howscored,unknown
info,pitches,pitches
info,oscorer,jernr701
info,temp,72
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,188
info,attendance,35043
info,wp,lopej004
info,lp,holmc001
info,save,
start,bauej001,"Jake Bauers",0,1,3
start,judga001,"Aaron Judge",0,2,9
start,torrg001,"Gleyber Torres",0,3,4
start,stanm004,"Giancarlo Stanton",0,4,10
start,badeh001,"Harrison Bader",0,5,8
start,mckib001,"Billy McKinney",0,6,7
start,kinei001,"Isiah Kiner-Falefa",0,7,5
start,volpa001,"Anthony Volpe",0,8,6
com,"$Yankees assistant hitting coach Brad Wilkerson ejected by HP umpire James Hoye"
com,"for arguing called third strike"
play,8,0,rortb001,12,.CCBFS,K
play,8,0,bauej001,12,CBSC,K
play,8,1,bellj005,31,BBBCB,W
play,8,1,arral001,01,F1X,4/L34
play,8,1,delab001,00,,NP
sub,middk001,"Keynan Middleton",0,0,1
play,8,1,delab001,12,.SBCX,D7/L7D.1-H
play,8,1,burgj001,22,BBSF.S,K
play,8,1,sancj003,11,FBX,13/G3S
play,9,0,judga001,00,,NP
sub,lopej004,"Jorge Lopez",1,0,1
play,9,0,judga001,00,.X,3/P3D
play,9,0,torrg001,01,FX,8/L8D
play,9,0,stanm004,22,BSSBC,K
play,9,1,gurry001,00,,NP
sub,holmc001,"Clay Holmes",0,0,1
play,9,1,gurry001,12,.FBCFX,D8/L89XD+
play,9,1,bertj001,02,CC.S,K
play,9,1,fortn001,10,BX,S6/G6M.2-2
play,9,1,chisj001,32,BBCSBFB,W.2-3;1-2
play,9,1,bellj005,20,BBX,E1/TH/G1.3-H;2-H(NR);1-3;B-1
play,9,1,arral001,02,CFX,T9/G3.3-H;1-H(UR)
play,9,1,delab001,00,,NP
sub,kahnt001,"Tommy Kahnle",0,0,1
play,9,1,delab001,00,.,NP
sub,cabro002,"Oswaldo Cabrera",0,6,7
play,9,1,delab001,31,..BBSBB,W
play,9,1,burgj001,00,>B,DI.1-2
play,9,1,burgj001,21,>B.FBX,S8/L7LD+.3-H;2-3
data,er,peraw002,1
data,er,kahnt001,0
data,er,holmc001,4
data,er,middk001,0
data,er,coleg001,2
data,er,brazh001,3
data,er,puk-a001,0
data,er,lopej004,0
data,er,peree004,4
