id,SDN202206220
version,2
info,visteam,ARI
info,hometeam,SDN
info,site,SAN02
info,date,2022/06/22
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drakr901
info,ump1b,littw901
info,ump2b,johna901
info,ump3b,bacoj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:30
info,howscored,unknown
info,pitches,pitches
info,oscorer,womab701
info,temp,75
info,winddir,ltor
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,213
info,attendance,31024
info,wp,morea001
info,lp,bumgm001
info,save,martn002
start,varsd001,"Daulton Varsho",0,1,9
start,thoma004,"Alek Thomas",0,2,8
start,rojaj001,"Josh Rojas",0,3,5
start,walkc002,"Christian Walker",0,4,10
start,smitp002,"Pavin Smith",0,5,3
start,luplj001,"Jordan Luplow",0,6,7
start,perdg001,"Geraldo Perdomo",0,7,6
start,hagej001,"Jake Hager",0,8,4
start,thoma004,"Alek Thomas",0,2,8
start,martk001,"Ketel Marte",0,3,10
start,walkc002,"Christian Walker",0,4,3
start,perad001,"David Peralta",0,5,7
start,varsd001,"Daulton Varsho",0,6,9
start,kellc002,"Carson Kelly",0,7,2
start,alcas002,"Sergio Alcantara",0,8,4
start,perdg001,"Geraldo Perdomo",0,9,6
start,bumgm001,"Madison Bumgarner",0,0,1
start,profj001,"Jurickson Profar",1,1,7
start,cronj001,"Jake Cronenworth",1,2,4
start,machm001,"Manny Machado",1,3,5
start,voitl001,"Luke Voit",1,4,10
start,kim-h002,"Ha-Seong Kim",1,5,6
start,hosme001,"Eric Hosmer",1,6,3
start,nolaa002,"Austin Nola",1,7,2
start,mazan001,"Nomar Mazara",1,8,9
start,ruize001,"Esteury Ruiz",1,9,8
start,darvy001,"Yu Darvish",1,0,1
play,1,0,rojaj001,22,BBFFC,K
play,1,0,thoma004,22,BCFBFS,K
play,1,0,martk001,01,CX,HR/F89XD
play,1,0,walkc002,31,BBFBX,4/P4
play,1,1,profj001,22,CTBBFX,5/L5D
play,1,1,cronj001,32,CCBBBC,K
play,1,1,machm001,12,FFBFX,7/F7S
play,2,0,perad001,32,BCBFB*S,K
play,2,0,varsd001,32,BBCSBFB,W
play,2,0,kellc002,12,CB1F>X,43/G4.1-2
play,2,0,alcas002,12,CC*BS,K
play,2,1,voitl001,11,SBX,E5/TH/G5.B-1
play,2,1,kim-h002,22,CBCBX,S9/L89S.1-2
play,2,1,hosme001,02,CCC,K
play,2,1,nolaa002,32,*BFBFFFBX,D7/L7LS+.2-H(UR);1-H
play,2,1,mazan001,00,X,S8/G4M.2-3
play,2,1,ruize001,02,LFX,S7/L7S.3-H;1-2
play,2,1,profj001,32,BBBCFFB,W.2-3;1-2
play,2,1,cronj001,12,CBS+3,PO3(25)
play,2,1,cronj001,12,CBS+3.C,K
play,3,0,perdg001,12,CBCS,K
play,3,0,rojaj001,32,CFBBFBFFFS,K
play,3,0,thoma004,11,BCX,5/P56
play,3,1,machm001,00,X,S7/L7
play,3,1,voitl001,00,X,S9/L9LS.1-3
play,3,1,kim-h002,00,X,S8/L78.3-H;1-2
play,3,1,hosme001,30,B*BBB,W.2-3;1-2
play,3,1,nolaa002,12,BFFFX,6(2)3/GDP/G6.3-H(NR);1-2
com,"$Padres challenged (tag play), call on the field was upheld."
play,3,1,mazan001,01,CX,8/F78
play,4,0,martk001,01,CX,S8/L8
play,4,0,walkc002,00,X,HR/F7D.1-H
play,4,0,perad001,12,CFBS,K
play,4,0,varsd001,01,FX,43/G34
play,4,0,kellc002,01,CX,S9/L9S
play,4,0,alcas002,11,CBX,9/L9LD+
play,4,1,ruize001,00,X,9/F3D
play,4,1,profj001,31,BCBBB,W
play,4,1,cronj001,32,SBB1BCFF>B,W.1-2
