id,ARI202204070
version,2
info,visteam,SDN
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/07
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,vanol901
info,ump1b,belld901
info,ump2b,barbs901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,black701
info,temp,93
info,winddir,ltor
info,windspeed,6
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,198
info,attendance,35508
info,wp,mantj002
info,lp,suarr002
info,save,
start,nolaa002,"Austin Nola",0,1,2
start,machm001,"Manny Machado",0,2,5
start,cronj001,"Jake Cronenworth",0,3,4
start,voitl001,"Luke Voit",0,4,10
start,myerw001,"Wil Myers",0,5,9
start,hosme001,"Eric Hosmer",0,6,3
start,profj001,"Jurickson Profar",0,7,7
start,kim-h002,"Ha-Seong Kim",0,8,6
play,7,1,hummc001,31,..CBBBB,W.1-2
play,7,1,perdg001,22,BBCFS,K
play,8,0,cronj001,00,,NP
sub,alcas002,"Sergio Alcantara",1,8,5
play,8,0,cronj001,32,.BCFBBB,W
play,8,0,voitl001,11,S*BX,64(1)3/GDP/G6
play,8,0,myerw001,02,SSS,K
play,8,1,varsd001,32,CBBBFFS,K
play,8,1,martk001,10,BX,31/G34
play,8,1,perad001,12,FFBFC,K
play,9,0,hosme001,00,,NP
sub,mantj002,"Joe Mantiply",1,0,1
play,9,0,hosme001,00,.X,43/G34
play,9,0,profj001,32,CBBCBFB,W
play,9,0,kim-h002,00,,NP
sub,azocj001,"Jose Azocar",0,7,12
play,9,0,kim-h002,02,.C111FFX,7/F78D
play,9,0,grist001,32,1CB1BCB>C,K
play,9,1,walkc002,00,,NP
sub,azocj001,"Jose Azocar",0,7,7
play,9,1,walkc002,00,.,NP
sub,suarr002,"Robert Suarez",0,0,1
play,9,1,walkc002,30,..BBBB,W
play,9,1,smitp002,31,BB*BCB,W.1-2
play,9,1,kellc002,00,,NP
sub,mccaj003,"Jake McCarthy",1,5,12
play,9,1,kellc002,12,.CF*BB,WP.2-3;1-2
play,9,1,kellc002,22,.CF*BB.FH,HP
play,9,1,beers001,00,,NP
sub,stamc001,"Craig Stammen",0,0,1
play,9,1,beers001,00,.B,WP.3-H(NR);2-3;1-2
play,9,1,beers001,10,.B.X,HR/F9D.3-H;2-H
data,er,suarr002,3
data,er,johnp001,0
data,er,stamc001,1
data,er,darvy001,0
data,er,hillt002,0
data,er,bumgm001,1
data,er,mantj002,0
data,er,weavl001,1
data,er,popps001,0
data,er,pereo002,0
data,er,ramin002,0
id,ARI202204120
version,2
info,visteam,HOU
info,hometeam,ARI
info,site,PHO01
info,date,2022/04/12
info,number,0
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,reynj901
info,ump2b,ticht901
info,ump3b,muchm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:08
info,howscored,unknown
info,pitches,pitches
info,oscorer,rausg701
info,temp,70
info,winddir,ltor
info,windspeed,17
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,200
info,attendance,17674
info,wp,nerih001
info,lp,melam001
info,save,presr001
start,altuj001,"Jose Altuve",0,1,4
start,branm003,"Michael Brantley",0,2,7
start,brega001,"Alex Bregman",0,3,5
start,gurry001,"Yuli Gurriel",0,4,3
start,tuckk001,"Kyle Tucker",0,5,9
start,diaza003,"Aledmys Diaz",0,6,10
start,penaj004,"Jeremy Pena",0,7,6
start,castj006,"Jason Castro",0,8,2
start,sirij001,"Jose Siri",0,9,8
start,garcl007,"Luis Garcia",0,0,1
