id,NYN202305011
version,2
info,visteam,ATL
info,hometeam,NYN
info,site,NYC20
info,date,2023/05/01
info,number,1
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,gonzm901
info,ump1b,willr901
info,ump2b,johna901
info,ump3b,wolcq901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:19
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,59
info,winddir,torf
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,173
info,attendance,0
info,wp,stris002
info,lp,reyed002
info,save,minta001
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,olsom001,"Matt Olson",0,2,3
start,rilea001,"Austin Riley",0,3,5
start,murps001,"Sean Murphy",0,4,2
start,albio001,"Ozzie Albies",0,5,4
start,rosae001,"Eddie Rosario",0,6,10
start,grisv001,"Vaughn Grissom",0,7,6
start,harrm004,"Michael Harris II",0,8,8
play,8,1,nimmb001,12,.FFBC,K
play,8,1,marts002,12,CFFFBC,K
play,8,1,lindf001,01,FX,6/P6S
play,9,0,acunr001,20,BBX,9/F9S
play,9,0,olsom001,12,BCCS,K
play,9,0,rilea001,02,CSX,13/G13
play,9,1,alonp001,00,,NP
sub,minta001,"A.J. Minter",0,0,1
play,9,1,alonp001,22,.BFBF*S,K
play,9,1,mcnej002,12,FFBFX,6/L6
play,9,1,voged001,00,,NP
sub,escoe001,"Eduardo Escobar",1,6,11
play,9,1,escoe001,12,.SBFX,HR/F7LD
play,9,1,batyb001,02,CSX,9/L9D+
data,er,anden001,0
data,er,stris002,4
data,er,lee-d005,1
data,er,chavj001,0
data,er,mchuc001,2
data,er,minta001,1
data,er,nogos001,0
data,er,huntt002,0
data,er,curtj003,1
data,er,reyed002,5
data,er,brigj002,3
id,NYN202308122
version,2
info,visteam,ATL
info,hometeam,NYN
info,site,NYC20
info,date,2023/08/12
info,number,2
info,gametype,regular
info,starttime,7:15PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,millb903
info,ump1b,gibsh902
info,ump2b,bakej902
info,ump3b,vondc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/07 09:04:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,karph701
info,temp,79
info,winddir,tolf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,173
info,attendance,30254
info,wp,stris002
info,lp,quinj001
info,save,
start,acunr001,"Ronald Acuna Jr.",0,1,9
start,albio001,"Ozzie Albies",0,2,4
start,rilea001,"Austin Riley",0,3,5
start,olsom001,"Matt Olson",0,4,3
start,darnt001,"Travis d'Arnaud",0,5,2
start,ozunm001,"Marcell Ozuna",0,6,10
start,arcio002,"Orlando Arcia",0,7,6
start,pillk001,"Kevin Pillar",0,8,7
start,harrm004,"Michael Harris II",0,9,8
start,stris002,"Spencer Strider",0,0,1
start,nimmb001,"Brandon Nimmo",1,1,7
start,lindf001,"Francisco Lindor",1,2,6
start,alonp001,"Pete Alonso",1,3,3
start,mcnej002,"Jeff McNeil",1,4,9
start,alvaf001,"Francisco Alvarez",1,5,2
start,voged001,"Daniel Vogelbach",1,6,10
start,vienm001,"Mark Vientos",1,7,5
start,mendd002,"Danny Mendick",1,8,4
start,locat001,"Tim Locastro",1,9,8
start,quinj001,"Jose Quintana",1,0,1
play,1,0,acunr001,22,FBCFBT,K
play,1,0,albio001,00,X,4/P4MD
play,1,0,rilea001,21,BCBX,8/L8D
play,1,1,nimmb001,02,CCX,S8/L78
play,1,1,lindf001,01,CX,46(1)/FO/G4.B-1
play,1,1,alonp001,02,FF.>B,SB2
play,1,1,alonp001,22,FF.>B.BX,43/G4MD
play,1,1,mcnej002,02,FFX,63/G6
play,2,0,olsom001,10,BX,43/G4
play,2,0,darnt001,32,BTBSBFS,K.BX1(23)
play,2,0,ozunm001,22,BCFFBX,43/G4M
play,2,1,alvaf001,31,BCBB.B,W
play,2,1,voged001,22,SB*BS*S,K
play,2,1,vienm001,12,SS*BS,K
play,2,1,mendd002,32,BBFS*B>B,W.1-2
play,2,1,locat001,02,CCS,K
play,3,0,arcio002,11,BCX,63/G6
play,3,0,pillk001,10,BX,53/G56
play,3,0,harrm004,11,BCX,5/P5F/FL
play,3,1,nimmb001,30,BBBB,W
play,3,1,lindf001,11,CBX,3/L3/DP.1X1(3)
play,3,1,alonp001,01,SX,53/G56
play,4,0,acunr001,10,BX,53/G56
play,4,0,albio001,00,X,S7/G6
play,4,0,rilea001,22,F*BS1B>B,SB2
play,4,0,rilea001,32,F*BS1B>B.B,W
play,4,0,olsom001,32,CFBF*BBX,46(1)3/GDP/G4
play,4,1,mcnej002,00,X,8/L78D
play,4,1,alvaf001,32,BSBC.BFFS,K
play,4,1,voged001,31,SBBBB,W
play,4,1,vienm001,32,BBFSB>F>F>X,4/P4S
play,5,0,darnt001,22,BSSBS,K
play,5,0,ozunm001,00,X,D7/L7L+
play,5,0,arcio002,22,CS*B*BX,9/F9LF/FL.2-3
play,5,0,pillk001,32,CBCB*BFX,S8/L8D.3-H
play,5,0,harrm004,12,CBF1S,K
play,5,1,mendd002,02,CCX,43/G4
play,5,1,locat001,02,SCFX,13/G1S-
play,5,1,nimmb001,00,X,D7/L7LD
play,5,1,lindf001,10,BX,3/P3F/FL
play,6,0,acunr001,32,FFB.BBFFX,8/F8XD+
play,6,0,albio001,32,BBFS.B*B,W
play,6,0,rilea001,22,BB+1FSX,4/P4S
play,6,0,olsom001,20,BBX,S8/L8D.1-2
play,6,0,darnt001,30,BBBB,W.2-3;1-2
play,6,0,ozunm001,32,BFBC.B>X,9/F9
play,6,1,alonp001,12,CBF.C,K
play,6,1,mcnej002,01,FX,31/G34
play,6,1,alvaf001,32,CBBB.TX,8/F8D
play,7,0,arcio002,00,,NP
sub,gottt001,"Trevor Gott",1,0,1
play,7,0,arcio002,21,.SBBX,4/P4D
play,7,0,pillk001,00,,NP
sub,rosae001,"Eddie Rosario",0,8,11
play,7,0,rosae001,12,.CFBX,S7/L78
play,7,0,harrm004,01,C1>B,SB2
play,7,0,harrm004,22,C1>B.FBS,K
play,7,0,acunr001,11,BFX,63/G6
play,7,1,voged001,00,,NP
sub,rosae001,"Eddie Rosario",0,8,7
play,7,1,voged001,32,.BBCF.BX,S5/G56
play,7,1,vienm001,00,,NP
sub,orter001,"Rafael Ortega",1,6,12
play,7,1,vienm001,01,.CX,9/F9D
play,7,1,mendd002,21,BBTX,9/F89D
play,7,1,locat001,12,1FS.B*S,K
play,8,0,albio001,00,.,NP
sub,smitd009,"Drew Smith",1,0,1
play,8,0,albio001,12,..CSBH,HP
play,8,0,rilea001,11,BFX,FC4/G89.1-H(E4)(E8)(NR)(UR);B-1
play,8,0,olsom001,32,BSFBBB,W.1-2
play,8,0,darnt001,20,BBX,3/P4S
play,8,0,ozunm001,22,BBFCX,D8/L8XD+.2-H;1-H
play,8,0,arcio002,00,,NP
sub,bickp001,"Phil Bickford",1,0,1
play,8,0,arcio002,11,.BCX,7/L7D+
play,8,0,rosae001,01,TX,31/G34
play,8,1,nimmb001,00,,NP
sub,minta001,"A.J. Minter",0,0,1
play,8,1,nimmb001,32,.CBBFBFF.FV,W
play,8,1,lindf001,21,CBBX,8/F89XD+
play,8,1,alonp001,12,CBCFS,K
play,8,1,mcnej002,01,CX,D9/L3D.1-3
play,8,1,alvaf001,32,C*BBBC.X,53/G5
play,9,0,harrm004,12,BFCX,3/G3
play,9,0,acunr001,32,BSBSBFB,W
play,9,0,albio001,01,CX,HR/F9LD.1-H
play,9,0,rilea001,22,CBCBS,K
play,9,0,olsom001,00,X,7/L7
play,9,1,orter001,00,,NP
sub,igler001,"Raisel Iglesias",0,0,1
play,9,1,orter001,22,.BTBCFC,K
play,9,1,vienm001,11,BSX,S7/L7+
play,9,1,mendd002,00,,NP
sub,narvo001,"Omar Narvaez",1,8,11
play,9,1,narvo001,31,.B*BFBX,9/F9L
play,9,1,locat001,00,,NP
sub,stewd002,"DJ Stewart",1,9,11
play,9,1,stewd002,12,.SBSS,K
data,er,stris002,0
data,er,minta001,0
data,er,igler001,0
data,er,bickp001,2
data,er,quinj001,1
data,er,smitd009,2
data,er,gottt001,0
