id,MIL202304080
version,2
info,visteam,SLN
info,hometeam,MIL
info,site,MIL06
info,date,2023/04/08
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,laynj901
info,ump1b,carav901
info,ump2b,gonzm901
info,ump3b,hamaa901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:18
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,65
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,152
info,attendance,43077
info,wp,montj004
info,lp,lauee001
info,save,
start,edmat001,"Tommy Edman",0,1,6
start,carld002,"Dylan Carlson",0,2,7
start,goldp001,"Paul Goldschmidt",0,3,3
start,arenn001,"Nolan Arenado",0,4,5
start,contw001,"Willson Contreras",0,5,2
start,oneit001,"Tyler O'Neill",0,6,8
start,mottt001,"Taylor Motter",0,7,4
start,walkj003,"Jordan Walker",0,8,9
play,6,0,goldp001,01,CX,43/G4
play,6,1,adamw002,12,BFSFC,K
play,6,1,yelic001,11,CBX,1/P56S-
play,6,1,contw002,00,X,S9/L89S
play,6,1,voitl001,02,FFS,K
play,7,0,arenn001,00,,NP
sub,guerj004,"Javy Guerra",1,0,1
play,7,0,arenn001,30,.BBBB,W
play,7,0,contw001,11,BFX,64(1)3/GDP/G6
play,7,0,oneit001,31,BFBBX,4/L4MD
play,7,1,andeb006,22,BBCFX,31/G4
play,7,1,millo002,10,BX,43/G4MD
play,7,1,wiemj001,10,BX,9/F9D
play,8,0,mottt001,22,BCBFX,6/F6D
play,8,0,walkj003,02,SFH,HP
play,8,0,yepej001,00,X,S8/L78.1-2
play,8,0,edmat001,12,BCSS,K
play,8,0,carld002,02,CCS,K
play,8,1,carav001,00,,NP
sub,thomz002,"Zack Thompson",0,0,1
play,8,1,carav001,11,.CBX,6/L6D+
play,8,1,brosm001,22,BFBCX,23/G2-
play,8,1,adamw002,10,BX,S9/G3
play,8,1,yelic001,22,CBBCX,S7/G5.1-2
play,8,1,contw002,32,BBCFFB>F>B,W.2-3;1-2
play,8,1,voitl001,02,FFS,K
play,9,0,goldp001,00,,NP
sub,turab002,"Brice Turang",1,3,4
play,9,0,goldp001,00,.,NP
sub,millo002,"Owen Miller",1,7,7
play,9,0,goldp001,00,..,NP
sub,payaj001,"Joel Payamps",1,0,1
