id,SLN202304020
version,2
info,visteam,TOR
info,hometeam,SLN
info,site,STL10
info,date,2023/04/02
info,number,0
info,gametype,regular
info,starttime,1:15PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,morag901
info,ump1b,becka901
info,ump2b,iassd901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/28 12:23:54
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,63
info,winddir,fromrf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,149
info,attendance,45525
info,wp,montj004
info,lp,bassc001
info,save,
start,sprig001,"George Springer",0,1,9
start,bichb001,"Bo Bichette",0,2,6
start,guerv002,"Vladimir Guerrero Jr.",0,3,3
start,varsd001,"Daulton Varsho",0,4,8
start,kirka001,"Alejandro Kirk",0,5,10
start,chapm001,"Matt Chapman",0,6,5
start,merrw001,"Whit Merrifield",0,7,7
start,jansd001,"Danny Jansen",0,8,2
data,er,strac001,1
id,SLN202304130
version,2
info,visteam,PIT
info,hometeam,SLN
info,site,STL10
info,date,2023/04/13
info,number,0
info,gametype,regular
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,merzd901
info,ump1b,barkl901
info,ump2b,littw901
info,ump3b,addir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:59
info,howscored,unknown
info,pitches,pitches
info,oscorer,smitm701
info,temp,79
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,161
info,attendance,37805
info,wp,velav001
info,lp,montj004
info,save,
start,hayek001,"Ke'Bryan Hayes",0,1,5
start,mccua001,"Andrew McCutchen",0,2,9
start,santc002,"Carlos Santana",0,3,10
start,choij001,"Ji Man Choi",0,4,3
start,joe-c001,"Connor Joe",0,5,7
start,castr006,"Rodolfo Castro",0,6,6
start,mathm002,"Mark Mathias",0,7,4
start,bae-j001,"Ji Hwan Bae",0,8,8
start,delaj004,"Jason Delay",0,9,2
start,velav001,"Vince Velasquez",0,0,1
start,donob001,"Brendan Donovan",1,1,4
start,burla001,"Alec Burleson",1,2,7
start,goldp001,"Paul Goldschmidt",1,3,3
start,arenn001,"Nolan Arenado",1,4,5
start,contw001,"Willson Contreras",1,5,2
start,gormn001,"Nolan Gorman",1,6,10
start,oneit001,"Tyler O'Neill",1,7,8
start,walkj003,"Jordan Walker",1,8,9
start,edmat001,"Tommy Edman",1,9,6
start,montj004,"Jordan Montgomery",1,0,1
play,1,0,hayek001,10,BX,8/F89D
play,1,0,mccua001,00,X,8/F8D
play,1,0,santc002,02,CFC,K
play,1,1,donob001,21,BBFX,D9/L9LD
play,1,1,burla001,20,*BBX,7/F7D.2-3
play,1,1,goldp001,22,CBSBS,K
play,1,1,arenn001,11,*BCX,3/P3SF/FL
play,2,0,choij001,31,BBFBX,31/G34
play,2,0,joe-c001,32,CSBBBX,S8/G6M
play,2,0,castr006,32,CBSBFBB,W.1-2
play,2,0,mathm002,02,CT*S,K
play,2,0,bae-j001,11,CB2X,5/L56
play,2,1,contw001,32,BFBBCX,E4/G4MD.B-1
play,2,1,gormn001,12,CFFBS,K
play,2,1,oneit001,32,*BBSBSS,K
play,2,1,walkj003,02,ST.S,K
play,3,0,delaj004,12,CBFFX,43/G4M
play,3,0,hayek001,20,BBX,43/G4M+
play,3,0,mccua001,12,CFBC,K
play,3,1,edmat001,11,BCX,6/P6D
play,3,1,donob001,22,CBF.BFX,7/F7D
play,3,1,burla001,10,BX,9/L89D+
play,4,0,santc002,01,CX,D9/F9LD
play,4,0,choij001,02,FF.*S,K
play,4,0,joe-c001,32,FB*BC*BFX,63/G6
play,4,0,castr006,00,X,43/G4
play,4,1,goldp001,02,CSX,7/F7LS
play,4,1,arenn001,02,FSS,K
play,4,1,contw001,31,BBSBB,W
play,4,1,gormn001,02,FC>FB,WP.1-2
play,4,1,gormn001,32,FC>FB.BBB,W
play,4,1,oneit001,11,F*B>B,SB3;SB2
play,4,1,oneit001,22,F*B>B.SX,8/F78XD+
play,5,0,mathm002,22,CFBBX,13/G1
play,5,0,bae-j001,11,C.BX,43/G4
play,5,0,delaj004,32,CBCBBB,W
play,5,0,hayek001,11,BCX,43/G34
play,5,1,walkj003,00,X,8/F8
play,5,1,edmat001,11,BSX,7/F7
play,5,1,donob001,32,BCC.FBBX,S7/L78
play,5,1,burla001,12,BCSX,8/L78
play,6,0,mccua001,12,TS.BX,D7/L7LS
play,6,0,santc002,21,CBBX,D56/G5+.2-H
play,6,0,choij001,01,CX,43/G4+.2-3
play,6,0,joe-c001,22,CB*BFX,FC/G34.3XH(32);B-1
play,6,0,castr006,00,X,9/L89D
play,6,1,goldp001,01,CX,7/F78XD+
play,6,1,arenn001,00,X,S48/F8S
play,6,1,contw001,12,CFBX,3/P3F/FL
play,6,1,gormn001,12,CBS>S,K
play,7,0,mathm002,12,CCBS,K
play,7,0,bae-j001,00,X,S9/G34
play,7,0,delaj004,02,CSX,S9/L9.1-2
play,7,0,hayek001,00,,NP
sub,hickj002,"Jordan Hicks",1,0,1
play,7,0,hayek001,30,.BBBB,W.2-3;1-2
play,7,0,mccua001,11,BFX,8/SF/L8D+.3-H
play,7,0,santc002,31,F*BB*B>B,W.2-3;1-2
play,7,0,choij001,00,,NP
sub,cabrg001,"Genesis Cabrera",1,0,1
play,7,0,choij001,22,.*B*BFC.S,K
play,7,1,oneit001,00,,NP
sub,unded001,"Duane Underwood Jr.",0,0,1
play,7,1,oneit001,12,.CCBS,K
play,7,1,walkj003,01,CX,43/G4
play,7,1,edmat001,22,CS.BFBC,K
play,8,0,joe-c001,21,BBFX,HR/F7D
play,8,0,castr006,10,BX,HR/F78XD
play,8,0,mathm002,12,CBFF*S,K
play,8,0,bae-j001,12,BSFS,K
play,8,0,delaj004,00,,NP
sub,strac001,"Chris Stratton",1,0,1
play,8,0,delaj004,01,.SX,4/P4
play,8,1,donob001,00,,NP
sub,holdc001,"Colin Holderman",0,0,1
play,8,1,donob001,01,.CX,43/G4+
play,8,1,burla001,00,X,S68/G4M
play,8,1,goldp001,11,CBX,D7/L7L.1-3
play,8,1,arenn001,01,CX,4/P34D
play,8,1,contw001,32,*BBBCFF*B,W
play,8,1,gormn001,22,FSBFBX,3/L3
play,9,0,hayek001,02,CFX,D9/G3+
play,9,0,mccua001,32,CBSBBFB,W
play,9,0,santc002,00,,NP
sub,reynb001,"Bryan Reynolds",0,3,11
play,9,0,reynb001,10,.BX,46(1)3/GDP/G4.2-3
play,9,0,choij001,02,FFB,WP.3-H(NR)
play,9,0,choij001,22,FFB.BC,K
play,9,1,oneit001,00,.,NP
sub,mored002,"Dauri Moreta",0,0,1
play,9,1,oneit001,21,..CBBX,D7/L7L+
play,9,1,walkj003,02,SS.C,K
play,9,1,edmat001,22,BBCFX,8/F8D
play,9,1,donob001,22,CBBF.*S,K.BX1(23)
data,er,velav001,0
data,er,holdc001,0
data,er,mored002,0
data,er,unded001,0
data,er,hickj002,0
data,er,cabrg001,2
data,er,montj004,2
data,er,strac001,1
id,SLN202304180
version,2
info,visteam,ARI
