id,CIN202306020
version,2
info,visteam,MIL
info,hometeam,CIN
info,site,CIN09
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,5:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,reybd901
info,ump1b,libkj901
info,ump2b,vondc901
info,ump3b,hoyej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,92
info,winddir,fromlf
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,211
info,attendance,44073
info,wp,pegue001
info,lp,cruzf002
info,save,wilsb003
start,ruf-d001,"Darin Ruf",0,1,3
start,millo002,"Owen Miller",0,2,4
start,contw002,"William Contreras",0,3,10
start,yelic001,"Christian Yelich",0,4,7
start,andeb006,"Brian Anderson",0,5,9
start,monaa001,"Andruw Monasterio",0,6,6
start,wiemj001,"Joey Wiemer",0,7,8
start,carav001,"Victor Caratini",0,8,2
sub,simsl001,"Lucas Sims",1,0,1
play,8,0,contw002,11,.CBX,3/P34
play,8,0,yelic001,22,CCBBS,K
play,8,0,andeb006,32,CBBFBS,K
play,8,1,indij001,00,,NP
sub,strzp001,"Peter Strzelecki",0,0,1
play,8,1,indij001,00,.H,HP
play,8,1,fralj001,31,BBCB1>C,SB2
play,8,1,fralj001,32,BBCB1>C.S,K
play,8,1,stept001,32,BBFC.BS,K
play,8,1,senzn001,00,X,4/P34
play,9,0,monaa001,00,,NP
sub,diaza004,"Alexis Diaz",1,0,1
play,9,0,monaa001,32,.BBFBFB,W
play,9,0,wiemj001,00,X,6/P6D
play,9,0,carav001,10,B>X,5/P6
play,9,0,turab002,00,>B,SB2
play,9,0,turab002,21,>B.BLX,7/F7S
play,9,1,fairs001,00,,NP
sub,willd004,"Devin Williams",0,0,1
play,9,1,fairs001,02,.S.CS,K
play,9,1,bensw001,00,X,E5/G56S.B-1
play,9,1,maill001,00,,NP
sub,stees001,"Spencer Steer",1,9,11
play,9,1,stees001,11,.*BC>S,SB2
play,9,1,stees001,32,.*BC>S.BBX,4/P4MD
play,9,1,newmk001,21,B*BCX,53/G56
play,10,0,tellr001,00,,NP
sub,newmk001,"Kevin Newman",1,1,5
play,10,0,tellr001,00,.,NP
sub,senzn001,"Nick Senzel",1,6,7
play,10,0,tellr001,00,..,NP
sub,casac001,"Curt Casali",1,8,2
play,10,0,tellr001,00,...,NP
sub,stees001,"Spencer Steer",1,9,3
play,10,0,tellr001,00,....,NP
sub,youna002,"Alex Young",1,0,1
radj,turab002,2
com,"Brice Turang starts inning at 2nd base."
play,10,0,tellr001,02,......CFFFC,K
play,10,0,millo002,12,SCBX,S7/L7.2-3
play,10,0,contw002,02,SFT,K
play,10,0,yelic001,30,BBBB,W.1-2
play,10,0,andeb006,00,,NP
sub,cruzf002,"Fernando Cruz",1,0,1
play,10,0,andeb006,12,.FSBFX,2/P23F-/FL
play,10,1,mclam001,00,,NP
sub,pegue001,"Elvis Peguero",0,0,1
radj,newmk001,2
com,"Kevin Newman starts inning at 2nd base."
play,10,1,mclam001,21,..BF*BX,8/L8
play,10,1,indij001,32,CSBBFBH,HP
play,10,1,fralj001,00,X,8/F78D
play,10,1,stept001,00,>C,SB3;SB2
play,10,1,stept001,12,>C.BFS,K
radj,andeb006,2
com,"Brian Anderson starts inning at 2nd base."
play,11,0,monaa001,12,.CC*BX,S7/L78S.2-3
play,11,0,wiemj001,31,BBBCB,W.1-2
play,11,0,carav001,11,BCX,46(1)/FO/G34.3-H(UR);2-3;B-1
play,11,0,turab002,20,BBX,16(1)/FO/G4MS.3-H;B-1
play,11,0,tellr001,02,1CFS,K
play,11,1,senzn001,00,,NP
sub,wilsb003,"Bryse Wilson",0,0,1
radj,stept001,2
com,"Tyler Stephenson starts inning at 2nd base."
play,11,1,senzn001,32,..FBBCBX,9/F9S
play,11,1,fairs001,11,FBX,43/G4.2-3
play,11,1,casac001,10,BX,D8/L78XD+.3-H(UR)
play,11,1,stees001,00,,NP
sub,garcj007,"Jose Barrero",1,8,12
play,11,1,stees001,32,.BBFBC>X,43/G34
data,er,payaj001,0
data,er,willd004,0
data,er,burnc002,3
data,er,pegue001,0
data,er,strzp001,0
data,er,wilsb003,0
data,er,willb003,2
data,er,youna002,0
data,er,cruzf002,1
data,er,simsl001,0
data,er,farmb001,0
data,er,diaza004,0
id,CIN202307140
version,2
info,visteam,MIL
info,hometeam,CIN
info,site,CIN09
info,date,2023/07/14
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cejan901
info,ump1b,onorb901
info,ump2b,jimee902
info,ump3b,hobep901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/23 20:30:20
info,howscored,unknown
info,pitches,pitches
info,oscorer,sherb701
info,temp,91
info,winddir,unknown
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,152
info,attendance,41516
info,wp,burnc002
info,lp,ashcg001
info,save,willd004
start,yelic001,"Christian Yelich",0,1,7
start,contw002,"William Contreras",0,2,10
start,adamw002,"Willy Adames",0,3,6
start,millo002,"Owen Miller",0,4,3
start,carav001,"Victor Caratini",0,5,2
start,monaa001,"Andruw Monasterio",0,6,5
start,turab002,"Brice Turang",0,7,4
start,taylt002,"Tyrone Taylor",0,8,9
start,wiemj001,"Joey Wiemer",0,9,8
start,burnc002,"Corbin Burnes",0,0,1
start,friet001,"TJ Friedl",1,1,8
start,mclam001,"Matt McLain",1,2,6
start,fralj001,"Jake Fraley",1,3,10
start,delae003,"Elly De La Cruz",1,4,5
start,indij001,"Jonathan India",1,5,4
start,vottj001,"Joey Votto",1,6,3
start,stees001,"Spencer Steer",1,7,7
start,stept001,"Tyler Stephenson",1,8,2
start,bensw001,"Will Benson",1,9,9
start,ashcg001,"Graham Ashcraft",1,0,1
play,1,0,yelic001,12,CFBX,63/G6M
play,1,0,contw002,10,BX,D7/G5
play,1,0,adamw002,00,X,8/F89D.2-3
play,1,0,millo002,12,BCSC,K
play,1,1,friet001,12,CS.BX,6/L6D
play,1,1,mclam001,32,CBBFBFFB,W
play,1,1,fralj001,12,1CC*B*S,K
