id,MIL202304050
version,2
info,visteam,NYN
info,hometeam,MIL
info,site,MIL06
info,date,2023/04/05
info,number,0
info,gametype,regular
info,starttime,12:40PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,barbs901
info,ump2b,porta901
info,ump3b,wolfj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:38:50
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,66
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,165
info,attendance,18387
info,wp,willd004
info,lp,ottaa001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,voged001,"Daniel Vogelbach",0,5,10
start,mcnej002,"Jeff McNeil",0,6,4
start,canhm001,"Mark Canha",0,7,7
start,narvo001,"Omar Narvaez",0,8,2
play,5,1,contw002,31,BBBC.*B,W.3-H;2-3;1-2
play,5,1,brosm001,00,,NP
sub,wanta001,"Andrew Wantz",0,0,1
play,5,1,brosm001,00,.,NP
sub,winkj002,"Jesse Winker",1,4,11
play,5,1,winkj002,02,..CFX,S7/L7D+.3-H(UR);2-H;1-2
play,5,1,andeb006,00,,NP
sub,perkb002,"Blake Perkins",1,4,12
play,5,1,andeb006,00,.H,HP.2-3;1-2
play,5,1,voitl001,22,C*BBFFFX,9/F89S
play,5,1,carav001,32,CF.*BBB>B,W.3-H(UR);2-3;1-2
play,5,1,millo002,12,BCSFX,8/F8S
play,6,0,renda001,00,,NP
sub,perkb002,"Blake Perkins",1,4,9
play,6,0,renda001,00,.,NP
sub,andeb006,"Brian Anderson",1,5,5
play,6,0,renda001,21,..CBBX,3/P3F/FL
play,6,0,renfh001,02,SCFX,53/G56D
play,6,0,drurb001,31,BBCBX,8/L8D
play,6,1,wiemj001,00,,NP
sub,barrj003,"Jaime Barria",0,0,1
play,6,1,wiemj001,32,.BCBSBC,K
play,6,1,yelic001,01,CX,43/G34
com,"ej,counc001,M,becka901,Balls and strikes"
com,"$Brewers manager Craig Counsell ejected by HP umpire Adam Beck"
com,"for arguing balls and strikes"
play,6,1,adamw002,12,BC..A.S,K
com,"ej,adamw002,P,becka901,Balls and strikes (pitch clock violation)"
com,"$Brewers shortstop Willy Adames ejected by HP umpire Adam Beck"
com,"for arguing balls and strikes (pitch clock violation)"
play,7,0,wardt002,00,.,NP
sub,turab002,"Brice Turang",1,2,6
play,7,0,wardt002,00,..,NP
sub,pegue001,"Elvis Peguero",1,0,1
play,7,0,wardt002,12,...CCBX,53/G56
play,7,0,urshg001,00,,NP
sub,lambj001,"Jake Lamb",0,8,11
play,7,0,lambj001,32,.BCBBTFX,5/P56
play,7,0,wallc001,10,BX,63/G6
play,7,1,contw002,00,,NP
sub,lambj001,"Jake Lamb",0,8,3
play,7,1,contw002,12,.CBCS,K
play,7,1,perkb002,01,CX,7/F78S
play,7,1,andeb006,02,CF.S,K
play,8,0,netoz001,00,X,S8/L8
play,8,0,troum001,11,CBX,HR/F8XD.1-H
play,8,0,ohtas001,00,X,S9/G34
play,8,0,renda001,21,BBF>B,SB2
play,8,0,renda001,31,BBF>B..B,W
play,8,0,renfh001,00,,NP
sub,strzp001,"Peter Strzelecki",1,0,1
play,8,0,renfh001,22,.FBFBFS,K
play,8,0,drurb001,01,C>S,SB3;SB2
play,8,0,drurb001,22,C>S.BBS,K
play,8,0,wardt002,00,X,9/L9
play,8,1,voitl001,00,X,53/G56S
play,8,1,carav001,32,C.CBFBBB,W
play,8,1,millo002,11,BFX,9/F89S
play,8,1,wiemj001,22,BCSFFBFS,K
play,9,0,lambj001,00,,NP
sub,wilsb003,"Bryse Wilson",1,0,1
play,9,0,lambj001,01,.CX,7/F7D
play,9,0,wallc001,00,,NP
sub,thaim001,"Matt Thaiss",0,9,11
play,9,0,thaim001,00,.X,S8/L8S
play,9,0,netoz001,10,BX,13/L4MS.1-2
play,9,0,troum001,10,*BX,HR/F78XD.2-H
play,9,0,ohtas001,00,,NP
sub,willd004,"Devin Williams",1,0,1
play,9,0,ohtas001,00,.X,S9/L89
play,9,0,renda001,11,BFX,9/L9D+
data,er,wanta001,0
data,er,barrj003,0
data,er,detmr001,4
data,er,willd004,0
data,er,burnc002,1
data,er,pegue001,2
data,er,strzp001,0
data,er,wilsb003,2
id,MIL202305120
version,2
info,visteam,KCA
info,hometeam,MIL
info,site,MIL06
info,date,2023/05/12
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carlm901
info,ump1b,gibsh902
info,ump2b,millb903
info,ump3b,ballb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/10 09:05:42
info,howscored,unknown
info,pitches,pitches
info,oscorer,quesd701
info,temp,70
info,winddir,unknown
info,windspeed,0
info,fieldcond,unknown
info,precip,none
info,sky,dome
info,timeofgame,164
info,attendance,24900
info,wp,burnc002
info,lp,taylj001
info,save,
start,wittb002,"Bobby Witt Jr.",0,1,6
start,pasqv001,"Vinnie Pasquantino",0,2,10
start,olive001,"Edward Olivares",0,3,7
start,melem001,"MJ Melendez",0,4,9
start,garcm003,"Maikel Garcia",0,5,4
start,pratn001,"Nick Pratto",0,6,3
start,dozih001,"Hunter Dozier",0,7,5
start,bradj001,"Jackie Bradley Jr.",0,8,8
start,fermf002,"Freddy Fermin",0,9,2
start,taylj001,"Josh Taylor",0,0,1
start,millo002,"Owen Miller",1,1,4
start,contw002,"William Contreras",1,2,2
start,adamw002,"Willy Adames",1,3,6
start,yelic001,"Christian Yelich",1,4,7
start,andeb006,"Brian Anderson",1,5,5
start,voitl001,"Luke Voit",1,6,10
start,tellr001,"Rowdy Tellez",1,7,3
start,taylt002,"Tyrone Taylor",1,8,9
start,wiemj001,"Joey Wiemer",1,9,8
start,burnc002,"Corbin Burnes",1,0,1
play,1,0,wittb002,12,CSBS,K
play,1,0,pasqv001,32,BBFFBB,W
play,1,0,olive001,20,BBX,7/F7D
play,1,0,melem001,32,BBSF*B>X,7/F7S
play,1,1,millo002,32,FCBFBBFC,K
play,1,1,contw002,12,CBS*S,K
play,1,1,adamw002,32,BCCBB.B,W
play,1,1,yelic001,00,>C,SB2.1-3(E2/TH)
play,1,1,yelic001,21,>C.BBX,S6/G6.3-H(UR)
play,1,1,andeb006,10,B1>C,SB2
play,1,1,andeb006,11,B1>C.X,3/G3
play,2,0,garcm003,12,BSCS,K
play,2,0,pratn001,01,CX,S8/G4
play,2,0,dozih001,31,B*B1BCB,W.1-2
play,2,0,bradj001,11,SBX,46(1)/FO/G34.2-3;B-1
play,2,0,fermf002,32,S1BSF.B*B>X,8/F8XD
play,2,1,voitl001,00,,NP
sub,castm003,"Max Castillo",0,0,1
play,2,1,voitl001,32,.BBFBFB,W
play,2,1,tellr001,01,CX,S7/F7S.1-2
play,2,1,taylt002,32,ABBCBX,64(1)3/GDP/G6.2-3
play,2,1,wiemj001,11,*BTX,5/P5SF/FL
play,3,0,wittb002,02,FFS,K
play,3,0,pasqv001,12,CFBX,7/F78S
play,3,0,olive001,32,CCBBBB,W
play,3,0,melem001,31,SB1*BB>B,W.1-2
play,3,0,garcm003,22,FBCBS,K
play,3,1,millo002,02,CFX,HR/F7LD
play,3,1,contw002,00,X,53/G5
play,3,1,adamw002,32,BBBS.SC,K
play,3,1,yelic001,10,BX,13/L4MS
play,4,0,pratn001,32,CBFBBX,8/F8S
play,4,0,dozih001,12,CSB.X,S7/L78
play,4,0,bradj001,12,CC*BS,K
play,4,0,fermf002,01,FX,8/L89
play,4,1,andeb006,12,CFBX,S8/L8
play,4,1,voitl001,02,SCS,K
play,4,1,tellr001,11,C1BX,13/G23.1-2
play,4,1,taylt002,10,BX,S8/L8.2-H;B-2
play,4,1,wiemj001,22,SBCFFFFBS,K
play,5,0,wittb002,32,CFB.BBFFX,8/L89D
play,5,0,pasqv001,21,FBBX,3/G3
play,5,0,olive001,10,BX,31/G34
play,5,1,millo002,01,FX,D9/L9L
play,5,1,contw002,30,BBBB,W
play,5,1,adamw002,11,CBX,63/G6.2-3;1-2
play,5,1,yelic001,30,BBBV,IW
play,5,1,andeb006,01,FX,12(3)3/GDP/G1S-
play,6,0,melem001,22,SFBBC,K
play,6,0,garcm003,11,BFX,8/F8XD
play,6,0,pratn001,02,CCC,K
play,6,1,voitl001,32,BBFFFB.X,S7/L7
play,6,1,tellr001,32,BBCFFFBFF>S,K+SB2
play,6,1,taylt002,00,,NP
sub,cuasj001,"Jose Cuas",0,0,1
play,6,1,taylt002,12,.BFCFS,K
play,6,1,wiemj001,01,CX,9/F89
play,7,0,dozih001,00,,NP
sub,payaj001,"Joel Payamps",1,0,1
play,7,0,dozih001,32,.FBBBFC,K
play,7,0,bradj001,02,SCX,2/P2F/FL
play,7,0,fermf002,20,BBX,HR/F7LD
play,7,0,wittb002,00,X,7/L78
play,7,1,millo002,00,,NP
sub,stauj001,"Josh Staumont",0,0,1
play,7,1,millo002,21,.CBBX,S8/G6
play,7,1,contw002,31,SBBBB,W.1-2
play,7,1,adamw002,00,B,WP.2-3;1-2
play,7,1,adamw002,11,B.FX,C/E2.B-1
play,7,1,yelic001,21,C*BBX,S8/L78S.3-H;2-3;1X2(84)
play,7,1,andeb006,01,CX,S9/L9.3-H;1-2
play,7,1,voitl001,00,X,4(1)3/GDP/G4M+
play,8,0,pasqv001,00,,NP
sub,turab002,"Brice Turang",1,1,4
play,8,0,pasqv001,00,.,NP
sub,strzp001,"Peter Strzelecki",1,0,1
play,8,0,pasqv001,12,..CSBX,5/P6
play,8,0,olive001,32,CFFBBBX,8/F89XD
play,8,0,melem001,21,FBBX,9/L89XD+
play,8,1,tellr001,00,,NP
sub,garra001,"Amir Garrett",0,0,1
play,8,1,tellr001,30,.BBBB,W
play,8,1,taylt002,02,CFC,K
play,8,1,wiemj001,02,CC.X,S8/G6M.1-2
play,8,1,turab002,00,X,36(1)/FO/G34.2-3;B-1
play,8,1,contw002,31,SB1BBB,W.1-2
play,8,1,adamw002,02,FSS,K
play,9,0,garcm003,00,,NP
