id,OAK202305270
version,2
info,visteam,HOU
info,hometeam,OAK
info,site,OAK01
info,date,2023/05/27
info,number,0
info,gametype,regular
info,starttime,1:07PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,tosia901
info,ump1b,randt901
info,ump2b,ticht901
info,ump3b,knigb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/19 09:03:46
info,howscored,unknown
info,pitches,pitches
info,oscorer,thomc701
info,temp,62
info,winddir,torf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,161
info,attendance,9293
info,wp,valdf001
info,lp,pruia001
info,save,presr001
start,altuj001,"Jose Altuve",0,1,4
start,penaj004,"Jeremy Pena",0,2,6
start,alvay001,"Yordan Alvarez",0,3,7
start,brega001,"Alex Bregman",0,4,5
start,tuckk001,"Kyle Tucker",0,5,9
start,abrej003,"Jose Abreu",0,6,3
start,mccoc001,"Chas McCormick",0,7,8
start,julkc001,"Corey Julks",0,8,10
play,3,0,brega001,32,BF1BF>FFFF>FB>X,HR/F78XD.1-H
play,3,0,abrej003,00,X,S8/L8
play,3,0,mccoc001,21,SBBX,54(1)/FO/G6.B-1
play,3,1,brows003,22,BCS.BS,K
play,3,1,allen002,31,BBBCX,7/L78XD
play,3,1,kempt001,02,CCFH,HP
play,3,1,geloz001,00,>*B,SB2
play,3,1,geloz001,30,>*B.*BBB,W
play,3,1,diazj008,01,SX,S7/L78+.2-H;1-2
play,3,1,diaza003,01,FX,9/F9L
play,4,0,julkc001,10,BX,63/G6
play,4,0,hensd002,01,CX,4/F4MD
play,4,0,maldm001,12,SBF.FX,43/G34
play,4,1,bledj001,11,BFX,43/G34
play,4,1,langs001,01,CX,S7/L78
play,4,1,bridj001,00,X,7/L7D+
play,4,1,brows003,12,BCCC,K
play,5,0,dubom001,12,FBCX,53/G56S
play,5,0,penaj004,22,FFBF.BFX,S8/G4M
play,5,0,tuckk001,11,FB>B,SB2
play,5,0,tuckk001,21,FB>B.X,HR/F9D.2-H
play,5,0,brega001,32,BBBCFX,9/F9LS
play,5,0,abrej003,01,CX,8/F8
play,5,1,allen002,32,CBSBBX,S9/L9
play,5,1,kempt001,32,BBBCC.X,S7/L7.1-2
play,5,1,geloz001,31,B*BBCX,S9/L9+.2-3;1-2
play,5,1,diazj008,31,BSBBB,W.3-H;2-3;1-2
play,5,1,diaza003,12,BFF.X,8/SF/F8XD.3-H;2-3;1-2
play,5,1,bledj001,31,B*BBCX,3/G3.3-H;2-3
play,5,1,langs001,21,*BBFX,53/G56
play,6,0,mccoc001,22,FBS.BX,7/F7D
play,6,0,julkc001,01,CX,3/P3
play,6,0,hensd002,31,BBFBB,W
play,6,0,maldm001,00,,NP
sub,scott004,"Tayler Scott",1,0,1
play,6,0,maldm001,22,.BCB1FS,K
play,6,1,bridj001,00,,NP
sub,matop002,"Phil Maton",0,0,1
play,6,1,bridj001,00,.,NP
sub,thomc003,"Cody Thomas",1,7,11
play,6,1,thomc003,02,..CSFX,D9/L9LD
play,6,1,brows003,00,X,6/P6D
play,6,1,allen002,11,BCB,WP.2-3
play,6,1,allen002,21,BCB.X,9/L9S
play,6,1,kempt001,11,BCX,8/F8D
play,7,0,dubom001,21,.BBCX,63/G6
play,7,0,penaj004,02,CFS,K
play,7,0,tuckk001,11,SBX,HR/F9LD
play,7,0,brega001,21,BCBX,63/G6
play,7,1,geloz001,00,,NP
sub,montr004,"Rafael Montero",0,0,1
play,7,1,geloz001,32,.FFBBB.FC,K
play,7,1,diazj008,00,X,43/G4
play,7,1,diaza003,00,,NP
sub,petej002,"Jace Peterson",1,4,11
play,7,1,petej002,12,.BSFX,2/P2F/FL
play,8,0,abrej003,00,,NP
sub,petej002,"Jace Peterson",1,4,5
play,8,0,abrej003,00,.,NP
sub,pruia001,"Austin Pruitt",1,0,1
play,8,0,abrej003,32,..BT.BFBC,K
play,8,0,mccoc001,02,CFC,K
play,8,0,julkc001,31,CBBBX,8/F8XD
play,8,1,bledj001,00,,NP
sub,nerih001,"Hector Neris",0,0,1
play,8,1,bledj001,32,.BCBS.BFB,W
play,8,1,langs001,30,BBBB,W.1-2
play,8,1,thomc003,11,SBX,2/P23
play,8,1,brows003,01,FX,46(1)3/GDP/G4
play,9,0,hensd002,00,X,63/G6
play,9,0,maldm001,22,C.CFFBBS,K
play,9,0,dubom001,00,X,4/P3D
play,9,1,allen002,00,,NP
sub,presr001,"Ryan Pressly",0,0,1
