id,NYA202305140
version,2
info,visteam,TBA
info,hometeam,NYA
info,site,NYC21
info,date,2023/05/14
info,number,0
info,gametype,regular
info,starttime,1:35PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,muchm901
info,ump1b,porta901
info,ump2b,tomln901
info,ump3b,barbs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/10/03 06:10:23
info,howscored,unknown
info,pitches,pitches
info,oscorer,sprej701
info,temp,68
info,winddir,torf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,171
info,attendance,42116
info,wp,efliz001
info,lp,schmc002
info,save,adamj002
start,diazy001,"Yandy Diaz",0,1,3
start,franw002,"Wander Franco",0,2,6
start,loweb001,"Brandon Lowe",0,3,4
start,arozr001,"Randy Arozarena",0,4,7
start,lowej002,"Josh Lowe",0,5,9
start,wallt003,"Taylor Walls",0,6,5
start,ralel001,"Luke Raley",0,7,10
start,bethc001,"Christian Bethancourt",0,8,2
sub,abrea001,"Albert Abreu",1,0,1
play,5,0,wallt003,12,.*BCSX,HR/F89XD.3-H;2-H;1-H
com,"ej,blakm001,C,muchm901,Balls and strikes"
com,"$Yankees pitching coach Matt Blake ejected by HP umpire Mike Muchlinski"
com,"for arguing balls and strikes"
play,5,0,ralel001,02,.SSFS,K
play,5,1,cabro002,31,BBBCX,S5/BG1S-
play,5,1,bauej001,00,X,16(1)3/GDP/G4MS
play,5,1,judga001,32,BBCSBS,K
play,6,0,bethc001,10,BX,7/F7D+
play,6,0,sirij001,31,BBCBX,E5/TH/G56.B-1
play,6,0,parei001,00,1H,HP.1-2
play,6,0,franw002,01,2CX,46(1)3/GDP/G4
play,6,1,rizza001,32,CBBFFFB.B,W
play,6,1,lemad001,22,BFCBFFC,K
play,6,1,badeh001,11,CBX,54(1)/FO/G56.B-1
play,6,1,calhw001,21,B*BC>B,SB2
play,6,1,calhw001,32,B*BC>B.CX,13/G1
play,7,0,loweb001,31,BSVBB,W
play,7,0,arozr001,02,CSX,6/P6MD
play,7,0,lowej002,12,C1FBFS,K
play,7,0,wallt003,22,FBFBX,S49/G34.1-3
play,7,0,ralel001,00,>B,SB2
play,7,0,ralel001,32,>B.BSFBS,K
play,7,1,volpa001,00,,NP
sub,pochc001,"Colin Poche",0,0,1
play,7,1,volpa001,22,.CBBSC,K
play,7,1,trevj001,12,BFFX,4/P4
play,7,1,cabro002,10,BX,S8/L78
play,7,1,bauej001,00,,NP
sub,torrg001,"Gleyber Torres",1,1,11
