id,KCA202204070
version,2
info,visteam,CLE
info,hometeam,KCA
info,site,KAN06
info,date,2022/04/07
info,number,0
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cuzzp901
info,ump1b,blasc901
info,ump2b,rippm901
info,ump3b,bacce901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,utslm701
info,temp,47
info,winddir,ltor
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,169
info,attendance,28459
info,wp,barls001
info,lp,mcket001
info,save,
start,stram002,"Myles Straw",0,1,8
start,rosaa003,"Amed Rosario",0,2,7
start,ramij003,"Jose Ramirez",0,3,5
start,reyef001,"Franmil Reyes",0,4,10
start,bradb002,"Bobby Bradley",0,5,3
start,chany001,"Yu Chang",0,6,4
start,kwans001,"Steven Kwan",0,7,9
start,hedga001,"Austin Hedges",0,8,2
play,5,0,gimea001,12,BSCX,1/L1S
play,5,1,dozih001,20,BBX,E7/F78D.B-2
play,5,1,mondr003,22,BBCCFT,K
play,5,1,taylm002,11,C*BX,6/P6
play,5,1,lopen001,10,*BX,D8/F78XD.2-H(UR)
play,5,1,merrw001,00,,NP
sub,shawb001,"Bryan Shaw",0,0,1
play,5,1,merrw001,12,.BSFS,K
play,6,0,stram002,11,CBX,8/F8
play,6,0,rosaa003,22,CFBBX,S9/L9+
play,6,0,ramij003,02,CFX,7/L78D
play,6,0,reyef001,10,1BX,S8/L89D.1-3
play,6,0,bradb002,00,,NP
sub,brenj001,"Jake Brentz",1,0,1
play,6,0,bradb002,00,.,NP
sub,millo002,"Owen Miller",0,5,11
play,6,0,millo002,31,..BBCBB,W.1-2
play,6,0,chany001,12,CCBS,K
play,6,1,wittb002,00,,NP
sub,rosaa003,"Amed Rosario",0,2,6
play,6,1,wittb002,00,.,NP
sub,merco003,"Oscar Mercado",0,5,7
play,6,1,wittb002,00,..,NP
sub,chany001,"Yu Chang",0,6,3
play,6,1,wittb002,00,...,NP
sub,gimea001,"Andres Gimenez",0,9,4
play,6,1,wittb002,00,....,NP
sub,mcket001,"Triston McKenzie",0,0,1
play,6,1,wittb002,22,.....CCBBX,63/G6
play,6,1,benia002,32,CFBBBX,7/L7D
play,6,1,peres002,00,X,9/F9S
play,7,0,kwans001,32,BCBFBB,W
play,7,0,hedga001,32,*SBBC*BX,7/L78
play,7,0,gimea001,12,1BSCF1B,WP.1-2
play,7,0,gimea001,22,1BSCF1B.X,5/P56S
play,7,0,stram002,00,,NP
sub,stauj001,"Josh Staumont",1,0,1
play,7,0,stram002,32,.CBF*BFBFFB,W
play,7,0,rosaa003,20,BBX,6/L6D-
play,7,1,santc002,32,CFBBBFFB,W
play,7,1,dozih001,00,X,26(1)/FO/BG2.B-1
play,7,1,mondr003,21,*BBFX,7/F78S
play,7,1,taylm002,10,B>B,CS2(24)
play,8,0,ramij003,00,,NP
sub,barls001,"Scott Barlow",1,0,1
play,8,0,ramij003,32,.BCBBFFS,K
play,8,0,reyef001,00,X,6/P4
play,8,0,merco003,00,X,9/F9LSF/FL
play,8,1,taylm002,31,BFBBB,W
play,8,1,lopen001,10,BX,34/SH/BG23.1-2
play,8,1,merrw001,12,CFBS,K
play,8,1,wittb002,10,BX,D7/F7L.2-H
play,8,1,benia002,00,B,WP.2-3
play,8,1,benia002,20,B.BX,S8/G4.3-H
play,8,1,peres002,21,*B1FBX,3/P3F/FL
play,9,0,chany001,02,CT*S,K
play,9,0,kwans001,02,CFFFX,S9/G34
play,9,0,hedga001,11,F*BX,9/F9
play,9,0,gimea001,12,BSFX,S9/G3.1-3
play,9,0,stram002,22,CBBFC,K
data,er,biebs001,0
data,er,mcket001,2
data,er,shawb001,0
data,er,barls001,0
data,er,greiz001,1
data,er,brenj001,0
data,er,stauj001,0
id,KCA202204140
version,2
info,visteam,DET
info,hometeam,KCA
info,site,KAN06
info,date,2022/04/14
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,carlm901
info,ump1b,herna901
info,ump2b,wolfj901
info,ump3b,reybd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:10
info,howscored,unknown
info,pitches,pitches
info,oscorer,butcp701
info,temp,61
info,winddir,torf
info,windspeed,1
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,190
info,attendance,9595
info,wp,jimej003
info,lp,brenj001
info,save,sotog003
start,reyev001,"Victor Reyes",0,1,9
start,meada001,"Austin Meadows",0,2,7
start,schoj001,"Jonathan Schoop",0,3,4
start,candj002,"Jeimer Candelario",0,4,5
start,cabrm001,"Miguel Cabrera",0,5,10
start,badda001,"Akil Baddoo",0,6,8
start,torks001,"Spencer Torkelson",0,7,3
start,casth001,"Harold Castro",0,8,6
start,barnt001,"Tucker Barnhart",0,9,2
start,mizec001,"Casey Mize",0,0,1
start,merrw001,"Whit Merrifield",1,1,9
start,wittb002,"Bobby Witt Jr.",1,2,5
start,benia002,"Andrew Benintendi",1,3,7
start,peres002,"Salvador Perez",1,4,2
start,santc002,"Carlos Santana",1,5,3
start,dozih001,"Hunter Dozier",1,6,10
start,mondr003,"Adalberto Mondesi",1,7,6
start,taylm002,"Michael A. Taylor",1,8,8
start,lopen001,"Nicky Lopez",1,9,4
start,greiz001,"Zack Greinke",1,0,1
play,1,0,reyev001,01,CX,31/G3
play,1,0,meada001,32,CBCBBFX,63/G4
play,1,0,schoj001,22,FCBBX,9/F9LD
play,1,1,merrw001,12,CBCX,13/G13-
play,1,1,wittb002,10,BX,T9/L9LS+
play,1,1,benia002,00,X,FC/G25-.3XH(526);B-2
play,1,1,peres002,00,X,8/F8S
play,2,0,candj002,10,BX,S9/L9S
play,2,0,cabrm001,01,FX,S7/L78+.1-3
play,2,0,badda001,31,B*BS*BB,W.1-2
play,2,0,torks001,12,BTSH,HP.3-H;2-3;1-2
play,2,0,casth001,00,X,7/SF/F7.3-H
play,2,0,barnt001,32,CSFBFBBX,7/L7L
play,2,0,reyev001,12,.FFBX,4/L4D+
play,2,1,santc002,32,CBBFBB,W
play,2,1,dozih001,22,*BBCFX,S7/L7S.1-2
play,2,1,mondr003,00,X,16(1)/FO/BG13.2-3;B-1
com,"$Tigers challenged (force play), call on the field was overturned."
play,2,1,taylm002,11,CB>*B,SB2
play,2,1,taylm002,32,CB>*B.FBS,K
play,2,1,lopen001,22,CBSFBX,3/G3
play,3,0,meada001,12,CCBX,53/G6+
play,3,0,schoj001,11,BFX,53/G56
play,3,0,candj002,00,X,63/G4
play,3,1,merrw001,32,BFCBBFFX,9/F89D
play,3,1,wittb002,00,X,3/P3F/FL
play,3,1,benia002,10,BX,S8/G4M
play,3,1,peres002,32,BBFBS>X,9/F9LD
play,4,0,cabrm001,10,BX,S7/L7LS
play,4,0,badda001,32,CF*BBFBFX,3/P3S
play,4,0,torks001,31,C*BBBX,54(1)3/GDP/G56
play,4,1,santc002,01,CX,8/L8D+
play,4,1,dozih001,11,BFX,T8/F8XD+
play,4,1,mondr003,31,*SBBBB,W
play,4,1,taylm002,00,.>C,SB2
play,4,1,taylm002,02,.>C.LX,S5/G5S.3-H;2-2
play,4,1,lopen001,32,BCCBBX,7/F7LS
play,4,1,merrw001,00,X,S7/L78.2-H;1-3
play,4,1,wittb002,22,1BC*BF>B,SB2
play,4,1,wittb002,32,1BC*BF>B.C,K
play,5,0,casth001,22,CBCBX,7/F7LD
play,5,0,barnt001,31,FBBBX,S8/L8
play,5,0,reyev001,01,CX,6(1)3/GDP/G4M
play,5,1,benia002,02,FFFX,63/G4
play,5,1,peres002,21,BBFX,53/G5
play,5,1,santc002,22,CBB.CX,8/F89XD
play,6,0,meada001,22,CCBBX,S9/L9S+
play,6,0,schoj001,01,FB,WP.1-2
play,6,0,schoj001,31,FB.BBX,53/G56
play,6,0,candj002,00,.,NP
sub,snidc001,"Collin Snider",1,0,1
play,6,0,candj002,12,..BSFFS,K
play,6,0,cabrm001,01,SX,S9/L9S.2XH(92)
play,6,1,dozih001,00,,NP
sub,jimej003,"Joe Jimenez",0,0,1
play,6,1,dozih001,11,.BFX,S56/G6
play,6,1,mondr003,11,BSX,3/BP34S-
play,6,1,taylm002,02,FCX,8/F89D
play,6,1,lopen001,32,BCBFB>X,9/F89XD
play,7,0,badda001,00,,NP
sub,brenj001,"Jake Brentz",1,0,1
play,7,0,badda001,22,.CBFBS,K
play,7,0,torks001,31,BBBCB,W
play,7,0,casth001,12,BCSC,K
play,7,0,barnt001,00,,NP
sub,haase001,"Eric Haase",0,9,11
play,7,0,haase001,11,..S*BX,S7/L7S+.1-2
play,7,0,reyev001,12,BCSX,S8/L78S.2-H;1-3
play,7,0,meada001,10,BX,S7/F6D-.3-H;1-2
play,7,0,schoj001,00,.,NP
sub,coled003,"Dylan Coleman",1,0,1
play,7,0,schoj001,22,..*BCFBFFC,K
play,7,1,merrw001,00,,NP
sub,haase001,"Eric Haase",0,9,2
play,7,1,merrw001,00,.,NP
sub,langa001,"Alex Lange",0,0,1
play,7,1,merrw001,11,..BCX,8/F8XD
play,7,1,wittb002,22,BFBCS,K
play,7,1,benia002,22,CBBCS,K
play,8,0,candj002,00,,NP
sub,clart003,"Taylor Clarke",1,0,1
play,8,0,candj002,00,.X,3/G3
play,8,0,cabrm001,22,CBFBFX,63/G6
play,8,0,badda001,20,BBX,5/P6S
play,8,1,peres002,00,,NP
sub,fulmm001,"Michael Fulmer",0,0,1
play,8,1,peres002,32,.CBBTBS,K
play,8,1,santc002,10,BX,3/G3
play,8,1,dozih001,00,X,4/P34
play,9,0,torks001,32,BCBBCX,43/G4
play,9,0,casth001,22,CFFBFBS,K
play,9,0,haase001,00,X,7/F78S
play,9,1,mondr003,00,,NP
sub,sotog003,"Gregory Soto",0,0,1
play,9,1,mondr003,12,.BFCFX,8/F8XD
play,9,1,taylm002,32,FBBBFB,W
play,9,1,lopen001,00,,NP
sub,olive001,"Edward Olivares",1,9,11
play,9,1,olive001,12,..CC*BS,K
play,9,1,merrw001,22,SSBBX,7/F7D
data,er,mizec001,2
data,er,sotog003,0
data,er,fulmm001,0
data,er,jimej003,0
data,er,langa001,0
data,er,coled003,0
data,er,snidc001,0
data,er,greiz001,2
data,er,brenj001,2
data,er,clart003,0
id,KCA202204210
version,2
info,visteam,MIN
info,hometeam,KCA
info,site,KAN06
info,date,2022/04/21
info,number,0
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,eddid901
info,ump2b,knigb901
info,ump3b,ortir901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:19
info,howscored,unknown
info,pitches,pitches
info,oscorer,utslm701
info,temp,72
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,15540
info,wp,ryanj002
info,lp,greiz001
info,save,pagae001
start,buxtb001,"Byron Buxton",0,1,10
start,corrc001,"Carlos Correa",0,2,6
start,arral001,"Luis Arraez",0,3,4
start,urshg001,"Gio Urshela",0,4,5
start,keplm001,"Max Kepler",0,5,9
start,sanom001,"Miguel Sano",0,6,3
start,garlk001,"Kyle Garlick",0,7,7
start,jeffr002,"Ryan Jeffers",0,8,2
start,gordn001,"Nick Gordon",0,9,8
start,ryanj002,"Joe Ryan",0,0,1
start,lopen001,"Nicky Lopez",1,1,4
start,merrw001,"Whit Merrifield",1,2,9
start,benia002,"Andrew Benintendi",1,3,7
start,peres002,"Salvador Perez",1,4,2
start,santc002,"Carlos Santana",1,5,3
start,dozih001,"Hunter Dozier",1,6,10
start,wittb002,"Bobby Witt Jr.",1,7,5
start,mondr003,"Adalberto Mondesi",1,8,6
start,taylm002,"Michael A. Taylor",1,9,8
start,greiz001,"Zack Greinke",1,0,1
play,1,0,buxtb001,32,FBCFBBX,7/F7
play,1,0,corrc001,21,CBBX,S5/G5S-
play,1,0,arral001,32,BBCF*B>X,6/L6MD/DP.1X1(6)
play,1,1,lopen001,12,BCSFFC,K
play,1,1,merrw001,22,CTBFBX,7/F7D
play,1,1,benia002,11,BCX,43/G34D
play,2,0,urshg001,32,CBBCFFBB,W
play,2,0,keplm001,21,BMBX,S9/G4.1-3
play,2,0,sanom001,21,*S*B1*BX,8/SF/F8D+.3-H
play,2,0,garlk001,22,CF*B*BFX,4/F3DF/FL
play,2,0,jeffr002,22,F1B+1BCX,8/F8XD+
play,2,1,peres002,21,CBBX,9/L9
play,2,1,santc002,21,LBBX,9/F9D
play,2,1,dozih001,32,CCBBBFS,K
play,3,0,gordn001,01,CX,S9/L89
play,3,0,buxtb001,00,X,9/F9LS
play,3,0,corrc001,21,C1*BB>X,4(1)3/GDP/G4+
play,3,1,wittb002,01,FX,8/F8D
play,3,1,mondr003,22,BBSSX,8/F8D+
play,3,1,taylm002,02,FFX,S9/G4
play,3,1,lopen001,31,11CBB1BX,5/P6S
play,4,0,arral001,22,CBBCX,63/G6
play,4,0,urshg001,21,FBBX,S9/L9L
play,4,0,keplm001,21,BCBX,36(1)/FO/G3S.B-1
play,4,0,sanom001,32,CBBC*B>C,K
play,4,1,merrw001,12,SSBS,K
play,4,1,benia002,22,CBBFX,T9/F9LD+
play,4,1,peres002,00,X,8/F8/DP.3XH(82)
play,5,0,garlk001,01,SX,63/G6
play,5,0,jeffr002,22,CBFBFX,9/F9S
play,5,0,gordn001,00,X,S8/L8
play,5,0,buxtb001,10,B1X,S8/L89.1-3
play,5,0,corrc001,21,CBBX,8/L8D+
play,5,1,santc002,02,CCX,8/L8XD
play,5,1,dozih001,02,SCS,K
play,5,1,wittb002,32,CCBFBBB,W
play,5,1,mondr003,00,1,POCS2(13)
play,6,0,arral001,00,,NP
sub,speig001,"Gabe Speier",1,0,1
play,6,0,arral001,31,.BBBCX,S6/G6
play,6,0,urshg001,00,X,46(1)3/GDP/G4
play,6,0,keplm001,12,FBFX,8/F8XD
play,6,1,mondr003,22,BSBCC,K
play,6,1,taylm002,22,BBCCFFFX,7/F78D
play,6,1,lopen001,12,BCSX,8/L8D
play,7,0,sanom001,00,,NP
sub,clart003,"Taylor Clarke",1,0,1
play,7,0,sanom001,32,.CBBFFBFX,7/L7LD
play,7,0,garlk001,00,,NP
sub,larnt001,"Trevor Larnach",0,7,11
play,7,0,larnt001,22,.SBSBX,S7/L78
play,7,0,jeffr002,22,1BF1*BF1FF1*S,K
play,7,0,gordn001,01,FX,7/F78
play,7,1,merrw001,00,,NP
sub,larnt001,"Trevor Larnach",0,7,7
play,7,1,merrw001,00,.,NP
sub,duraj002,"Jhoan Duran",0,0,1
play,7,1,merrw001,22,..BCBFFX,8/F8XD
play,7,1,benia002,22,BSBST,K
play,7,1,peres002,12,BSC*S,K
play,8,0,buxtb001,11,BFX,8/F8
play,8,0,corrc001,02,FFS,K
play,8,0,arral001,02,FSFX,63/G6
play,8,1,santc002,00,,NP
sub,smitj002,"Joe Smith",0,0,1
play,8,1,santc002,32,.CCBFBBFS,K
play,8,1,dozih001,11,BFX,53/G56
play,8,1,wittb002,12,CBFX,D9/L89D
play,8,1,mondr003,00,X,9/F9D
play,9,0,urshg001,00,,NP
sub,coled003,"Dylan Coleman",1,0,1
play,9,0,urshg001,32,.CBBFBB,W
play,9,0,keplm001,12,FCBX,7/L78D
play,9,0,sanom001,22,BSBFFS,K
play,9,0,larnt001,32,SBCB*B>C,K
play,9,1,taylm002,00,,NP
sub,pagae001,"Emilio Pagan",0,0,1
play,9,1,taylm002,31,.BFBBB,W
play,9,1,lopen001,00,X,2/BP2F/FL
play,9,1,merrw001,10,BX,63/G6.1-2
play,9,1,benia002,00,X,63/G6M+
data,er,pagae001,0
data,er,duraj002,0
data,er,smitj002,0
data,er,ryanj002,0
data,er,coled003,0
data,er,greiz001,1
data,er,clart003,0
data,er,speig001,0
id,KCA202205180
version,2
info,visteam,CHA
info,hometeam,KCA
info,site,KAN06
info,date,2022/05/18
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,valej901
info,ump1b,marqa901
info,ump2b,dejer901
info,ump3b,barrl901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:49
info,howscored,unknown
info,pitches,pitches
info,oscorer,butcp701
info,temp,82
info,winddir,ltor
info,windspeed,5
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,191
info,attendance,13504
info,wp,snidc001
info,lp,loper003
info,save,
start,andet001,"Tim Anderson",0,1,6
start,moncy001,"Yoan Moncada",0,2,5
start,robel002,"Luis Robert",0,3,8
start,abrej003,"Jose Abreu",0,4,3
start,grany001,"Yasmani Grandal",0,5,2
start,polla001,"AJ Pollock",0,6,7
start,garcl004,"Leury Garcia",0,7,4
start,engea001,"Adam Engel",0,8,9
start,vauga001,"Andrew Vaughn",0,9,10
start,gioll001,"Lucas Giolito",0,0,1
start,merrw001,"Whit Merrifield",1,1,9
start,benia002,"Andrew Benintendi",1,2,7
start,wittb002,"Bobby Witt Jr.",1,3,6
start,dozih001,"Hunter Dozier",1,4,3
start,santc002,"Carlos Santana",1,5,10
start,melem001,"MJ Melendez",1,6,2
start,rivee001,"Emmanuel Rivera",1,7,5
start,isbek001,"Kyle Isbel",1,8,8
start,lopen001,"Nicky Lopez",1,9,4
start,greiz001,"Zack Greinke",1,0,1
play,1,0,andet001,00,X,9/F9D
play,1,0,moncy001,22,CCBBX,53/G6
play,1,0,robel002,11,CBX,7/F7D
play,1,1,merrw001,21,BBCX,63/G6D+
play,1,1,benia002,00,X,63/G6MD
play,1,1,wittb002,01,CX,S8/G6M+
play,1,1,dozih001,31,BBBC>B,W.1-2
play,1,1,santc002,10,BB,WP.2-3
play,1,1,santc002,31,BB.BCB,W.1-2
play,1,1,melem001,32,BFBFB>S,K
play,2,0,abrej003,22,CBCBX,D7/G5
play,2,0,grany001,32,BCSBBFX,43/G34D.2-3
play,2,0,polla001,11,CBX,63/G56
play,2,0,garcl004,00,X,S7/L78.3-H
play,2,0,engea001,32,C*B*BS*B>X,4/F34D
play,2,1,rivee001,22,CBFFBX,S7/L7
play,2,1,isbek001,22,B1*BFCFX,3(B)6(1)/GDP/G34
play,2,1,lopen001,32,BCBCBFX,S9/G3
play,2,1,merrw001,22,BTBF1>B,SB2
play,2,1,merrw001,32,BTBF1>B.F>X,S8/F89S.2-H
play,2,1,benia002,11,FB>B,SB2
play,2,1,benia002,31,FB>B.BX,63/G6
play,3,0,vauga001,02,CFS,K
play,3,0,andet001,32,CCFBBFBX,S8/G6M
play,3,0,moncy001,22,BB1F1S>X,43/G34.1-2
play,3,0,robel002,22,BFS*BS,K
play,3,1,wittb002,11,BSX,HR/F8XD
play,3,1,dozih001,32,CFBBBS,K
play,3,1,santc002,02,SFC,K
play,3,1,melem001,02,CCS,K
play,4,0,abrej003,21,BCBX,13/G4MS+
play,4,0,grany001,22,BCBCX,43/G34+
play,4,0,polla001,10,BX,63/G6
play,4,1,rivee001,12,CBCFS,K
play,4,1,isbek001,22,BCFBX,S9/G4+
play,4,1,lopen001,01,F1>B,CS2(26)
play,4,1,lopen001,22,F1>B.CBT,K
play,5,0,garcl004,00,X,31/G3D
play,5,0,engea001,32,CBCFBBB,W
play,5,0,vauga001,10,1B>X,S9/G34.1-3
play,5,0,andet001,01,FX,S9/L9S.3-H;1-2
play,5,0,moncy001,22,FBC*BS,K
play,5,0,robel002,32,SFB*BF*B>S,K
play,5,1,merrw001,02,SSC,K
play,5,1,benia002,10,BX,S8/L89
play,5,1,wittb002,10,BX,9/F9LD
play,5,1,dozih001,00,X,9/F9LS
play,6,0,abrej003,11,BCX,63/G6
play,6,0,grany001,01,CX,S8/L8
play,6,0,polla001,21,FBBX,8/L8XD+
play,6,0,garcl004,21,BBFX,S7/G5.1-2
play,6,0,engea001,00,,NP
sub,snidc001,"Collin Snider",1,0,1
play,6,0,engea001,01,.FX,S4/G6M.2-3;1-2
play,6,0,vauga001,10,BX,63/G6
play,6,1,santc002,00,,NP
sub,loper003,"Reynaldo Lopez",0,0,1
play,6,1,santc002,01,.CX,5/P5F/FL
play,6,1,melem001,00,X,S7/L7LS
play,6,1,rivee001,01,F>X,T9/L9L.1-H
play,6,1,isbek001,10,BX,8/SF/F8D.3-H
play,6,1,lopen001,12,BCSFX,13/G4MS
play,7,0,andet001,00,,NP
sub,stauj001,"Josh Staumont",1,0,1
play,7,0,andet001,00,.X,S4/G34
play,7,0,moncy001,22,CB1FB+1FFX,8/F8XD+.1-2
play,7,0,robel002,02,FSFS,K
play,7,0,abrej003,22,CSB*BFFFX,53/G56
play,7,1,merrw001,20,BBX,63/G6+
play,7,1,benia002,32,CBFFFBBFX,1/L13
play,7,1,wittb002,22,FSBBC,K
play,8,0,grany001,00,,NP
sub,clart003,"Taylor Clarke",1,0,1
play,8,0,grany001,00,.X,3/P3SF/FL
play,8,0,polla001,12,CTBX,D7/L7L
play,8,0,garcl004,22,C*BB*SX,63/G6.2-3
play,8,0,engea001,32,*BBFS*BX,8/F8
play,8,1,dozih001,00,,NP
sub,burrr002,"Ryan Burr",0,0,1
play,8,1,dozih001,20,.BBX,D8/L78XD+
play,8,1,santc002,32,FBBSBFFX,63/G4.2-3
play,8,1,melem001,00,X,HR/F8XD.3-H
play,8,1,rivee001,02,CCT,K
play,8,1,isbek001,01,CX,S9/L89D+
play,8,1,lopen001,00,X,E1/G1S-.1-2;B-1
play,8,1,merrw001,01,FX,64(1)/FO/G6D.B-1
play,9,0,vauga001,00,,NP
sub,barls001,"Scott Barlow",1,0,1
play,9,0,vauga001,32,.BBFBFFX,53/G56+
play,9,0,andet001,02,CSX,8/F8
play,9,0,moncy001,12,CSBX,8/F78
data,er,burrr002,2
data,er,loper003,2
data,er,gioll001,2
data,er,snidc001,0
data,er,barls001,0
data,er,greiz001,2
data,er,stauj001,0
data,er,clart003,0
id,KCA202206240
version,2
info,visteam,OAK
info,hometeam,KCA
info,site,KAN06
info,date,2022/06/24
info,number,0
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,mahrn901
info,ump1b,hamaa901
info,ump2b,whitc901
info,ump3b,sches901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:25:32
info,howscored,unknown
info,pitches,pitches
info,oscorer,olivr701
info,temp,88
info,winddir,rtol
info,windspeed,11
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,142
info,attendance,25077
info,wp,greiz001
info,lp,irvic001
info,save,barls001
start,kempt001,"Tony Kemp",0,1,7
start,bridj001,"Jonah Bride",0,2,5
start,laurr001,"Ramon Laureano",0,3,8
start,brows003,"Seth Brown",0,4,9
start,murps001,"Sean Murphy",0,5,2
start,vogts001,"Stephen Vogt",0,6,10
start,neuss001,"Sheldon Neuse",0,7,3
start,andre001,"Elvis Andrus",0,8,6
start,allen002,"Nick Allen",0,9,4
start,irvic001,"Cole Irvin",0,0,1
start,merrw001,"Whit Merrifield",1,1,4
start,benia002,"Andrew Benintendi",1,2,7
start,wittb002,"Bobby Witt Jr.",1,3,6
