id,CHA202304060
version,2
info,visteam,SFN
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/06
info,number,0
info,gametype,regular
info,starttime,1:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,libkj901
info,ump1b,tomln901
info,ump2b,hoyej901
info,ump3b,reybd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/27 09:05:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,lissr701
info,temp,46
info,winddir,tolf
info,windspeed,10
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,170
info,attendance,18261
info,wp,junij001
info,lp,lynnl001
info,save,
start,wadel001,"LaMonte Wade Jr.",0,1,7
start,florw001,"Wilmer Flores",0,2,3
start,pedej001,"Joc Pederson",0,3,10
start,villd001,"David Villar",0,4,4
start,confm001,"Michael Conforto",0,5,9
start,davij006,"J.D. Davis",0,6,5
start,yastm001,"Mike Yastrzemski",0,7,8
start,estrt001,"Thairo Estrada",0,8,6
play,8,1,andet001,32,BTBFB.X,9/L9D+
play,9,0,florw001,00,,NP
sub,sheeg001,"Gavin Sheets",1,4,9
play,9,0,florw001,00,.,NP
sub,gonzr003,"Romy Gonzalez",1,9,5
play,9,0,florw001,00,..,NP
sub,albeh001,"Hanser Alberto",1,5,1
play,9,0,florw001,01,...CX,1/P1S
play,9,0,pedej001,00,,NP
sub,beatm001,"Matt Beaty",0,3,11
play,9,0,beatm001,00,.X,S8/G6M
play,9,0,villd001,22,FBF*BX,S8/L8S.1-2
play,9,0,confm001,30,BBBB,W.2-3;1-2
play,9,0,davij006,00,X,HR/F7D.3-H;2-H;1-H
play,9,0,yastm001,10,BX,7/F7
play,9,0,estrt001,00,X,S8/L8D
play,9,0,sabob001,01,.FX,7/F7LD
play,9,1,colao001,00,,NP
sub,beatm001,"Matt Beaty",0,3,1
play,9,1,colao001,32,.CBBBFS,K
play,9,1,vauga001,00,X,63/G6
play,9,1,sheeg001,32,CBBBFFB,W
play,9,1,albeh001,10,BX,S7/L7.1-2
play,9,1,benia002,11,BCX,D9/G3.2-H;1-3
play,9,1,andre001,01,CX,D7/G5+.3-H;2-H
play,9,1,zavas001,00,X,8/F89D
data,er,brebj001,0
data,er,wooda002,1
data,er,beatm001,3
data,er,junij001,0
data,er,lynnl001,8
data,er,santg001,2
data,er,albeh001,4
data,er,ruizj001,2
id,CHA202304181
version,2
info,visteam,PHI
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/18
info,number,1
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,buckc901
info,ump1b,jimee901
info,ump2b,may-b901
info,ump3b,nelsj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:05
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,53
info,winddir,tocf
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,0
info,wp,wheez001
info,lp,lynnl001
info,save,alvaj004
start,stotb001,"Bryson Stott",0,1,4
start,turnt001,"Trea Turner",0,2,6
start,schwk001,"Kyle Schwarber",0,3,7
start,castn001,"Nick Castellanos",0,4,10
start,marsb002,"Brandon Marsh",0,5,8
start,realj001,"J.T. Realmuto",0,6,2
start,bohma001,"Alec Bohm",0,7,3
start,cavej001,"Jake Cave",0,8,9
start,harrj002,"Josh Harrison",0,9,5
start,wheez001,"Zack Wheeler",0,0,1
start,benia002,"Andrew Benintendi",1,1,7
start,robel002,"Luis Robert Jr.",1,2,8
start,vauga001,"Andrew Vaughn",1,3,3
start,jimee001,"Eloy Jimenez",1,4,10
start,grany001,"Yasmani Grandal",1,5,2
start,burgj001,"Jake Burger",1,6,5
start,colao001,"Oscar Colas",1,7,9
start,sosal001,"Lenyn Sosa",1,8,4
start,andre001,"Elvis Andrus",1,9,6
start,lynnl001,"Lance Lynn",1,0,1
play,1,0,stotb001,22,CBBFX,S8/G4M
play,1,0,turnt001,12,BSF1X,9/F89D
play,1,0,schwk001,32,CBF*BB>FB,W.1-2
play,1,0,castn001,00,X,S9/L9D+.2-H;1-2
play,1,0,marsb002,00,X,S2/BG2-.2-3;1-2
play,1,0,realj001,12,CBCFFS,K
play,1,0,bohma001,22,FSBBFX,S9/L9D+.3-H;2-H;1-3
play,1,0,cavej001,12,CBS>B,SB2
play,1,0,cavej001,22,CBS>B.X,3/G3
play,1,1,benia002,12,CBSFFS,K
play,1,1,robel002,00,X,13/G4MS+
play,1,1,vauga001,01,CH,HP
play,1,1,jimee001,12,CFBX,9/F9S
play,2,0,harrj002,00,X,63/G6
play,2,0,stotb001,12,CCBFC,K
play,2,0,turnt001,31,CBBBB,W
play,2,0,schwk001,12,CB1FX,8/F8S
play,2,1,grany001,22,CBBSX,8/L8XD
play,2,1,burgj001,02,FFS,K
play,2,1,colao001,12,BFFS,K
play,3,0,castn001,00,X,S8/L8
play,3,0,marsb002,02,CSS,K
play,3,0,realj001,00,X,S7/L7.1-2
play,3,0,bohma001,32,BBCCBB,W.2-3;1-2
play,3,0,cavej001,22,BFBCS,K
play,3,0,harrj002,00,X,S8/F89.3-H;2-H;1-3
play,3,0,stotb001,00,X,8/F8D
play,3,1,sosal001,11,CBX,S9/L9L
play,3,1,andre001,10,BX,S9/L89.1-2
play,3,1,benia002,32,FBBFFBX,S9/G34+.2-3;1-2
play,3,1,robel002,21,BBCX,D9/L3D.3-H;2-H;1-3
play,3,1,vauga001,00,X,S8/L89D+.3-H;2-H
play,3,1,jimee001,32,B*BFF*BX,S9/F89S.1-2
play,3,1,grany001,22,CFBBX,7/F7L
play,3,1,burgj001,12,FBCFX,24(1)/FO/G2-.2-3;B-1
play,3,1,colao001,11,BSX,13/G1
play,4,0,turnt001,10,BX,63/G6M
play,4,0,schwk001,00,X,3/G3
play,4,0,castn001,32,FBSBBC,K
play,4,1,sosal001,22,BBCCX,9/L9
play,4,1,andre001,32,CBCBFBX,53/G5
play,4,1,benia002,01,CX,D7/F7LS
play,4,1,robel002,12,CFBX,8/F78XD+
play,5,0,marsb002,12,CSFBC,K
play,5,0,realj001,00,X,4/P4D
play,5,0,bohma001,01,CX,S7/G56
play,5,0,cavej001,02,FFB,WP.1-2
play,5,0,cavej001,32,FFB.B*BFX,3/G3
play,5,1,vauga001,12,BCCX,53/G5
play,5,1,jimee001,02,TSS,K
play,5,1,grany001,01,CX,D8/L78XD+
play,5,1,burgj001,22,SBCBFS,K
play,6,0,harrj002,22,CBBFFFFX,S7/L78
play,6,0,stotb001,01,CX,S56/G56S+.1-2
play,6,0,turnt001,22,CBBFS,K
play,6,0,schwk001,00,,NP
sub,lambj003,"Jimmy Lambert",1,0,1
play,6,0,schwk001,12,.BSTS,K
play,6,0,castn001,12,BCFX,S6/G6.2-3;1-2
play,6,0,marsb002,22,BBCCS,K
play,6,1,colao001,00,,NP
sub,sotog003,"Gregory Soto",0,0,1
play,6,1,colao001,12,.CTBS,K
play,6,1,sosal001,22,CSBBX,8/F8D
play,6,1,andre001,12,CBCFS,K
play,7,0,realj001,32,BBBCFS,K
play,7,0,bohma001,02,TCX,63/G6D
play,7,0,cavej001,32,BSBCBFFX,S9/G34
play,7,0,harrj002,00,X,HR/F7D+.1-H
play,7,0,stotb001,22,BBCSX,43/G4
play,7,1,benia002,00,,NP
sub,kimbc001,"Craig Kimbrel",0,0,1
play,7,1,benia002,22,.CBFFBS,K
play,7,1,robel002,22,FFBBT,K
play,7,1,vauga001,01,SX,53/G56
play,8,0,turnt001,00,,NP
sub,santg001,"Gregory Santos",1,0,1
play,8,0,turnt001,22,.BBCSS,K
play,8,0,schwk001,20,BBX,8/F89
play,8,0,castn001,32,BBCBCB,W
play,8,0,marsb002,01,C>B,CS2(26)
com,"$Phillies challenged (tag play), call on the field was upheld."
play,8,1,jimee001,00,,NP
sub,domis001,"Seranthony Dominguez",0,0,1
play,8,1,jimee001,02,.FCS,K
play,8,1,grany001,01,CX,8/F78D
play,8,1,burgj001,02,CFS,K
play,9,0,marsb002,00,,NP
sub,diekj001,"Jake Diekman",1,0,1
play,9,0,marsb002,12,.BCCC,K
play,9,0,realj001,20,BBX,S9/L89D
play,9,0,bohma001,32,CBSBBC,K
play,9,0,cavej001,11,BCB,WP.1-2
play,9,0,cavej001,32,BCB.CBFB,W
play,9,0,harrj002,00,B,WP.2-3
play,9,0,harrj002,10,B.>B,SB2
play,9,0,harrj002,22,B.>B.CFX,4/P4
play,9,1,colao001,00,,NP
sub,pachc001,"Cristian Pache",0,3,7
play,9,1,colao001,00,.,NP
sub,alvaj004,"Jose Alvarado",0,0,1
play,9,1,colao001,00,..,NP
sub,gonzr003,"Romy Gonzalez",1,7,11
play,9,1,gonzr003,12,...BSCT,K
play,9,1,sosal001,10,BX,43/G4MS
play,9,1,andre001,12,TBSS,K
data,er,alvaj004,0
data,er,wheez001,4
data,er,sotog003,0
data,er,domis001,0
data,er,kimbc001,0
data,er,diekj001,0
data,er,lynnl001,5
data,er,santg001,0
data,er,lambj003,2
id,CHA202304290
version,2
info,visteam,TBA
info,hometeam,CHA
info,site,CHI12
info,date,2023/04/29
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,wendh902
info,ump1b,tumpj901
info,ump2b,macka901
info,ump3b,hudsm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/07 09:04:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,56
info,winddir,tocf
info,windspeed,13
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,173
info,attendance,28462
info,wp,chiry001
info,lp,lynnl001
info,save,
start,loweb001,"Brandon Lowe",0,1,4
start,franw002,"Wander Franco",0,2,6
start,arozr001,"Randy Arozarena",0,3,7
start,lowej002,"Josh Lowe",0,4,10
start,parei001,"Isaac Paredes",0,5,3
start,wallt003,"Taylor Walls",0,6,5
start,ralel001,"Luke Raley",0,7,9
start,mejif001,"Francisco Mejia",0,8,2
start,sirij001,"Jose Siri",0,9,8
start,faucc001,"Calvin Faucher",0,0,1
start,robel002,"Luis Robert Jr.",1,1,8
start,vauga001,"Andrew Vaughn",1,2,3
start,sheeg001,"Gavin Sheets",1,3,9
start,jimee001,"Eloy Jimenez",1,4,10
start,burgj001,"Jake Burger",1,5,5
start,grany001,"Yasmani Grandal",1,6,2
start,hasea001,"Adam Haseley",1,7,7
start,andre001,"Elvis Andrus",1,8,6
start,gonzr003,"Romy Gonzalez",1,9,4
start,lynnl001,"Lance Lynn",1,0,1
play,1,0,loweb001,32,CBS.BBFS,K
play,1,0,franw002,32,BCSBBFB,W
play,1,0,arozr001,12,SBCS,K
play,1,0,lowej002,22,SFFF*BBFS,K
play,1,1,robel002,00,X,13/G6S-
play,1,1,vauga001,22,BCFBX,7/F7
play,1,1,sheeg001,22,CBSB.X,5/P5S-
play,2,0,parei001,20,BBX,43/G4
play,2,0,wallt003,02,FSC,K
play,2,0,ralel001,32,BFSBFBC,K
play,2,1,jimee001,32,BFBSBF*B,W
play,2,1,burgj001,11,BFB,WP.1-2
play,2,1,burgj001,32,BFB.*BC.FB,W
play,2,1,grany001,32,BBCBFX,E1/TH/G2-.2-3;1-2;B-1
play,2,1,hasea001,12,FBCS,K
play,2,1,andre001,12,CBCX,S8/G6M.3-H;2-H;1-2
play,2,1,gonzr003,00,,NP
sub,chiry001,"Yonny Chirinos",0,0,1
play,2,1,gonzr003,32,.*BBFBFC,K
play,2,1,robel002,00,,NP
sub,colao001,"Oscar Colas",1,1,11
play,2,1,colao001,32,.*BCBCFB>X,9/L89
play,3,0,mejif001,00,,NP
sub,colao001,"Oscar Colas",1,1,9
play,3,0,mejif001,00,.,NP
sub,sheeg001,"Gavin Sheets",1,3,7
play,3,0,mejif001,00,..,NP
sub,hasea001,"Adam Haseley",1,7,8
play,3,0,mejif001,12,...CSFBFX,8/L8XD
play,3,0,sirij001,11,SBX,3/P3
play,3,0,loweb001,00,X,43/G4
play,3,1,vauga001,11,BCX,8/F8XD+
play,3,1,sheeg001,11,BCX,S9/L9L
play,3,1,jimee001,11,CBX,64(1)3/GDP/G6
play,4,0,franw002,12,FFBC,K
play,4,0,arozr001,00,X,63/G6D
play,4,0,lowej002,21,CBBX,8/F8XD+
play,4,1,burgj001,22,BFSFBX,3/P4
play,4,1,grany001,10,BX,53/G6
play,4,1,hasea001,10,BX,7/F7L
play,5,0,parei001,12,FFBS,K
play,5,0,wallt003,02,CFS,K
play,5,0,ralel001,31,BBBCX,43/G34
play,5,1,andre001,11,FBX,63/G6
play,5,1,gonzr003,21,BFBX,53/G6
play,5,1,colao001,22,FBFBX,53/G56
play,6,0,mejif001,22,FSBBFC,K
play,6,0,sirij001,00,X,1/L13
play,6,0,loweb001,21,TBBX,7/F7D
play,6,1,vauga001,01,FX,D7/L7L+
play,6,1,sheeg001,12,FBFX,3/G3.2-3
play,6,1,jimee001,22,BBFFFX,D7/L78XD+.3-H
play,6,1,burgj001,22,SC*BBS,K
play,6,1,grany001,22,BBCFC,K
play,7,0,franw002,02,CCX,HR/F7D
play,7,0,arozr001,22,SBSBFS,K
play,7,0,lowej002,02,CSX,S8/L8
play,7,0,parei001,22,CFB.BX,D7/L7LD+.1-H;B-3(E1/TH)
play,7,0,wallt003,31,BFBBB,W
play,7,0,ralel001,00,,NP
sub,bumma001,"Aaron Bummer",1,0,1
play,7,0,ralel001,00,.,NP
sub,margm001,"Manuel Margot",0,7,11
play,7,0,margm001,11,..CBX,S4/G34S-.3-H;1-2
play,7,0,mejif001,10,B>B,SB3;SB2
play,7,0,mejif001,30,B>B.BX,FC/G6.3XH(62);2-3;B-1
play,7,0,sirij001,21,BCBX,D7/G5.3-H;1-3
play,7,0,loweb001,00,,NP
sub,diazy001,"Yandy Diaz",0,1,11
play,7,0,diazy001,32,.CBBBCB,W
play,7,0,franw002,00,,NP
sub,lambj003,"Jimmy Lambert",1,0,1
play,7,0,franw002,22,.BBCFFFFFFFX,S9/G4.3-H;2-H;1-3
play,7,0,arozr001,11,FB>B,SB2
play,7,0,arozr001,31,FB>B.BX,HR/F78XD.3-H;2-H
play,7,0,lowej002,10,BX,HR/F89XD
play,7,0,parei001,01,FX,S7/L7S
play,7,0,wallt003,12,CSBC,K
play,7,1,hasea001,00,,NP
sub,diazy001,"Yandy Diaz",0,1,3
play,7,1,hasea001,00,.,NP
sub,parei001,"Isaac Paredes",0,5,5
play,7,1,hasea001,00,..,NP
sub,wallt003,"Taylor Walls",0,6,4
play,7,1,hasea001,00,...,NP
sub,margm001,"Manuel Margot",0,7,9
play,7,1,hasea001,00,....,NP
sub,cleag001,"Garrett Cleavinger",0,0,1
play,7,1,hasea001,32,.....BFBBFB,W
play,7,1,andre001,12,CBFS,K
play,7,1,gonzr003,32,BCSBBS,K
play,7,1,colao001,21,BCBX,43/G4
play,8,0,margm001,00,,NP
sub,middk001,"Keynan Middleton",1,0,1
play,8,0,margm001,32,.BBSBCS,K
play,8,0,mejif001,00,X,HR/F9LD
play,8,0,sirij001,12,BCFFS,K
play,8,0,diazy001,31,BCBBB,W
play,8,0,franw002,01,CX,8/F78XD
play,8,1,vauga001,00,,NP
sub,beekj001,"Jalen Beeks",0,0,1
play,8,1,vauga001,12,.BCFFX,53/G56
play,8,1,sheeg001,32,SCBBFBX,3/G34
play,8,1,jimee001,01,CX,E5/G56.B-1
play,8,1,burgj001,11,BFX,9/F9D
play,9,0,arozr001,00,,NP
sub,diekj001,"Jake Diekman",1,0,1
play,9,0,arozr001,22,.BCBFX,HR/F7D
play,9,0,lowej002,31,BBBCB,W
play,9,0,parei001,02,CCFFFX,9/F9D
play,9,0,wallt003,20,BBX,8/F8S
play,9,0,margm001,22,CBBFX,9/F9LS
play,9,1,grany001,00,,NP
sub,thomr007,"Ryan Thompson",0,0,1
play,9,1,grany001,12,.BCCX,43/G4
play,9,1,hasea001,01,FX,1/L4MS
play,9,1,andre001,22,CBFBFX,9/F9S
data,er,beekj001,0
data,er,faucc001,2
data,er,cleag001,0
data,er,chiry001,1
data,er,thomr007,0
data,er,diekj001,1
data,er,lynnl001,4
data,er,bumma001,3
data,er,middk001,1
data,er,lambj003,3
id,CHA202305160
version,2
info,visteam,CLE
info,hometeam,CHA
info,site,CHI12
info,date,2023/05/16
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,becka901
info,ump1b,iassd901
info,ump2b,morag901
info,ump3b,barrs901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/05/20 17:39:36
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,61
info,winddir,ltor
info,windspeed,15
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,144
info,attendance,18459
info,wp,lynnl001
info,lp,biebs001
info,save,
start,kwans001,"Steven Kwan",0,1,7
start,rosaa003,"Amed Rosario",0,2,6
start,naylj001,"Josh Naylor",0,3,3
start,bellj005,"Josh Bell",0,4,10
start,gimea001,"Andres Gimenez",0,5,4
start,ariag002,"Gabriel Arias",0,6,5
start,brenw002,"Will Brennan",0,7,9
start,zunim001,"Mike Zunino",0,8,2
start,stram002,"Myles Straw",0,9,8
start,biebs001,"Shane Bieber",0,0,1
start,andet001,"Tim Anderson",1,1,6
start,benia002,"Andrew Benintendi",1,2,7
start,robel002,"Luis Robert Jr.",1,3,8
start,moncy001,"Yoan Moncada",1,4,5
start,vauga001,"Andrew Vaughn",1,5,3
start,sheeg001,"Gavin Sheets",1,6,9
start,grany001,"Yasmani Grandal",1,7,2
start,burgj001,"Jake Burger",1,8,10
start,albeh001,"Hanser Alberto",1,9,4
start,lynnl001,"Lance Lynn",1,0,1
play,1,0,kwans001,00,X,6/P5D
play,1,0,rosaa003,22,CFBBT,K
play,1,0,naylj001,00,X,7/F7S
play,1,1,andet001,12,FFBS,K
play,1,1,benia002,10,BX,S8/L8+
play,1,1,robel002,11,CBX,53/G5.1-2
play,1,1,moncy001,22,CC*B*BC,K
play,2,0,bellj005,01,CX,4/L4D+
play,2,0,gimea001,21,CBBX,43/G34
play,2,0,ariag002,12,FCFBT,K
play,2,1,vauga001,22,CBCBX,7/L78XD+
play,2,1,sheeg001,32,BSBBFC,K
play,2,1,grany001,22,BCCFBX,S68/L8
play,2,1,burgj001,01,SX,4/P34D
play,3,0,brenw002,22,CFBBFX,7/F7
