id,KCA202305100
version,2
info,visteam,CHA
info,hometeam,KCA
info,site,KAN06
info,date,2023/05/10
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,johna901
info,ump1b,wolcq901
info,ump2b,gonzm901
info,ump3b,valej901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/12 09:02:25
info,howscored,unknown
info,pitches,pitches
info,oscorer,butcp701
info,temp,81
info,winddir,rtol
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,141
info,attendance,12187
info,wp,kellb003
info,lp,lynnl001
info,save,
start,andet001,"Tim Anderson",0,1,6
start,benia002,"Andrew Benintendi",0,2,7
start,vauga001,"Andrew Vaughn",0,3,3
start,robel002,"Luis Robert Jr.",0,4,8
start,sheeg001,"Gavin Sheets",0,5,9
start,grany001,"Yasmani Grandal",0,6,10
start,albeh001,"Hanser Alberto",0,7,5
start,zavas001,"Seby Zavala",0,8,2
play,7,0,andre001,10,BX,43/G34
play,7,0,andet001,10,BX,S7/G56
play,7,0,benia002,22,F*BCBS,K
play,7,1,olive001,12,FBFX,HR/F7D
play,7,1,pratn001,32,BBCBC.C,K
play,7,1,duffm002,21,BFBX,4/L4
play,7,1,massm001,10,BX,D9/L9L.B-3(E9)
play,7,1,eaton001,02,SCS,K
play,8,0,vauga001,00,,NP
sub,fermf002,"Freddy Fermin",1,3,2
play,8,0,vauga001,00,.,NP
sub,stauj001,"Josh Staumont",1,0,1
play,8,0,vauga001,11,..BFX,53/G5
play,8,0,robel002,02,SSS,K
play,8,0,sheeg001,00,X,S14/G3
play,8,0,grany001,12,BCFX,2/P2F-/FL
play,8,1,wittb002,00,,NP
sub,marij002,"Jake Marisnick",0,4,8
play,8,1,wittb002,00,.,NP
sub,sosal001,"Lenyn Sosa",0,9,4
play,8,1,wittb002,00,..,NP
sub,middk001,"Keynan Middleton",0,0,1
play,8,1,wittb002,10,...BX,7/F7
play,8,1,pasqv001,21,BCBX,43/G34
play,8,1,fermf002,10,BX,S1/G25-
play,8,1,melem001,01,SX,7/L78D
play,9,0,albeh001,00,,NP
sub,clart003,"Taylor Clarke",1,0,1
play,9,0,albeh001,11,.BFX,8/F78XD
play,9,0,zavas001,12,SFBX,53/G5
play,9,0,sosal001,02,CFS,K
data,er,lynnl001,7
data,er,padin001,2
data,er,middk001,0
data,er,cuasj001,0
data,er,garra001,0
data,er,stauj001,0
data,er,clart003,0
data,er,kellb003,1
