id,CHN202309080
version,2
info,visteam,ARI
info,hometeam,CHN
info,site,CHI11
info,date,2023/09/08
info,number,0
info,gametype,regular
info,starttime,1:20PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,drecb901
info,ump1b,sches901
info,ump2b,wegnm901
info,ump3b,moorm901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/10 09:03:21
info,howscored,unknown
info,pitches,pitches
info,oscorer,seipb701
info,temp,66
info,winddir,fromlf
info,windspeed,12
info,fieldcond,unknown
info,precip,none
info,sky,overcast
info,timeofgame,136
info,attendance,31846
info,wp,gallz001
info,lp,cuasj001
info,save,
start,carrc005,"Corbin Carroll",0,1,9
start,martk001,"Ketel Marte",0,2,4
start,phamt001,"Tommy Pham",0,3,10
start,walkc002,"Christian Walker",0,4,3
start,thoma004,"Alek Thomas",0,5,8
start,gurrl001,"Lourdes Gurriel Jr.",0,6,7
start,moreg001,"Gabriel Moreno",0,7,2
start,lawlj001,"Jordan Lawlar",0,8,6
play,6,0,carrc005,01,CX,S7/L7
play,6,0,martk001,01,F1>C,SB2.1-3(E2/TH)
play,6,0,martk001,12,F1>C.BX,3/G3
play,6,1,madrn001,21,BBCX,53/G56
play,6,1,amaym001,12,FCBX,8/F8
play,6,1,taucm001,00,X,6/L6
play,7,0,phamt001,00,,NP
sub,merrj001,"Julian Merryweather",1,0,1
play,7,0,phamt001,22,.CBFBC,K
play,7,0,walkc002,12,CBS.*S,K.BX1(23)
play,7,0,thoma004,12,CBSS,K
play,7,1,hoern001,10,BX,S8/G6M
play,7,1,happi001,22,SB1BFC,K
play,7,1,bellc002,00,X,36(1)/FO/G3.B-1
play,7,1,swand001,22,*BBSF.C,K
play,8,0,gurrl001,00,,NP
sub,cuasj001,"Jose Cuas",1,0,1
play,8,0,gurrl001,00,.X,S7/L7D+
play,8,0,moreg001,31,BBBCB,W.1-2
play,8,0,lawlj001,12,CLBS,K
play,8,0,perdg001,00,,NP
sub,leitm002,"Mark Leiter Jr.",1,0,1
play,8,0,perdg001,12,.CSBS,K
play,8,0,carrc005,01,FX,S9/L89.2-H;1-3
com,"$D-backs challenged (trap play), call on the field was overturned."
play,8,0,martk001,00,>B,SB2
play,8,0,martk001,10,>B.X,3/G3
play,8,1,suzus001,12,SBFFX,S8/G4M
play,8,1,candj002,01,CX,46(1)/FO/G34.B-1
play,8,1,madrn001,00,,NP
sub,mastm001,"Miles Mastrobuoni",1,7,12
play,8,1,madrn001,11,.C1BX,7/F78D
play,8,1,amaym001,00,,NP
sub,gomey001,"Yan Gomes",1,9,11
play,8,1,gomey001,01,.C>S,CS2(24)
play,9,0,phamt001,00,,NP
sub,wisdp001,"Patrick Wisdom",1,7,3
play,9,0,phamt001,00,.,NP
sub,gomey001,"Yan Gomes",1,9,2
play,9,0,phamt001,00,..,NP
sub,alzoa001,"Adbert Alzolay",1,0,1
play,9,0,phamt001,22,...CBCBFS,K
play,9,0,walkc002,11,BFX,6/P6D
play,9,0,thoma004,01,CX,S9/G34
play,9,0,gurrl001,10,B1>C,SB2
play,9,0,gurrl001,21,B1>C.*BX,7/L78D
play,9,1,gomey001,00,,NP
sub,rivee001,"Emmanuel Rivera",0,8,5
play,9,1,gomey001,00,.,NP
sub,perdg001,"Geraldo Perdomo",0,9,6
play,9,1,gomey001,02,..CFX,8/F8
play,9,1,taucm001,32,BBCFFFBB,W
play,9,1,hoern001,00,X,9/F9
play,9,1,happi001,00,X,6(1)/FO/G4M.B-1
