id,ATL202305270
version,2
info,visteam,PHI
info,hometeam,ATL
info,site,ATL03
info,date,2023/05/27
info,number,0
info,gametype,regular
info,starttime,4:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,becka901
info,ump1b,iassd901
info,ump2b,morag901
info,ump3b,tomln901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/19 09:03:46
info,howscored,unknown
info,pitches,pitches
info,oscorer,curtg701
info,temp,75
info,winddir,ltor
info,windspeed,9
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,144
info,attendance,42665
info,wp,wheez001
info,lp,mortc002
info,save,kimbc001
start,stotb001,"Bryson Stott",0,1,4
start,turnt001,"Trea Turner",0,2,6
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,schwk001,"Kyle Schwarber",0,5,7
start,realj001,"J.T. Realmuto",0,6,2
start,bohma001,"Alec Bohm",0,7,5
start,marsb002,"Brandon Marsh",0,8,8
info,sky,cloudy
info,timeofgame,151
info,attendance,39216
info,wp,wheez001
info,lp,wrigk001
info,save,
start,schwk001,"Kyle Schwarber",0,1,10
start,turnt001,"Trea Turner",0,2,6
start,harpb003,"Bryce Harper",0,3,3
start,bohma001,"Alec Bohm",0,4,5
start,stotb001,"Bryson Stott",0,5,4
start,realj001,"J.T. Realmuto",0,6,2
start,castn001,"Nick Castellanos",0,7,9
start,marsb002,"Brandon Marsh",0,8,7
start,rojaj003,"Johan Rojas",0,9,8
start,wheez001,"Zack Wheeler",0,0,1
start,acunr001,"Ronald Acuna Jr.",1,1,9
start,albio001,"Ozzie Albies",1,2,4
start,rilea001,"Austin Riley",1,3,5
start,olsom001,"Matt Olson",1,4,3
start,ozunm001,"Marcell Ozuna",1,5,10
start,rosae001,"Eddie Rosario",1,6,7
start,murps001,"Sean Murphy",1,7,2
start,arcio002,"Orlando Arcia",1,8,6
start,harrm004,"Michael Harris II",1,9,8
start,wrigk001,"Kyle Wright",1,0,1
play,1,0,schwk001,32,BFBCBFB,W
play,1,0,turnt001,00,X,S8/G6.1-2
play,1,0,harpb003,01,*SX,43/G34.2-3;1-2
play,1,0,bohma001,00,X,4/L4+
play,1,0,stotb001,01,CX,13/G4MS
play,1,1,acunr001,00,X,8/F89XD
play,1,1,albio001,10,BX,HR/F9LD
play,1,1,rilea001,22,BFBS.S,K
play,1,1,olsom001,10,BX,43/G34
play,2,0,realj001,11,CBX,53/G5
play,2,0,castn001,32,BSBS.BB,W
play,2,0,marsb002,12,CBFS,K
play,2,0,rojaj003,01,CX,HR/F9LD.1-H
play,2,0,schwk001,32,CFBBBS,K
play,2,1,ozunm001,12,CSBS,K
play,2,1,rosae001,22,BSBSX,13/G23
play,2,1,murps001,02,FFS,K
play,3,0,turnt001,22,CFBBFFX,23/G2-
play,3,0,harpb003,11,BCX,HR/F7D
play,3,0,bohma001,22,CFBBFX,43/G4M
play,3,0,stotb001,02,CFS,K
play,3,1,arcio002,32,SCBBB.FX,53/G56
play,3,1,harrm004,00,X,4/P89S
play,3,1,acunr001,11,CBX,8/L8
play,4,0,realj001,10,BX,HR/F7LD
play,4,0,castn001,02,FSC,K
play,4,0,marsb002,32,BFSBBB,W
play,4,0,rojaj003,00,X,13/G23-.1-2
play,4,0,schwk001,32,BBBCC.C,K
play,4,1,albio001,32,BFBCBFX,9/L9D+
play,4,1,rilea001,32,FFBBFBFFX,53/G5
play,4,1,olsom001,32,BSSBBB,W
play,4,1,ozunm001,32,BF*BCB>X,4/P3
play,5,0,turnt001,10,BX,S5/G25
play,5,0,harpb003,31,B1BBFB,W.1-2
play,5,0,bohma001,00,,NP
sub,tonkm001,"Michael Tonkin",1,0,1
play,5,0,bohma001,02,.FCS,K
play,5,0,stotb001,12,FFBFX,36(1)/FO/G34.2-3;B-1
play,5,0,realj001,01,FX,8/F8D
play,5,1,rosae001,00,X,31/G3D
play,5,1,murps001,32,CBSVBX,9/F9D
play,5,1,arcio002,22,CBBFX,7/F78
play,6,0,castn001,00,X,HR/F7D
play,6,0,marsb002,32,BBSS.BFB,W
play,6,0,rojaj003,22,BCS.BC,K
play,6,0,schwk001,01,1FX,HR/F9D.1-H
play,6,0,turnt001,01,CX,5/P1
play,6,0,harpb003,22,BCS.BS,K
play,6,1,harrm004,12,BSFS,K
play,6,1,acunr001,11,BSX,D7/L78+
play,6,1,albio001,11,BFX,6/P56
play,6,1,rilea001,32,CCBBBFB,W
play,6,1,olsom001,32,BBFBS.>X,S6/G6.2-3;1-2
com,"$Braves challenged (play at 1st), call on the field was overturned."
play,6,1,ozunm001,12,CCBS,K
play,7,0,bohma001,22,CBFBX,63/G56
play,7,0,stotb001,32,BBCBSFFX,7/F7LD
play,7,0,realj001,32,SBBBCF.X,9/F9LSF/FL
play,7,1,rosae001,00,,NP
sub,sotog003,"Gregory Soto",0,0,1
play,7,1,rosae001,00,.,NP
sub,pillk001,"Kevin Pillar",1,6,11
play,7,1,pillk001,22,..CBS.BX,63/G6
play,7,1,murps001,12,BCC*S,K
play,7,1,arcio002,02,CS*S,K
play,8,0,castn001,00,,NP
sub,pillk001,"Kevin Pillar",1,6,7
play,8,0,castn001,00,.,NP
sub,luetl001,"Lucas Luetge",1,0,1
play,8,0,castn001,00,..X,4/P4MD
play,8,0,marsb002,12,BCC*S,K
play,8,0,rojaj003,12,.CFBF*S,K
play,8,1,harrm004,00,,NP
sub,stram001,"Matt Strahm",0,0,1
play,8,1,harrm004,12,.FCFBX,8/L8
play,8,1,acunr001,00,X,63/G56
play,8,1,albio001,12,CFBS,K
play,9,0,schwk001,00,,NP
sub,wallf001,"Forrest Wall",1,1,7
play,9,0,schwk001,00,.,NP
sub,pillk001,"Kevin Pillar",1,6,9
play,9,0,schwk001,01,..SX,9/F9D
play,9,0,turnt001,22,BSBF*S,K
