id,WAS202306020
version,2
info,visteam,PHI
info,hometeam,WAS
info,site,WAS11
info,date,2023/06/02
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,segac901
info,ump1b,may-b901
info,ump2b,walsb901
info,ump3b,buckc901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:01
info,howscored,unknown
info,pitches,pitches
info,oscorer,tritb701
info,temp,90
info,winddir,fromrf
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,198
info,attendance,29827
info,wp,finnk001
info,lp,brogc001
info,save,
start,schwk001,"Kyle Schwarber",0,1,7
start,stotb001,"Bryson Stott",0,2,4
start,harpb003,"Bryce Harper",0,3,10
start,castn001,"Nick Castellanos",0,4,9
start,turnt001,"Trea Turner",0,5,6
start,realj001,"J.T. Realmuto",0,6,2
start,marsb002,"Brandon Marsh",0,7,8
start,clemk001,"Kody Clemens",0,8,3
play,8,1,ruizk001,22,..FFBB*S,K
play,8,1,abrac001,00,X,13/G1S
play,8,1,calla002,31,CBBBB,W
play,8,1,thoml002,12,1BS1C>B,SB2
play,8,1,thoml002,22,1BS1C>B.X,S8/F8S.2-H
play,8,1,garcl006,11,BC>X,53/G56
play,9,0,harpb003,22,CBFFBS,K
play,9,0,castn001,32,BBCC.FBX,D8/L89XD+
play,9,0,turnt001,00,,NP
sub,guthd001,"Dalton Guthrie",0,4,12
play,9,0,turnt001,32,.BFFB*BX,9/F9D
play,9,0,realj001,10,BX,3/P3
data,er,marty001,0
data,er,wheez001,7
data,er,brogc001,1
data,er,vasqa002,0
data,er,hoffj003,0
data,er,thomm005,0
data,er,grayj004,4
data,er,harvh001,0
data,er,finnk001,0
data,er,edwac001,2
id,WAS202308200
version,2
info,visteam,PHI
info,hometeam,WAS
info,site,WIL02
info,date,2023/08/20
info,number,0
info,gametype,regular
info,starttime,7:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barbs901
info,ump1b,porta901
info,ump2b,wolfj901
info,ump3b,mahrn901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/08/27 09:03:08
info,howscored,unknown
info,pitches,pitches
info,oscorer,macom701
info,temp,79
info,winddir,tolf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,146
info,attendance,2473
info,wp,willt002
info,lp,wheez001
info,save,finnk001
start,schwk001,"Kyle Schwarber",0,1,10
start,turnt001,"Trea Turner",0,2,6
start,harpb003,"Bryce Harper",0,3,3
start,castn001,"Nick Castellanos",0,4,9
start,stotb001,"Bryson Stott",0,5,4
start,bohma001,"Alec Bohm",0,6,5
start,marsb002,"Brandon Marsh",0,7,8
start,cavej001,"Jake Cave",0,8,7
start,stubg001,"Garrett Stubbs",0,9,2
start,wheez001,"Zack Wheeler",0,0,1
start,abrac001,"CJ Abrams",1,1,6
start,thoml002,"Lane Thomas",1,2,8
start,menej001,"Joey Meneses",1,3,10
start,ruizk001,"Keibert Ruiz",1,4,2
start,smitd008,"Dominic Smith",1,5,3
start,garrs003,"Stone Garrett",1,6,9
start,alu-j001,"Jake Alu",1,7,4
start,vargi001,"Ildemaro Vargas",1,8,5
start,ruthb001,"Blake Rutherford",1,9,7
start,willt002,"Trevor Williams",1,0,1
play,1,0,schwk001,30,BBBB,W
play,1,0,turnt001,22,CF1BBFC,K
play,1,0,harpb003,32,.*BBBCF>F>F>B,W.1-2
play,1,0,castn001,22,FBS.F*BFS,K
play,1,0,stotb001,21,BCBX,43/G34
play,1,1,abrac001,12,BSFX,S9/G34
play,1,1,thoml002,22,B1CFBX,S8/L8.1-2
play,1,1,menej001,21,BFBX,S8/L8.2-3;1-2
play,1,1,ruizk001,11,BFX,D9/L9LD.3-H;2-H;1-3
play,1,1,smitd008,00,X,S7/L7S+.3-H;2-H
play,1,1,garrs003,02,S.FS,K
play,1,1,alu-j001,32,CTBB1*BX,46(1)/FO/G34.B-1
play,1,1,vargi001,10,BX,63/G6
play,2,0,bohma001,21,CBBX,53/G56S
play,2,0,marsb002,01,CX,7/F78D
play,2,0,cavej001,10,BX,63/G6M
play,2,1,ruthb001,10,BX,43/G34
play,2,1,abrac001,02,CSX,8/L8D
play,2,1,thoml002,22,SFBBS,K
play,3,0,stubg001,22,BCBFX,5/P6
play,3,0,schwk001,21,CBBX,43/G4+
play,3,0,turnt001,11,FBX,S7/L78
play,3,0,harpb003,00,X,7/F78D
play,3,1,menej001,22,BBFFX,9/F9
play,3,1,ruizk001,00,X,5/P5SF/FL
play,3,1,smitd008,32,BSS.BBX,8/L8D
play,4,0,castn001,12,FBFS,K
play,4,0,stotb001,22,BCFBS,K
play,4,0,bohma001,30,BBBB,W
play,4,0,marsb002,11,CBX,53/G6
play,4,1,garrs003,32,BCC.BFBS,K
play,4,1,alu-j001,12,CFBX,31/G3
play,4,1,vargi001,31,BCBBB,W
play,4,1,ruthb001,11,BSX,3/G3
play,5,0,cavej001,00,X,7/F7D
play,5,0,stubg001,22,CBFBFFX,8/F89D
play,5,0,schwk001,32,FFBBBX,6/L4M+
play,5,1,abrac001,12,SBFX,6/L4M
play,5,1,thoml002,00,X,6/P6M-
play,5,1,menej001,01,CX,S6/G6
play,5,1,ruizk001,11,B1FX,63/G6M
play,6,0,turnt001,21,BSBX,8/F8D
play,6,0,harpb003,10,BX,31/G3
play,6,0,castn001,01,FX,D8/F89XD+
play,6,0,stotb001,22,CBCBFX,7/F78D
play,6,1,smitd008,11,BFX,S8/G4
play,6,1,garrs003,02,FC.S,K
play,6,1,alu-j001,10,BX,6(1)3/GDP/G4M
play,7,0,bohma001,00,,NP
sub,weemj001,"Jordan Weems",1,0,1
play,7,0,bohma001,00,.X,63/G6M+
play,7,0,marsb002,22,CCBBC,K
