id,CHN202305250
version,2
info,visteam,NYN
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/25
info,number,0
info,gametype,regular
info,starttime,6:40PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,ortir901
info,ump1b,whitc901
info,ump2b,drakr901
info,ump3b,millb901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/07/15 09:03:00
info,howscored,unknown
info,pitches,pitches
info,oscorer,speaa701
info,temp,52
info,winddir,fromcf
info,windspeed,16
info,fieldcond,unknown
info,precip,none
info,sky,sunny
info,timeofgame,163
info,attendance,35446
info,wp,carrc003
info,lp,hendk001
info,save,
start,nimmb001,"Brandon Nimmo",0,1,8
start,lindf001,"Francisco Lindor",0,2,6
start,mcnej002,"Jeff McNeil",0,3,4
start,alonp001,"Pete Alonso",0,4,3
start,batyb001,"Brett Baty",0,5,5
start,marts002,"Starling Marte",0,6,9
start,voged001,"Daniel Vogelbach",0,7,10
start,canhm001,"Mark Canha",0,8,7
play,6,1,morec001,01,FX,63/G6
play,7,0,lindf001,21,BFBX,43/G4
play,7,0,mcnej002,12,FBFX,S7/L7L
play,7,0,alonp001,00,X,HR/F9LD.1-H
play,7,0,batyb001,02,FSS,K
play,7,0,marts002,22,BCSBX,53/G6S
play,7,1,mervm001,32,CCBFBFBX,43/G34D
play,7,1,wisdp001,00,X,53/G5
play,7,1,gomey001,20,BBX,S57/G56
play,7,1,hoern001,00,,NP
sub,ottaa001,"Adam Ottavino",0,0,1
play,7,1,hoern001,32,.CFBBB>B,W.1-2
play,7,1,swand001,00,X,43/G4
play,8,0,voged001,00,X,S8/G4
play,8,0,canhm001,02,CF*S,K
play,8,0,alvaf001,00,X,D57/G5.1-3
play,8,0,nimmb001,11,F*BX,T8/L89D+.3-H;2-H
play,8,0,lindf001,11,BFX,S7/L78.3-H
play,8,0,mcnej002,31,S*BBBX,8/L78D
play,8,0,alonp001,31,*BBCBB,W.1-2
play,8,0,batyb001,00,,NP
sub,assaj001,"Javier Assad",1,0,1
play,8,0,batyb001,22,.BSBFC,K
play,8,1,happi001,00,,NP
sub,huntt002,"Tommy Hunter",0,0,1
play,8,1,happi001,00,.,NP
sub,riose001,"Edwin Rios",1,3,11
play,8,1,riose001,01,..CX,4/L34D
play,8,1,suzus001,21,BCBX,S6/G6MS
play,8,1,taucm001,32,BCS.B*BB,W.1-2
play,8,1,morec001,31,BF*BBX,54(1)/FO/G5.2-3;B-1
play,8,1,mervm001,22,BSCFBX,9/F9D
play,9,0,marts002,00,,NP
sub,mastm001,"Miles Mastrobuoni",1,1,4
play,9,0,marts002,00,.,NP
sub,riose001,"Edwin Rios",1,3,5
play,9,0,marts002,00,..,NP
sub,wisdp001,"Patrick Wisdom",1,8,7
play,9,0,marts002,00,...,NP
sub,barnt001,"Tucker Barnhart",1,0,1
play,9,0,marts002,01,....CX,S9/L9
play,9,0,voged001,00,,NP
sub,vienm001,"Mark Vientos",0,7,11
play,9,0,vienm001,00,.X,4/P4D
play,9,0,canhm001,11,CBX,S7/L7.1-2
play,9,0,alvaf001,21,BBSX,4/P4MD
play,9,0,nimmb001,00,X,9/F9L
play,9,1,wisdp001,00,,NP
sub,escoe001,"Eduardo Escobar",0,2,6
play,9,1,wisdp001,00,.,NP
sub,vienm001,"Mark Vientos",0,7,3
play,9,1,wisdp001,00,..,NP
sub,nidot001,"Tomas Nido",0,9,2
play,9,1,wisdp001,00,...,NP
sub,huntt002,"Tommy Hunter",0,4,1
play,9,1,wisdp001,22,....CFBFBC,K
play,9,1,gomey001,02,FFFFS,K
play,9,1,mastm001,20,BBX,23/G2-
data,er,carrc003,1
data,er,ottaa001,0
data,er,huntt002,0
data,er,ruckm001,5
data,er,barnt001,0
data,er,assaj001,0
data,er,hughb002,0
data,er,hendk001,3
id,CHN202305300
version,2
info,visteam,TBA
info,hometeam,CHN
info,site,CHI11
info,date,2023/05/30
info,number,0
info,gametype,regular
info,starttime,7:05PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,barkl901
info,ump1b,littw901
info,ump2b,addir901
info,ump3b,merzd901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/11 09:08:33
info,howscored,unknown
info,pitches,pitches
info,oscorer,jackj702
info,temp,71
info,winddir,fromcf
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,140
info,attendance,31762
info,wp,merrj001
info,lp,mccls003
info,save,alzoa001
start,lowej002,"Josh Lowe",0,1,9
start,franw002,"Wander Franco",0,2,6
start,arozr001,"Randy Arozarena",0,3,7
start,loweb001,"Brandon Lowe",0,4,4
start,ramih004,"Harold Ramirez",0,5,10
start,parei001,"Isaac Paredes",0,6,5
start,ralel001,"Luke Raley",0,7,3
start,margm001,"Manuel Margot",0,8,8
start,mejif001,"Francisco Mejia",0,9,2
start,mccls003,"Shane McClanahan",0,0,1
start,hoern001,"Nico Hoerner",1,1,4
start,swand001,"Dansby Swanson",1,2,6
start,happi001,"Ian Happ",1,3,7
start,suzus001,"Seiya Suzuki",1,4,9
start,manct001,"Trey Mancini",1,5,3
start,taucm001,"Mike Tauchman",1,6,8
start,wisdp001,"Patrick Wisdom",1,7,5
start,gomey001,"Yan Gomes",1,8,2
start,morec001,"Christopher Morel",1,9,10
start,hendk001,"Kyle Hendricks",1,0,1
play,1,0,lowej002,12,SBSS,K
play,1,0,franw002,00,X,S9/G34
play,1,0,arozr001,11,BF1>B,SB2
play,1,0,arozr001,32,BF1>B.FFFFBB,W
play,1,0,loweb001,00,X,S4/G4M.2XH(62);1-2
com,"$Rays challenged (tag play), call on the field was upheld."
play,1,0,ramih004,00,X,4/L4D
play,1,1,hoern001,00,X,HR/F78XD+
play,1,1,swand001,00,X,7/F7D
play,1,1,happi001,32,BBBCFB,W
play,1,1,suzus001,01,CX,S7/G6.1-2
play,1,1,manct001,10,B>*B,OA.2X3(25)
play,1,1,manct001,22,B>*B.CCS,K
play,2,0,parei001,12,CC.BS,K
play,2,0,ralel001,32,BBCBTFB,W
play,2,0,margm001,01,C11>X,S9/L34D.1-2
play,2,0,mejif001,11,CBX,46(1)3/GDP/G34
play,2,1,taucm001,22,BSF.BX,7/F7
play,2,1,wisdp001,10,BX,3/P3
play,2,1,gomey001,12,SBSS,K
play,3,0,lowej002,10,BX,S9/L9
play,3,0,franw002,00,>B,SB2
play,3,0,franw002,10,>B.X,143/G1
play,3,0,arozr001,31,BBBCX,4/P4MD
play,3,0,loweb001,02,FFS,K
play,3,1,morec001,10,BX,9/F89XD+
play,3,1,hoern001,32,BBCBF.S,K
play,3,1,swand001,31,CBBBB,W
play,3,1,happi001,10,*BX,64(1)/FO/G6.B-1
play,4,0,ramih004,02,CFX,9/L9
play,4,0,parei001,10,BX,5/P5
play,4,0,ralel001,20,BBX,7/F78D
play,4,1,suzus001,20,BBX,S8/L8XD+
play,4,1,manct001,02,FSS,K
play,4,1,taucm001,32,*BCBCF.B1X,S9/L9.1-2
play,4,1,wisdp001,32,CBFB*BX,8/L8D+
play,4,1,gomey001,22,FFBFFFBFX,9/F9D
play,5,0,margm001,12,BCFX,7/L78
play,5,0,mejif001,10,BX,S8/L8
play,5,0,lowej002,11,BSX,8/F89XD+
play,5,0,franw002,32,CSBB1B>B,W.1-2
play,5,0,arozr001,11,CBX,S7/L7D+.2-H;1-2
play,5,0,loweb001,22,FBBFX,43/G34
play,5,1,morec001,02,CSS,K
play,5,1,hoern001,12,TFBX,4/P4D
play,5,1,swand001,32,FBBSBF.S,K
play,6,0,ramih004,00,,NP
sub,merrj001,"Julian Merryweather",1,0,1
play,6,0,ramih004,12,.SSBX,S7/G56+
play,6,0,parei001,00,X,8/F78XD.1-2
play,6,0,ralel001,32,B*BBCCX,63/G6M.2-3
play,6,0,margm001,11,L*BX,63/G6
