id,SDN202306050
version,2
info,visteam,CHN
info,hometeam,SDN
info,site,SAN02
info,date,2023/06/05
info,number,0
info,gametype,regular
info,starttime,6:10PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,cuzzp901
info,ump1b,willr901
info,ump2b,rippm901
info,ump3b,lives901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/06/21 09:12:07
info,howscored,unknown
info,pitches,pitches
info,oscorer,mathd701
info,temp,63
info,winddir,ltor
info,windspeed,8
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,149
info,attendance,43629
info,wp,snelb001
info,lp,hendk001
info,save,
start,hoern001,"Nico Hoerner",0,1,4
start,swand001,"Dansby Swanson",0,2,6
start,happi001,"Ian Happ",0,3,7
start,suzus001,"Seiya Suzuki",0,4,9
start,wisdp001,"Patrick Wisdom",0,5,5
start,gomey001,"Yan Gomes",0,6,10
start,manct001,"Trey Mancini",0,7,3
start,amaym001,"Miguel Amaya",0,8,2
play,8,0,hoern001,10,...BX,S7/L78
play,8,0,swand001,12,CBFX,64(1)/FO/G6.B-1
play,8,0,happi001,20,BBX,3/G23-.1-2
play,8,0,suzus001,22,BCFBFT,K
play,8,1,sotoj001,01,FX,8/F8
play,8,1,machm001,00,X,S7/L7+
play,8,1,cronj001,32,FBBBF>F.>B,W.1-2
play,8,1,sancg002,21,*BCBS,PB.2-3;1-2
play,8,1,sancg002,32,*BCBS.*BF.B,W
play,8,1,carpm002,20,*BBX,8/SF/F8XD.3-H;2-3
play,8,1,kim-h002,30,B*BB*B,W.1-2
play,8,1,dixob001,11,BCX,54(1)/FO/G56.B-1
play,9,0,wisdp001,00,,NP
sub,hillt002,"Tim Hill",1,0,1
play,9,0,wisdp001,22,.BCBSS,K
play,9,0,mastm001,10,BX,S7/L7S
play,9,0,manct001,02,FFFFS,K
play,9,0,amaym001,00,X,9/F9LD
data,er,assaj001,1
data,er,hendk001,3
data,er,wilss002,0
data,er,martn002,0
data,er,hillt002,0
data,er,snelb001,0
