id,MIL202307040
version,2
info,visteam,CHN
info,hometeam,MIL
info,site,MIL06
info,date,2023/07/04
info,number,0
info,gametype,regular
info,starttime,3:10PM
info,daynight,day
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,bacce901
info,ump1b,fleta901
info,ump2b,estam901
info,ump3b,riggj901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2023/09/21 08:43:17
info,howscored,unknown
info,pitches,pitches
info,oscorer,odrit701
info,temp,86
info,winddir,ltor
info,windspeed,7
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,195
info,attendance,41133
info,wp,paled001
info,lp,andrc002
info,save,
start,hoern001,"Nico Hoerner",0,1,4
start,swand001,"Dansby Swanson",0,2,6
start,happi001,"Ian Happ",0,3,7
start,morec001,"Christopher Morel",0,4,5
start,suzus001,"Seiya Suzuki",0,5,9
start,manct001,"Trey Mancini",0,6,3
start,bellc002,"Cody Bellinger",0,7,8
start,gomey001,"Yan Gomes",0,8,10
play,5,1,santc002,32,BBCF1.B1>X,T9/G3.3-H;1-H
play,5,1,frels001,00,,NP
sub,merrj001,"Julian Merryweather",0,0,1
play,5,1,frels001,02,.CCFS,K
play,5,1,adamw002,12,S*BS.S,K
play,6,0,morec001,00,,NP
sub,wilsb003,"Bryse Wilson",1,0,1
play,6,0,morec001,01,.CX,8/F89D
play,6,0,gomey001,12,FFBFFFS,K
play,6,0,taucm001,12,C.FBX,S49/G34
play,6,0,hoern001,32,SBBF.FFB>X,63/G56
play,6,1,donaj001,11,CBX,63/G6
play,6,1,mitcg001,00,X,63/G4M
play,6,1,carav001,00,X,63/G4M
play,7,0,happi001,00,,NP
sub,andrc002,"Clayton Andrews",1,0,1
play,7,0,happi001,22,.CBBCFFC,K
play,7,0,bellc002,00,.X,9/F9LD+
play,7,0,suzus001,32,CC.BFBBF*B,W
play,7,0,swand001,22,FFB*BX,64(1)/FO/G6.B-1
play,7,1,turab002,00,,NP
sub,smyld001,"Drew Smyly",0,0,1
play,7,1,turab002,00,.,NP
sub,mastm001,"Miles Mastrobuoni",0,2,4
play,7,1,turab002,31,..BCBBB,W
play,7,1,yelic001,12,1BCFX,S9/G34.1-2
play,7,1,contw002,12,BCSFC,K
play,7,1,santc002,01,CX,9/F9D.2-3
play,7,1,frels001,01,C>X,8/F8
play,8,0,candj002,00,X,HR/F89XD+
