id,PHI202204120
version,2
info,visteam,NYN
info,hometeam,PHI
info,site,PHI13
info,date,2022/04/12
info,number,0
info,starttime,6:45PM
info,daynight,night
info,innings,9
info,tiebreaker,2
info,usedh,true
info,umphome,hudsm901
info,ump1b,johna901
info,ump2b,tumpj901
info,ump3b,blakr901
info,umplf,(none)
info,umprf,(none)
info,inputtime,2022/09/26 06:24:07
info,howscored,unknown
info,pitches,pitches
info,oscorer,golam701
info,temp,72
info,winddir,ltor
info,windspeed,4
info,fieldcond,unknown
info,precip,none
info,sky,cloudy
info,timeofgame,192
info,attendance,26045
info,wp,megit002
info,lp,wheez001
info,save,diaze006
start,nimmb001,"Brandon Nimmo",0,1,8
start,marts002,"Starling Marte",0,2,9
start,lindf001,"Francisco Lindor",0,3,6
start,alonp001,"Pete Alonso",0,4,3
start,escoe001,"Eduardo Escobar",0,5,5
start,canor001,"Robinson Cano",0,6,10
start,canhm001,"Mark Canha",0,7,7
start,mcnej002,"Jeff McNeil",0,8,4
start,wheez001,"Zack Wheeler",1,0,1
play,1,0,wongk001,01,CX,43/G34
play,1,0,adamw002,21,BCBX,S6/G56
play,1,0,yelic001,00,X,8/F78D
play,1,0,mccua001,32,BC1B1BF>F>X,S6/G4M.1-2
play,1,0,tellr001,01,SX,8/F8XD+
play,1,1,seguj002,22,CCBBX,43/G4M
play,1,1,hoskr001,32,CCBBFBFX,43/G6
play,1,1,harpb003,01,SX,D9/L89XD+
play,1,1,castn001,02,CFX,D9/L9LD+.2-H
play,1,1,realj001,20,B*BX,43/G6M
play,2,0,renfh001,22,BCFFBX,53/G5
play,2,0,narvo001,31,BBFBX,8/F8
play,2,0,cainl001,22,BCFBFFX,63/G6M
play,2,1,schwk001,12,CBFC,K
play,2,1,bohma001,10,BX,63/G6D
play,2,1,camaj001,32,BFBSFBFX,63/G2
play,3,0,petej002,20,BBX,43/G4
play,3,0,wongk001,02,CFX,8/F8D
play,3,0,adamw002,22,CBBFS,K
play,3,1,herro001,02,CFFFFX,T8/L89D+
play,3,1,seguj002,00,X,S4/P34D.3-H
play,3,1,hoskr001,32,1CBBBF>B,W.1-2
play,3,1,harpb003,12,CBS>B,SB3
play,3,1,harpb003,22,CBS>B.X,5/P5F/FL
play,3,1,castn001,00,X,8/SF/L8D.3-H
play,3,1,realj001,01,SX,5/L56
play,4,0,yelic001,22,CCBFBX,8/F8D+
play,4,0,mccua001,22,FBTBFS,K
play,4,0,tellr001,02,CCS,K
play,4,1,schwk001,22,CCBBX,6/P5F/FL
play,4,1,bohma001,12,CSBC,K
play,4,1,camaj001,10,BX,5/P1S/FL
play,5,0,renfh001,11,FBX,D8/L89XD+
play,5,0,narvo001,12,FSBT,K
play,5,0,cainl001,00,X,S5/G5.2-3
play,5,0,petej002,12,BS1FX,S8/L8S.3-H;1-2
play,5,0,wongk001,10,BX,6/L6M
play,5,0,adamw002,00,X,S7/L7.2-H;1-2
play,5,0,yelic001,10,BX,S9/L9L.2-H;1-3
play,5,0,mccua001,02,FF1F>B,SB2;SBH
play,5,0,mccua001,32,FF1F>B.B*BT,K
play,5,1,herro001,12,CBFX,S8/G4
play,5,1,seguj002,02,CC1X,7/L78
play,5,1,hoskr001,00,X,54(1)3/GDP/G56
play,6,0,tellr001,00,,NP
sub,sancc002,"Cristopher Sanchez",1,0,1
play,6,0,tellr001,32,.BBCFBC,K
play,6,0,renfh001,21,BBCX,HR/L89XD
play,6,0,narvo001,00,X,6/P6MD
play,6,0,cainl001,32,CSBBBB,W
play,6,0,petej002,00,1>C,CS2(26)
com,"$Phillies challenged (tag play), call on the field was overturned."
play,6,1,harpb003,32,BBBCFFS,K
play,6,1,castn001,10,BX,6/P6M
play,6,1,realj001,00,X,63/G6
play,7,0,petej002,01,CX,43/G34
play,7,0,wongk001,12,LBFX,43/G4
play,7,0,adamw002,10,BX,8/F8XD+
play,7,1,schwk001,00,,NP
sub,gottt001,"Trevor Gott",0,0,1
play,7,1,schwk001,11,.CBX,S9/L9D
play,7,1,bohma001,02,FFS,K
play,7,1,camaj001,20,BBX,8/F8D
play,7,1,herro001,02,CST,K
play,8,0,yelic001,12,CCBC,K
play,8,0,mccua001,00,,NP
sub,norwj001,"James Norwood",1,0,1
play,8,0,mccua001,32,.BFSBBFFFX,9/F89S
play,8,0,tellr001,12,SBFX,8/F8XD
play,8,1,seguj002,00,,NP
sub,willd004,"Devin Williams",0,0,1
play,8,1,seguj002,22,.BBCSS,K
play,8,1,hoskr001,10,BX,S8/L8D+
play,8,1,harpb003,01,SX,56(1)3/GDP/G56
play,9,0,renfh001,00,,NP
sub,bella001,"Andrew Bellatti",1,0,1
play,9,0,renfh001,32,.BFFBBX,S7/L7
play,9,0,narvo001,12,C*BF1S,K
play,9,0,cainl001,02,FTC,K
play,9,0,petej002,00,,NP
sub,handb001,"Brad Hand",1,0,1
