,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
16,19361,Corbin Burnes,25,2.34,12.79,5.55,0.193,0.96,1.74,0.313,96.4,0.1,87.5,0.46299999999999997,94.9,0.156,81.2,0.10099999999999999,90.2,,,,,-0.16,3.02,1.91,2.72,0.38,,,0.365,0.6559999999999999,0.475,0.504,0.8079999999999999,0.6629999999999999,0.379,0.599,0.16
53,10310,Zack Wheeler,31,2.82,9.5,4.84,0.223,1.05,2.75,0.251,97.0,0.226,91.3,,,0.105,81.2,0.037000000000000005,90.3,0.011000000000000001,90.4,,,1.45,1.29,,0.3,-0.28,0.29,,0.355,0.728,0.517,0.6659999999999999,0.833,0.769,0.436,0.6459999999999999,0.12
3,10954,Jacob deGrom,33,1.63,14.06,8.62,0.155,0.73,1.67,0.37799999999999995,99.0,0.344,92.1,,,0.013999999999999999,84.0,0.128,91.5,,,,,2.11,2.68,,2.67,1.62,,,0.415,0.753,0.546,0.45299999999999996,0.736,0.604,0.386,0.618,0.21600000000000003
50,3137,Max Scherzer,36,2.81,11.97,5.56,0.206,1.01,3.11,0.457,94.5,0.191,85.8,0.095,90.4,0.096,77.0,0.152,85.0,,,,,1.13,2.54,0.12,-0.98,-0.07,,,0.335,0.722,0.502,0.537,0.784,0.691,0.434,0.6459999999999999,0.155
38,16162,Brandon Woodruff,28,2.7,10.74,4.95,0.199,0.97,3.03,0.33399999999999996,96.5,0.09699999999999999,87.1,,,0.133,83.8,0.152,86.6,,,,,1.43,0.88,,1.11,0.55,,,0.337,0.696,0.499,0.6409999999999999,0.8,0.741,0.452,0.6609999999999999,0.129
87,13125,Gerrit Cole,30,3.11,11.93,5.81,0.214,1.03,3.2,0.413,97.4,0.228,88.6,,,0.161,83.5,0.11699999999999999,89.7,,,,,0.83,1.72,,-0.48,1.25,,,0.353,0.677,0.491,0.563,0.7959999999999999,0.7,0.424,0.659,0.147
169,9132,Nathan Eovaldi,31,3.75,9.64,5.88,0.256,1.19,3.02,0.33799999999999997,97.0,0.121,86.1,0.151,92.3,0.184,78.8,,,0.13,88.0,,,-0.06,0.49,-0.81,1.37,,0.03,,0.34,0.72,0.519,0.593,0.843,0.7559999999999999,0.47100000000000003,0.6559999999999999,0.127
73,14107,Kevin Gausman,29,3.0,10.94,4.64,0.211,1.06,3.02,0.363,94.8,0.059000000000000004,82.0,,,,,0.07200000000000001,84.2,0.34600000000000003,83.7,,,0.67,-1.6,,,-0.65,1.9,,0.34600000000000003,0.725,0.518,0.519,0.813,0.705,0.452,0.628,0.153
237,16149,Aaron Nola,28,4.25,11.39,5.15,0.227,1.12,3.32,0.371,92.6,,,0.011000000000000001,86.8,0.26899999999999996,78.6,0.21899999999999997,85.1,,,,,0.41,,2.03,0.81,0.59,,,0.353,0.6659999999999999,0.483,0.608,0.823,0.731,0.415,0.66,0.13
78,14765,Julio Urias,23,3.03,8.98,4.29,0.216,1.05,3.26,0.42200000000000004,94.2,0.013000000000000001,86.4,,,0.32,81.2,0.16399999999999998,86.5,,,,,0.5,-2.79,,2.28,1.2,,,0.35100000000000003,0.6759999999999999,0.505,0.6559999999999999,0.845,0.775,0.473,0.6859999999999999,0.113
