,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
26,19361,Corbin Burnes,26,2.43,12.61,6.88,0.199,0.94,1.63,0.303,96.9,0.09,88.1,0.522,95.3,0.184,81.3,0.098,90.7,,,,,-0.85,2.99,1.79,2.79,0.27,,,0.37799999999999995,0.655,0.485,0.489,0.8109999999999999,0.6579999999999999,0.389,0.624,0.166
48,10310,Zack Wheeler,31,2.78,10.42,5.37,0.213,1.01,2.59,0.275,97.1,0.249,91.6,,,0.107,81.5,0.032,90.4,0.004,90.9,,,1.33,1.58,,0.72,-0.15,-0.63,,0.35200000000000004,0.72,0.514,0.648,0.8290000000000001,0.76,0.439,0.6679999999999999,0.124
156,9132,Nathan Eovaldi,31,3.75,9.63,5.57,0.252,1.19,2.79,0.34700000000000003,96.9,0.13699999999999998,85.8,0.125,92.5,0.188,78.6,,,0.127,88.0,,,0.01,0.07,0.1,1.26,,-0.05,,0.33799999999999997,0.71,0.515,0.595,0.84,0.7559999999999999,0.47600000000000003,0.653,0.126
28,19374,Walker Buehler,26,2.47,9.19,4.08,0.197,0.97,3.16,0.355,95.4,0.145,85.1,0.157,91.7,0.132,80.2,0.049,91.5,,,,,1.4,1.29,1.33,0.55,3.01,,,0.331,0.6859999999999999,0.488,0.6,0.862,0.763,0.44,0.654,0.11599999999999999
27,3137,Max Scherzer,36,2.46,11.84,6.56,0.184,0.86,2.97,0.483,94.3,0.191,85.9,0.09300000000000001,90.1,0.098,76.9,0.149,85.0,,,,,1.51,2.45,-0.13,-0.09,1.38,,,0.337,0.72,0.503,0.516,0.787,0.685,0.435,0.6409999999999999,0.159
98,13125,Gerrit Cole,30,3.23,12.06,5.93,0.221,1.06,2.92,0.405,97.7,0.222,88.4,,,0.157,83.5,0.142,89.9,,,,,0.85,1.57,,-0.5,1.4,,,0.354,0.6759999999999999,0.489,0.574,0.7959999999999999,0.703,0.419,0.6679999999999999,0.145
65,14765,Julio Urias,24,2.96,9.45,5.13,0.216,1.02,3.13,0.41200000000000003,94.1,,,,,0.342,81.4,0.17300000000000001,86.9,,,,,-0.03,,,2.43,1.63,,,0.359,0.6729999999999999,0.508,0.66,0.8490000000000001,0.779,0.474,0.7070000000000001,0.11199999999999999
24,16137,Carlos Rodon,28,2.37,12.55,5.14,0.186,0.96,2.65,0.45,95.4,0.272,85.8,,,0.017,76.8,0.124,85.3,,,,,1.74,2.15,,-5.84,-2.29,,,0.34299999999999997,0.715,0.505,0.5479999999999999,0.8,0.703,0.435,0.586,0.15
1,10954,Jacob deGrom,33,1.08,14.28,13.27,0.128,0.55,1.24,0.386,99.3,0.33399999999999996,91.6,,,0.003,83.5,0.08900000000000001,91.4,,,,,2.51,3.92,,10.44,2.88,,,0.43200000000000005,0.746,0.5529999999999999,0.451,0.7559999999999999,0.609,0.385,0.63,0.21600000000000003
53,14107,Kevin Gausman,30,2.81,10.64,4.54,0.208,1.04,3.0,0.365,94.6,0.055999999999999994,82.0,,,,,0.051,84.0,0.366,83.6,,,0.73,0.14,,,-0.74,1.61,,0.35600000000000004,0.723,0.521,0.532,0.812,0.7070000000000001,0.45,0.635,0.153
34,16162,Brandon Woodruff,28,2.56,10.59,4.91,0.198,0.96,2.96,0.32299999999999995,96.5,0.092,86.4,,,0.161,83.8,0.142,86.5,,,,,1.34,0.27,,1.51,1.09,,,0.348,0.696,0.507,0.6409999999999999,0.8079999999999999,0.746,0.456,0.66,0.129
105,4676,Charlie Morton,37,3.34,10.47,3.72,0.2,1.04,3.18,0.289,95.3,,,0.085,87.5,0.36700000000000005,80.7,0.053,86.4,,,,,0.32,,0.28,2.43,0.33,,,0.313,0.6459999999999999,0.457,0.545,0.847,0.7290000000000001,0.433,0.5820000000000001,0.124
