,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
126,16149,Aaron Nola,29,3.25,10.32,8.1,0.218,0.96,2.58,0.366,92.6,,,0.065,86.8,0.265,78.6,0.145,86.0,,,,,1.62,,0.62,0.97,-1.42,,,0.37,0.654,0.493,0.604,0.847,0.7440000000000001,0.43200000000000005,0.701,0.126
74,16137,Carlos Rodon,29,2.88,11.98,4.56,0.2,1.03,2.25,0.446,95.6,0.31,85.5,,,0.057999999999999996,79.9,0.02,84.7,,,,,1.31,0.87,,1.06,-2.19,,,0.344,0.698,0.49700000000000005,0.5760000000000001,0.807,0.716,0.431,0.615,0.141
9,8700,Justin Verlander,39,1.75,9.51,6.38,0.184,0.83,2.49,0.436,95.1,0.28300000000000003,87.5,,,0.188,79.1,0.024,86.3,,,,,2.05,1.34,,1.63,0.53,,,0.369,0.76,0.535,0.682,0.85,0.784,0.425,0.62,0.11599999999999999
30,18684,Sandy Alcantara,26,2.28,8.15,4.14,0.21,0.98,2.99,0.306,97.9,0.221,90.0,,,0.002,86.0,0.27699999999999997,91.8,,,,,0.47,0.47,,2.24,2.72,,,0.379,0.725,0.529,0.6459999999999999,0.8540000000000001,0.77,0.435,0.624,0.122
134,14107,Kevin Gausman,31,3.35,10.56,7.32,0.27,1.24,2.38,0.361,95.0,0.142,84.5,,,,,0.009000000000000001,85.6,0.36,85.2,,,0.05,-1.1,,,-6.1,0.91,,0.42700000000000005,0.737,0.557,0.584,0.831,0.721,0.419,0.68,0.155
34,19755,Shohei Ohtani,27,2.33,11.87,4.98,0.202,1.01,2.4,0.38299999999999995,97.3,0.39,85.4,0.086,90.8,0.091,78.0,,,0.11900000000000001,89.3,,,0.04,2.29,1.81,-0.65,,0.95,,0.326,0.688,0.48700000000000004,0.48200000000000004,0.818,0.693,0.444,0.606,0.149
40,13743,Max Fried,28,2.48,8.26,5.31,0.224,1.01,2.7,0.29600000000000004,93.9,0.185,87.4,,,0.21600000000000003,74.3,0.14,86.6,,,,,1.02,0.66,,1.43,1.73,,,0.368,0.701,0.495,0.636,0.861,0.758,0.38299999999999995,0.615,0.12
73,19427,Shane Bieber,27,2.88,8.91,5.5,0.228,1.04,2.87,0.315,91.3,0.27899999999999997,85.0,0.17300000000000001,86.9,0.179,82.0,0.024,86.5,,,,,-0.09,2.15,0.95,1.09,-0.25,,,0.348,0.69,0.495,0.479,0.882,0.721,0.43,0.66,0.138
55,27498,Spencer Strider,23,2.67,13.81,4.49,0.179,0.99,1.83,0.371,98.2,0.282,86.3,,,,,0.048,88.9,,,,,1.44,1.28,,,-0.15,,,0.345,0.6970000000000001,0.499,0.532,0.7909999999999999,0.69,0.43700000000000006,0.602,0.155
81,19361,Corbin Burnes,27,2.94,10.83,4.76,0.196,0.97,3.14,0.335,96.3,0.091,88.3,0.5539999999999999,95.1,0.185,81.7,0.099,90.3,,,,,-2.97,1.58,1.45,0.89,-0.73,,,0.35700000000000004,0.654,0.461,0.514,0.8340000000000001,0.6729999999999999,0.35100000000000003,0.58,0.151
