,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
1,10954,Jacob deGrom,31,2.05,11.2,5.82,0.199,0.94,2.32,0.331,96.4,0.27699999999999997,91.9,,,0.054000000000000006,83.2,0.16,89.6,,,,,1.23,2.02,,1.46,2.32,,,0.379,0.716,0.523,0.581,0.7979999999999999,0.708,0.42700000000000005,0.653,0.153
28,3137,Max Scherzer,34,2.7,12.44,6.46,0.202,0.96,2.56,0.433,94.6,0.183,85.4,0.09,89.1,0.081,78.5,0.152,84.1,,,,,1.5,2.94,-1.27,-0.54,0.61,,,0.35600000000000004,0.71,0.521,0.532,0.778,0.688,0.466,0.677,0.162
26,13125,Gerrit Cole,28,2.68,13.13,5.38,0.191,0.96,2.67,0.41,96.9,0.21600000000000003,89.0,,,0.17300000000000001,82.6,0.06,88.3,,,,,1.84,1.17,,-0.04,0.6,,,0.336,0.684,0.496,0.519,0.7859999999999999,0.688,0.461,0.638,0.155
19,8700,Justin Verlander,36,2.55,12.15,7.47,0.185,0.85,3.03,0.483,94.9,0.253,87.1,0.003,91.2,0.16,79.5,0.028999999999999998,87.1,,,,,1.11,2.2,-13.18,1.3,-0.23,,,0.359,0.691,0.513,0.562,0.7859999999999999,0.7020000000000001,0.465,0.6659999999999999,0.153
72,9323,Patrick Corbin,29,3.2,10.84,4.1,0.219,1.12,2.98,0.299,91.4,0.391,81.7,,,0.062,71.2,0.035,81.7,,,,,0.24,1.94,,0.71,-2.34,,,0.369,0.654,0.47,0.523,0.846,0.682,0.354,0.634,0.149
73,10603,Chris Sale,30,3.21,13.41,6.41,0.199,0.97,2.66,0.361,94.0,0.365,79.4,,,,,0.153,86.1,,,,,0.5,1.36,,,1.36,,,0.358,0.625,0.47600000000000003,0.5539999999999999,0.778,0.685,0.444,0.6679999999999999,0.15
248,2520,Lance Lynn,31,4.14,10.04,3.01,0.251,1.35,3.43,0.33299999999999996,93.7,0.139,88.5,,,0.09300000000000001,80.7,0.016,85.1,0.01,88.4,,,0.3,0.32,,-0.46,-3.07,-1.86,,0.299,0.7290000000000001,0.47600000000000003,0.649,0.8270000000000001,0.7609999999999999,0.41100000000000003,0.589,0.114
111,12703,Trevor Bauer,28,3.45,10.99,3.41,0.218,1.18,3.48,0.37799999999999995,94.6,0.14,80.8,0.13699999999999998,85.4,0.228,79.2,0.073,86.5,,,,,0.2,1.11,0.32,0.65,0.19,,,0.313,0.648,0.45,0.537,0.846,0.7190000000000001,0.409,0.614,0.127
65,16149,Aaron Nola,26,3.1,9.83,3.28,0.213,1.12,3.51,0.299,92.7,,,,,0.331,78.6,0.19,85.3,,,,,0.32,,,1.8,0.55,,,0.33399999999999996,0.624,0.456,0.618,0.836,0.7440000000000001,0.42200000000000004,0.6579999999999999,0.11699999999999999
62,4676,Charlie Morton,35,3.09,10.97,3.64,0.213,1.12,3.17,0.302,95.1,,,0.085,86.5,0.336,79.1,0.046,86.4,,,,,0.48,,0.01,1.78,-0.85,,,0.313,0.639,0.46,0.5539999999999999,0.833,0.7290000000000001,0.45,0.619,0.125
139,10310,Zack Wheeler,29,3.65,8.91,3.56,0.238,1.19,3.37,0.354,96.3,0.196,91.1,,,0.102,80.0,0.065,88.5,0.05,89.6,,,0.91,0.73,,0.43,0.31,-0.61,,0.33799999999999997,0.69,0.496,0.685,0.8490000000000001,0.787,0.447,0.6409999999999999,0.105
42,12808,Mike Clevinger,28,2.9,10.38,3.62,0.217,1.12,3.12,0.38,94.3,0.22899999999999998,80.1,,,0.11900000000000001,76.3,0.131,87.4,,,,,0.72,1.83,,0.64,-0.08,,,0.309,0.662,0.46,0.57,0.8009999999999999,0.7120000000000001,0.42700000000000005,0.648,0.132
156,11762,Noah Syndergaard,26,3.73,9.13,4.01,0.25,1.22,3.25,0.297,97.6,0.177,90.6,,,0.096,81.6,0.159,90.8,,,,,0.17,0.98,,0.57,0.96,,,0.348,0.711,0.504,0.597,0.836,0.742,0.43,0.628,0.13
154,19427,Shane Bieber,24,3.72,10.31,5.98,0.248,1.15,3.29,0.336,93.1,0.254,84.6,,,0.187,81.9,0.062,87.7,,,,,0.2,1.19,,0.2,-1.28,,,0.337,0.655,0.473,0.53,0.856,0.7240000000000001,0.428,0.657,0.131
45,19374,Walker Buehler,23,2.98,10.3,4.95,0.208,1.01,3.02,0.335,96.4,0.138,86.9,0.11599999999999999,92.4,0.128,80.6,0.019,90.4,,,,,1.31,1.8,1.19,-0.17,-4.69,,,0.33299999999999996,0.677,0.494,0.617,0.847,0.764,0.467,0.648,0.11599999999999999
59,1943,Zack Greinke,35,3.07,8.34,5.29,0.227,1.03,3.46,0.325,89.8,0.166,83.5,,,0.14400000000000002,70.3,0.214,87.0,,,,,0.27,-0.38,,2.93,2.13,,,0.349,0.631,0.45799999999999996,0.6779999999999999,0.845,0.768,0.38799999999999996,0.6709999999999999,0.107
117,10131,Stephen Strasburg,30,3.48,10.81,4.33,0.219,1.1,3.39,0.308,94.1,0.036000000000000004,87.7,,,0.263,81.4,0.204,87.9,,,,,0.01,-1.76,,2.2,1.07,,,0.354,0.635,0.46799999999999997,0.586,0.8390000000000001,0.725,0.40700000000000003,0.626,0.129
110,12049,Kyle Hendricks,29,3.45,7.44,4.09,0.243,1.14,3.7,0.331,86.9,,,,,0.086,71.7,0.294,78.7,,,,,0.49,,,-0.76,0.83,,,0.33899999999999997,0.619,0.46399999999999997,0.6970000000000001,0.855,0.7909999999999999,0.445,0.657,0.09699999999999999
29,13543,Blake Snell,26,2.78,11.51,3.54,0.201,1.08,3.08,0.364,95.7,0.08199999999999999,87.8,,,0.21899999999999997,81.2,0.19699999999999998,87.0,,,,,0.77,1.9,,1.33,0.72,,,0.34600000000000003,0.657,0.467,0.47700000000000004,0.8009999999999999,0.654,0.389,0.613,0.161
162,14168,Jose Berrios,25,3.76,9.1,3.54,0.235,1.18,3.88,0.379,93.0,,,,,0.297,81.5,0.125,83.0,,,,,0.72,,,0.13,-0.5,,,0.34600000000000003,0.659,0.48100000000000004,0.645,0.858,0.7709999999999999,0.431,0.649,0.11
263,15038,German Marquez,24,4.23,9.85,4.4,0.246,1.2,3.71,0.294,95.3,0.182,86.5,,,0.231,83.4,0.049,86.5,,,,,0.02,0.29,,1.4,-2.87,,,0.317,0.662,0.479,0.51,0.858,0.736,0.46799999999999997,0.642,0.127
166,11828,James Paxton,30,3.79,11.4,4.06,0.231,1.19,3.54,0.418,95.4,,,0.172,88.5,0.201,81.1,0.008,86.3,,,,,0.45,,0.51,0.63,0.68,,,0.349,0.7090000000000001,0.511,0.569,0.815,0.723,0.45,0.659,0.142
