,IDfg,Name,Age,ERA,K/9,K/BB,AVG,WHIP,FIP,FB%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,KN%,KNv,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,wKN/C,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%
15,10954,Jacob deGrom,32,2.42,11.88,5.79,0.2,0.97,2.57,0.35100000000000003,97.3,0.326,92.5,,,0.028999999999999998,84.3,0.162,90.6,,,,,1.15,1.81,,0.81,1.82,,,0.384,0.75,0.531,0.55,0.779,0.68,0.40299999999999997,0.632,0.17
20,13125,Gerrit Cole,29,2.59,13.25,6.46,0.188,0.91,2.96,0.40399999999999997,97.1,0.235,89.1,,,0.159,82.9,0.069,88.6,,,,,1.72,1.83,,-0.13,0.2,,,0.35100000000000003,0.679,0.498,0.502,0.778,0.67,0.44799999999999995,0.64,0.16399999999999998
40,19427,Shane Bieber,24,2.84,11.76,6.25,0.213,1.0,2.99,0.33899999999999997,93.4,0.22699999999999998,85.0,0.044000000000000004,89.4,0.21899999999999997,83.1,0.077,88.0,,,,,1.02,1.27,2.78,1.18,0.1,,,0.35600000000000004,0.6629999999999999,0.474,0.491,0.855,0.687,0.384,0.647,0.149
64,3137,Max Scherzer,35,3.15,12.58,5.98,0.232,1.13,2.73,0.386,94.9,0.201,85.6,0.086,90.3,0.08800000000000001,78.2,0.149,84.5,,,,,0.93,3.66,-1.45,-0.83,-1.68,,,0.34700000000000003,0.7240000000000001,0.515,0.5429999999999999,0.78,0.6920000000000001,0.44799999999999995,0.6890000000000001,0.159
104,2520,Lance Lynn,33,3.57,10.31,3.99,0.231,1.17,3.43,0.395,94.0,0.18100000000000002,89.2,,,0.092,81.8,0.01,84.7,0.013000000000000001,88.4,,,0.8,0.7,,-0.26,-3.66,-1.86,,0.303,0.726,0.489,0.634,0.816,0.753,0.44,0.623,0.121
68,1943,Zack Greinke,35,3.2,8.29,6.51,0.233,1.02,3.12,0.332,89.3,0.161,83.9,,,0.155,70.2,0.222,87.0,,,,,0.52,-0.45,,3.13,2.41,,,0.336,0.631,0.451,0.662,0.855,0.767,0.389,0.659,0.105
92,15474,Lucas Giolito,25,3.43,11.75,3.82,0.197,1.06,3.36,0.413,94.2,0.147,84.7,,,0.032,79.2,0.284,81.4,,,,,1.46,0.29,,-3.19,1.86,,,0.317,0.708,0.498,0.529,0.765,0.684,0.46299999999999997,0.613,0.157
81,4676,Charlie Morton,36,3.33,10.91,4.21,0.225,1.13,2.92,0.307,94.2,,,0.102,85.4,0.365,78.6,0.03,85.0,,,,,0.35,,1.18,1.6,-2.27,,,0.336,0.654,0.48,0.557,0.8420000000000001,0.7340000000000001,0.45399999999999996,0.634,0.128
14,14444,Hyun-Jin Ryu,33,2.42,8.47,5.73,0.231,1.05,3.08,0.261,90.3,0.002,80.6,0.209,86.5,0.125,72.6,0.275,80.0,,,,,0.22,-4.93,0.64,0.97,2.76,,,0.359,0.687,0.491,0.6709999999999999,0.8420000000000001,0.767,0.40299999999999997,0.609,0.114
84,15689,Luis Castillo,27,3.35,10.88,3.06,0.209,1.17,3.42,0.255,96.7,0.171,86.2,,,,,0.318,87.5,,,,,0.35,0.01,,,2.2,,,0.336,0.711,0.478,0.507,0.7959999999999999,0.67,0.37799999999999995,0.5770000000000001,0.158
